track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
5BlRJergFXeb9ZlI6QFT94,15,0.872,0,0.529,-7.113,0.222,0.764,2017
0QGQNXIpL1d4KAjBueZat2,15,0.423,2.93E-05,0.546,-6.9,0.0301,0.239,2006
37RHRr3SK1zNhDVBOcYF7U,15,0.471,0,0.0836,-4.879,0.125,0.709,2013
1yxyBaUn3v0s1WYoWLdPJ1,15,0.548,0,0.296,-4.478,0.133,0.599,2018
5pOk36HxO0Jo0u5XMcIA7j,15,0.305,0,0.0616,-3.533,0.0923,0.71,2001
5O3xsWOn1OkeuUjDWwb0RR,15,0.383,0,0.136,-4.376,0.277,0.237,2013
11UdJjXLFVaiM3HW2QvPoE,15,0.64,5.93E-06,0.283,-6.088,0.03,0.855,2018
6sMJZ3Sap2Mr72qWCiS4hQ,15,0.361,4.12E-06,0.347,-4.024,0.123,0.737,2013
1qYDzLpv3mUviEIYN5Q4vG,15,0.394,0.0112,0.128,-10.412,0.163,0.426,1999
2Wo21dbbosQyDIWyzHH0fJ,15,0.579,0.00197,0.0827,-7.467,0.0312,0.774,2010
06feOs12TQ63kJpgLwWNoP,15,0.604,0.0113,0.493,-3.376,0.0592,0.715,2018
4i3tUXDp1KQmj2LYjcAqFO,15,0.686,0,0.132,-2.982,0.16,0.536,2016
58ZCvTQoZKP1A3UXxDmxhH,15,0.672,0.00892,0.0819,-3.443,0.0517,0.861,2010
0GXJDErZuFQfZThZ8YQqWg,15,0.493,0,0.0568,-2.608,0.0582,0.775,2013
0Euq9wkGbQsKYPmQQVdWQe,15,0.483,4.01E-05,0.117,-7.045,0.0339,0.398,2014
6eQV9K1KLEOpHP3XBZlb7K,15,0.633,0.000428,0.373,-6.39,0.303,0.135,2011
0QtsoyJXY2Pzu3gLwZg4Fi,15,0.742,0,0.0959,-4.172,0.076,0.732,2015
7JlgXkRoXwFGIR3lwgMYsp,15,0.657,1.29E-05,0.129,-4.737,0.0745,0.853,2003
0Ju9HQahwUpvkXWUSBYKiW,15,0.511,0.00131,0.0918,-4.765,0.0372,0.649,2001
4Emjpwy3zfMt7uA9tnGdxD,15,0.696,0.11,0.0905,-8.582,0.0283,0.516,2005
0VwwAFiKsbIolpnUIOVrZq,15,0.562,1.04E-05,0.798,-6.659,0.0505,0.592,2011
28YydPkdYrblOtOkAQC3bW,15,0.754,3.84E-05,0.0647,-6.486,0.0465,0.651,2000
2H0aamuTcmWjKtIDgQ6asD,15,0.253,4.75E-05,0.0718,-8.306,0.042,0.231,2006
4spMhBo5WxCuM3vz3k3mXX,15,0.627,0,0.0775,-5.653,0.0921,0.557,2014
5fQeQ7U2HumpFL6j38CtwJ,15,0.461,0,0.443,-5.517,0.0613,0.427,2008
4THFMEyQ2IRDOoS2NbcCyf,15,0.754,0,0.282,-4.97,0.0878,0.35,2008
4jp7O8wQkaqYTan671bRV1,15,0.612,0.00454,0.108,-12.926,0.0372,0.707,2006
64YdyHBlXNlNP9wtoGiEKb,15,0.682,0.00165,0.222,-7.586,0.0381,0.763,1999
2ajNF8hNDKAxlKLB8UW1i0,15,0.769,9.37E-06,0.13,-7.82,0.114,0.818,2009
6rAFZfldjW5m6v43bq4W7Z,15,0.724,0,0.0767,-6.107,0.037,0.626,2014
1QSGRxiD1hxz7DnpkUyGhJ,16,0.678,0.000314,0.197,-10.014,0.0266,0.488,2013
1kseAsply6s3DW9yOPajfJ,16,0.469,0,0.707,-22.224,0.932,0.283,1982
3I76k5wQhwZvU3pS2u0bHF,16,0.521,0,0.954,-8.335,0.946,0.294,2009
5G8m5QAG9D1RwUGwHJ0h7t,16,0.558,0,0.859,-6.273,0.943,0.356,2014
4Ca1XOHzy4yVfzCuvKE0US,16,0.557,0,0.752,-6.149,0.884,0.322,2014
1lvlSFGVfUzQQScz1tg3R8,16,0.717,0.00214,0.235,-8.702,0.03,0.664,2013
0uLSX1F12hxCV5Ntx8VnlC,16,0.235,0.0357,0.125,-21.69,0.0361,0.687,1994
20QqjQgBmtIru8LwZaNYnC,16,0.608,0,0.972,-27.415,0.938,0.315,2004
6ydDqKQLNnIYJdm076scQr,16,0.507,0,0.882,-7.058,0.943,0.398,2014
6xBgm6uwwoyddUY9GzrQCw,16,0.666,0,0.847,-22.909,0.948,0.585,2004
4AyPWnyntodWQkZgROEbqg,16,0.623,0.000446,0.0624,-12.7,0.0487,0.741,2018
1Pfk9UiuJP4WKSmXdGf7tS,16,0.516,0,0.946,-6.47,0.854,0.685,2009
7oCHyJtJiApwXeVVwJc9z3,16,0.695,0.495,0.639,-10.059,0.0426,0.963,1973
44qdG9Ow8KnxdM8MMP8s5T,16,0.617,0,0.975,-19.464,0.949,0.124,2017
0tvWPnFt16eX4hvlSOmdDy,16,0.572,0,0.79,-13.194,0.949,0.564,2005
3dCl85gZJZmBb2iiCmlkI6,16,0.628,0,0.725,-24.082,0.937,0.396,2004
424ZvJMByzQRv5XE47YkRV,16,0.565,0.838,0.0999,-12.017,0.0386,0.556,2018
17lyuZaxiwWZbGmzbpNFJX,16,0.59,0,0.407,-15.659,0.534,0.388,1996
33qP2odOeNNq9YXM4p0hTM,16,0.545,0,0.949,-12.655,0.942,0.358,1993
7uNCxIGIcBrT8daaEg2ZDu,16,0.54,0,0.708,-14.874,0.949,0.379,2012
1d39jGm7UxtaFjb5aoZlIQ,16,0.601,0,0.783,-16.648,0.923,0.3,2012
3rJdHvaSEwuASzYO1HOdK0,16,0.596,0,0.778,-25.641,0.937,0.332,2004
5rMFJlMjeRqmO7bNtKfL9E,16,0.625,0,0.769,-12.98,0.943,0.0577,2016
6x1Idzv5IJrwHc0xOvfGze,16,0.611,1.67E-06,0.444,-15.867,0.877,0.637,2004
5QQi3d8FvpdXbB1qrfUWMN,16,0.632,0,0.753,-24.153,0.938,0.423,2004
3kcQ5HTQIcWGX2c1Mk88if,16,0.58,0,0.205,-9.595,0.895,0.344,2009
7hlSwm85XQIv81XzweoPPp,16,0.626,0,0.884,-18.323,0.931,0.335,2015
1e8g3CwLs9e4BGrP9SAPwb,16,0.82,0.0147,0.119,-10.953,0.0427,0.961,2014
5f9JsSgWfhjRL9L9ZyFw3C,16,0.588,2.56E-06,0.866,-8.197,0.95,0.191,2012
0Hqp30bZdsGlE5ioFIJnux,16,0.597,0,0.887,-12.908,0.94,0.432,2004
3cjcCuzkNtkmoMqY70MlEd,16,0.607,0,0.783,-9.264,0.932,0.71,2007
4cUMRVNnXqkUIqik2ohXRI,16,0.474,1.07E-06,0.728,-12.686,0.944,0.259,2016
15Csfc8bkcJRCT04OErRkP,16,0.563,0,0.959,-8.51,0.932,0.802,2007
3VNAtC5q6CxfuwLY9FQgpB,16,0.591,0,0.637,-15.219,0.902,0.633,2004
0OQOgNrmmwU6wzj8IJztun,16,0.546,7.01E-06,0.568,-17.335,0.72,0.838,2004
1jKBTDv3Us5GTj83ge8Wsv,16,0.236,1.64E-05,0.169,-9.201,0.0322,0.216,2008
1QVPAYDKRngXsxvq2UVffc,16,0.35,0.307,0.101,-26.355,0.0315,0.353,1970
64K8qSxu2t8HgfQqvUIp4q,16,0.59,4.96E-06,0.689,-14.008,0.466,0.646,1982
1LPj9ApkPIxxgSw4Nc41L7,16,0.539,0.00016,0.846,-23.026,0.94,0.192,1998
4eV9AeVlgZrFiadnlwhzLP,16,0.68,0.0439,0.0992,-18.756,0.0479,0.474,1970
3PpFclZ1P8mEsHpipNXc4a,16,0.568,0,0.755,-8.698,0.933,0.496,2014
3cigOBNK01fBoHi3cD8LYJ,16,0.48,0,0.799,-5.802,0.919,0.48,2011
1niBwjLiJRlwTOVgFC7jg0,16,0.547,0,0.637,-8.509,0.905,0.374,2014
20WpLr97qzQsL2sLVHUZeP,16,0.329,2.93E-06,0.0707,-19.072,0.0538,0.17,2012
49lorNZAvnPJwCykTdSPyn,16,0.492,0,0.548,-7.868,0.947,0.501,2011
4nbk5Dfcs6XfQ1G5uQH64o,16,0.505,3.75E-06,0.965,-11.126,0.864,0.0752,2014
5ikN10ze7dNNl5SwL7ZGMn,16,0.57,0,0.76,-12.502,0.921,0.318,2002
2df2AEojWzlGFOgesZigdR,16,0.209,0.539,0.237,-17.939,0.0416,0.0382,1992
24qU0grpeIJB4vz0d039h6,16,0.18,0.89,0.122,-20.759,0.0354,0.0342,1984
6FmXuQ38VfOXxGkcY3IQKt,16,0.506,0,0.632,-8.474,0.94,0.292,2011
2weLvLmtNYb0p9BxafL3rL,16,0.321,0,0.771,-7.916,0.956,0.248,2011
5MlPFlwzOsJRkCtULJmfeJ,16,0.147,0.652,0.0937,-21.265,0.0386,0.0377,1984
7AzNQ3AXf5coKTFyyW1tcM,16,0.507,0.0845,0.105,-15.815,0.038,0.368,2019
6bCFvDalGFHJXFi1MyrcQe,16,0.377,0,0.0672,-23.09,0.0507,0.108,1993
7HGbDQ49NhK3UmscQkk6Vc,16,0.187,0.00696,0.112,-12.85,0.0357,0.0496,2008
7F7mppplgK0nrdYCgDF8nw,16,0.474,0.000737,0.123,-5.411,0.0286,0.215,2014
3FfHM3SLxOG25PUVkLHwlk,16,0.315,0,0.345,-3.349,0.0888,0.401,2018
6LarOjS7G0KLBVZy76UOtS,16,0.639,0.0285,0.118,-12.747,0.0458,0.917,2008
5Cqbls60hB0zF21INQ8fiI,16,0.576,0.000131,0.22,-4.552,0.0364,0.715,2003
1EzPDyqE6G35tP6FLIG3Ez,16,0.648,0.0483,0.147,-4.836,0.0973,0.456,1995
3KAMGOdq2ycYhIV2DIiXsq,16,0.276,0.000824,0.24,-3.653,0.111,0.384,2000
7IYBkqoLjghLreZaQGxKai,16,0.514,5.06E-06,0.157,-6.394,0.0611,0.714,1996
7Ez54lkJ0pY1yrX94cChpF,16,0.41,0,0.22,-3.767,0.0325,0.842,2001
3CtppQXF8Wh54TwO5hdTfx,16,0.614,0,0.221,-3.246,0.183,0.76,2016
0fvW8TAAzTgikoN8Bwq009,16,0.467,0,0.114,-7.846,0.0468,0.14,2016
3ajXJxlzC1TbHcNJO1fie0,16,0.674,0,0.272,-5.678,0.0308,0.598,2016
7oa5hniGbtYC66PsaBiBNf,16,0.388,7.66E-05,0.0712,-9.574,0.0708,0.719,1989
6fwQDapXUA1O208469NBVG,16,0.479,1.71E-05,0.0455,-4.238,0.124,0.608,2006
5XxxMy8BAdFurg3lVHOCd0,16,0.595,0,0.242,-9.285,0.0294,0.925,2002
7EI0cdZikh186d8EeP5BVR,16,0.639,0.493,0.287,-5.767,0.0501,0.467,2001
3lZ4UYDG8n4InoWwM9vuI0,16,0.278,0.763,0.156,-16.039,0.0269,0.179,2013
1Obseyf9qIPUIYdZlkZFD3,16,0.438,3.51E-05,0.146,-2.888,0.118,0.625,1997
1zG951vjcbdKmttLWK44EZ,16,0.502,0.00143,0.183,-8.826,0.0539,0.91,1997
0w9KuSnWjjrXzeMvALde87,16,0.423,0.00358,0.0485,-4.359,0.0802,0.85,2007
0ZdQIp2Nyj5Yeldd44Booo,16,0.662,0.0951,0.0989,-6.473,0.0949,0.314,2019
7BZJLJUTbRwXZHanzaed2n,16,0.383,0,0.236,-2.586,0.152,0.314,2012
5URXWuHpJ74h1trijyINSj,16,0.607,0,0.19,-4.149,0.0429,0.661,1999
66DgpRtdRLQ4gOQF0bnTvY,16,0.389,0.000499,0.388,-4.695,0.0668,0.638,2009
39M29eIcUw2R0i3RJHlnix,16,0.491,0,0.513,-3.718,0.114,0.798,2014
6flzedaVQjaNTtaOmPklnz,16,0.758,1.77E-05,0.145,-5.581,0.0417,0.694,2006
14agPvPTNXhdq91Oj39M3z,16,0.304,0.000475,0.0656,-9.083,0.0709,0.233,2001
0MFRb54bGouRycfiAa6bI1,16,0.678,0,0.277,-3.973,0.0452,0.909,2006
30XoPyEK2UeeLrOJNeBakY,16,0.505,0.952,0.377,-3.17,0.144,0.499,2019
3yH1CDwYuuOqW9FShnRT8E,16,0.599,1.59E-06,0.109,-8.258,0.157,0.725,2001
5tk8lbwIGkDXZ4qN1Kr2Q5,16,0.33,0,0.3,-2.462,0.0737,0.622,2005
4V4M2xg30VpKe74ojDebMs,16,0.421,0,0.124,-5.613,0.0333,0.405,2017
7eZNjtJ7bn15vsZZcK8aSA,16,0.468,9.14E-06,0.693,-3.423,0.0536,0.495,2004
1x9y3naGeryAaP3USWf5H7,16,0.587,3.18E-06,0.154,-7.215,0.0994,0.781,2013
1lB20y5pR5cKB9BIEVLP5B,16,0.545,0,0.258,-5.396,0.0408,0.698,2016
3KQX9qvO7tkQ0ItWj1BifL,16,0.701,0,0.0736,-2.916,0.0277,0.684,2016
0SxmGPUGpkahrNx0b28wO3,16,0.633,0.378,0.352,-7.454,0.0592,0.921,2000
1ETQ20mvTciBRxvEVWnMCt,16,0.5,0,0.254,-3.027,0.0469,0.413,2011
60OJMiy11bg0T8Crrz5Y2P,16,0.446,0,0.0714,-6.014,0.699,0.775,1997
0gE0ceiO2pAsCjvFRt0JSb,16,0.534,6.78E-05,0.28,-4.097,0.142,0.208,2004
