track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
3jKqyskNFx4OpnppbG31G7,34,0.466,3.24E-06,0.22,-3.391,0.0644,0.209,2017
5Jo9dAhHEdBOsCbOPq0hti,34,0.566,0.000289,0.0633,-7.616,0.145,0.367,2018
0CAzmB3ZV0GvBte9ToHtC9,34,0.554,3.69E-05,0.12,-6.438,0.0451,0.337,2016
0EuHI36QZulUnlXnfpUskV,34,0.758,0.00511,0.197,-8.824,0.0409,0.9,2005
12W1pqTPxSv6kjoIu0RMIt,34,0.527,1.31E-06,0.875,-5.598,0.0588,0.54,2013
5IMckMdrKc1y6Pa1oUeFAI,34,0.709,8.60E-06,0.202,-6.309,0.0669,0.747,2016
2W6GKlccOKtTfU1pkg3U6g,34,0.582,0,0.0983,-4.545,0.0301,0.613,2018
6K1UgfyTeJOW1pQkIw9cHL,34,0.637,0.00585,0.174,-7.797,0.0504,0.667,2016
1oTZRcsfsSKn77qbfUYR2N,34,0.631,2.25E-06,0.359,-6.354,0.378,0.614,2018
2tCsplcSRQAFnA1TeDDas0,34,0.404,0.000422,0.329,-5.073,0.0399,0.868,2014
49zUFsIp2ZDXhlwQdQwuRU,34,0.743,1.75E-05,0.194,-8.041,0.271,0.384,2016
7IXKDf45l2JoAAczYhPHqp,34,0.877,0.00238,0.0455,-9.698,0.121,0.505,2016
0hwZcTCXYNTY6zrpWpfmnU,34,0.759,9.76E-05,0.149,-5.392,0.0361,0.96,2018
5qCPM2o6XuYok9ThME8JCd,34,0.337,1.73E-05,0.139,-7.076,0.041,0.0766,2016
6M9QnQXKC34mkDyqBk9pwS,34,0.654,0,0.454,-7.122,0.0767,0.838,2015
11pgYPpViYqlp9vxLqaaHr,34,0.24,0.53,0.119,-27.985,0.043,0.0602,2012
4EH4Uxe9BGccV4lugSvRRZ,34,0.64,0.00278,0.966,-10.099,0.0349,0.364,2012
3Qr0t5gUkblSNrq2P0S50t,34,0.742,0.245,0.224,-6.561,0.0555,0.416,2016
6PnKZ6z5sxZMlHaxlImF8f,34,0.669,0,0.157,-5.976,0.0545,0.312,2017
1rSDWwJkMrxCChahQDnkfu,34,0.824,0,0.257,-4.834,0.0489,0.885,2019
33dufBEf7CLWfrBgUDagI5,34,0.579,0.00034,0.184,-7.446,0.135,0.0381,2016
7EWRE51RP4Xq2dzeD4RX3M,34,0.633,0.251,0.993,-8.225,0.0325,0.0646,2012
0VjkjJ1vNCrbdk0EhM6Phw,34,0.632,0,0.217,-4.52,0.0963,0.24,2013
3cnCRVlwOYxzWJR27y0sc8,34,0.682,0,0.708,-7.056,0.0608,0.881,2008
2AQU7P7mdsK2AavspRBrYe,34,0.389,0,0.0974,-6.387,0.0474,0.165,2017
6xvBfRyRHKT528aZUdAQg8,34,0.907,7.69E-06,0.367,-11.106,0.131,0.377,2018
29IGlc7zrjwkxACK0SvpYy,34,0.481,0.477,0.133,-9.383,0.0271,0.0787,2018
7AVE74ejSpN1qZsiaMZsRf,34,0.485,0.0667,0.372,-12.604,0.106,0.162,2013
7euIJiHhj1V598QTd7snUS,34,0.727,0.0231,0.139,-6.279,0.101,0.734,2016
5N0eAn3OLdZOpX00AiisTH,34,0.672,0,0.106,-5.375,0.0674,0.563,2010
4ao4LzdnFwuJ306jo5lJvt,34,0.484,2.42E-05,0.964,-7.415,0.0295,0.108,2011
