track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
5joUD0eK47gHPCd0jfIFua,16,0.914,0,0.0967,-4.364,0.0863,0.767,2018
34xBsa7nGN1PAu1sn9zXOu,16,0.623,0.000222,0.105,-6.72,0.0323,0.413,2018
7es4Ylz21gkW6BeHdE77wI,16,0.662,5.18E-06,0.0886,-8.202,0.102,0.487,2018
6RU1tWo7S4o1aoHQ7rxCBR,16,0.803,0,0.124,-4.508,0.033,0.944,2015
3uN3woPfsl5nAMns7ramNl,16,0.765,0,0.368,-9.86,0.276,0.173,2018
7aJHjGmmOnmetpZkPuJj7Z,16,0.435,1.41E-05,0.716,-10.189,0.0356,0.1,2011
7A7Bak9REa9pRZzohssUPi,16,0.0846,0.41,0.35,-13.867,0.0345,0.0617,2014
7hbblm3ycB230KIxY6fSwh,16,0.124,0.901,0.107,-14.307,0.0362,0.036,2016
0ubiP4XQEDORzNzebTEklk,16,0.173,0.875,0.0634,-27.973,0.0439,0.036,1984
1PIX9ddnbV0hmlBtiBINOc,16,0.344,0.00013,0.0972,-25.387,0.0532,0.234,2009
5vHMRSNRGRZUmpFoI3FAy5,16,0.127,0.535,0.106,-24.984,0.0342,0.0372,2004
4pA0GR1f9KsRNGX18Va5Qe,16,0.156,0.847,0.111,-27.999,0.048,0.0383,2010
5KGf2YteIJOZrpV98qQHiV,16,0.414,0.891,0.129,-20.765,0.0355,0.427,1988
1vXb6SJKo93XLEYvmy6W7S,16,0.302,0.866,0.325,-25.205,0.0377,0.0594,2007
6fueD6FT9Ty0tEQDRh5HAA,16,0.134,0.00194,0.0652,-15.944,0.0371,0.0667,2018
7lc5PkGtBhVUzGluLNtP3k,16,0.358,0.00958,0.411,-2.395,0.109,0.483,2019
3XqDwNA3Mw0nn6bJhpIIj2,16,0.795,0.204,0.374,-4.785,0.265,0.45,2019
3u8dlYQbXs2jCtaAV1ms5X,16,0.831,0,0.0618,-7.278,0.343,0.861,2018
5pdWYwHkGWGEuPd62zvT5w,16,0.75,0,0.16,-2.889,0.274,0.957,2018
4YqrvahqjqvI7mn7iouTL8,16,0.787,0,0.14,-5.86,0.104,0.77,2018
4rBtOM88ez6DsXv1Fhp7BJ,16,0.746,0.000404,0.0879,-7.046,0.0461,0.143,2018
1QZ3wELgRzCMOID8vxPkrb,16,0.51,0.00054,0.0805,-9.87,0.0342,0.219,2018
6GvB2N0lCOePETatIxxUWC,16,0.732,0.762,0.0583,-6.088,0.0281,0.926,2018
4OOO0Tejxk8zyEG67VwMEU,16,0.44,0.879,0.0752,-10.881,0.0323,0.0554,1978
00W1zSwhXW45LWXkEqNjhx,16,0.494,0,0.084,-9.285,0.167,0.279,2018
5Kw2h0iiRIn19o9To4kp9i,16,0.678,0.000415,0.186,-8.147,0.103,0.344,2016
5y4umfThiXaFxnPjGFrZXy,16,0.523,0,0.577,-14.45,0.139,0.851,2013
1El0oyM0STKnVoBPd0MNe2,17,0.2,0.749,0.107,-16.394,0.0418,0.128,2018
0jK0wWwuwsiT8fZnLX96jh,17,0.778,0,0.11,-10.21,0.0683,0.366,2019
1Wie4Gda6A3OKrz1TLZgWN,17,0.719,0,0.154,-18.546,0.0418,0.387,2016
0aLLldt645fB0oreHdFuvY,17,0.408,0.207,0.191,-21.746,0.0539,0.286,2000
5G20zBt8hrSowTjuioVHkG,17,0.27,2.33E-05,0.243,-7.38,0.0307,0.278,2019
25FOxpFIURJZaoS9wJ62xX,17,0.473,0.0145,0.107,-16.341,0.0427,0.162,2016
72S5rtuBkN9jrRyfKrB56z,17,0.6,0.851,0.133,-9.18,0.0455,0.544,2017
4EPwVqdSx7DvyhcoKDWHks,17,0.174,0.642,0.104,-20.142,0.0356,0.0358,2007
0eRCKrLhtVmvanQEYwPHl1,17,0.228,0.931,0.201,-29.691,0.0391,0.18,2012
0w3I7be4KcynNOkoe1RyP7,17,0.155,0.0965,0.0862,-19.119,0.041,0.04,1964
2lGwj2ylzgX1StYu5zkxae,17,0.33,0.866,0.112,-19.06,0.0346,0.252,2016
7wnQA7agMdVvWcEgscocFI,17,0.222,0.908,0.0969,-16.149,0.0318,0.259,2019
4RlvT6CorrPqx1V6qj3hnk,17,0.108,0.918,0.103,-35.522,0.0505,0.0906,2007
3CMulNKFvkTEchwDX9SjHO,17,0.675,0.00331,0.127,-4.749,0.196,0.243,2019
1c4djybfa6TS07oMspWYfL,17,0.415,0,0.666,-9.24,0.0409,0.193,2018
2kAlc2hpXQUgbif9DI5Xpy,17,0.841,2.97E-05,0.214,-6.375,0.0664,0.771,2017
7Hm6tRhG88OLDSbpFCkG0o,17,0.848,1.27E-05,0.0529,-6.141,0.154,0.721,2007
0vKiBmy2RNqiVR8ArvPdyl,17,0.735,0,0.146,-4.01,0.18,0.803,2018
24uL8AgPcJHWSQFHWwnRHK,17,0.593,7.55E-06,0.092,-8.411,0.0264,0.462,1997
0olYs4i20hEnTe5KQlALGJ,17,0.612,0.972,0.137,-10.416,0.0956,0.132,2016
0ADg6v0dh3KvdSfqu9VzOi,17,0.428,0,0.562,-2.713,0.061,0.721,2018
4gu5QgEtmrtLzRDlBQK2NO,17,0.902,4.68E-05,0.265,-7.217,0.0537,0.572,2018
1mYSf3hvqBkyxumUlvqnnJ,17,0.606,0.000473,0.206,-9.596,0.0493,0.305,2019
4DcqdCs204C3lrX8MWoHB7,17,0.874,0.311,0.0937,-8.673,0.061,0.616,2002
5kSiwIvaSp3dER6rRWQOHp,17,0.876,0.912,0.369,-14.102,0.0885,0.845,2017
2j0G1GvvNUTN7ThKN6Jj4y,18,0.779,0.0167,0.0709,-7.569,0.0378,0.93,2019
0DxsBAsYTHHTe9wDniqF0q,18,0.413,0.0557,0.0671,-7.822,0.0308,0.194,2006
4yXvZuCHf0DWLTxK52OrAV,18,0.611,0,0.187,-12.008,0.0451,0.808,1962
1UoCBZP2t2GeiOslef9FkG,18,0.774,0,0.282,-9.494,0.0756,0.37,2017
2uiTBklIqGQhPYdlUGvPl3,18,0.477,6.30E-06,0.0881,-15.635,0.0351,0.519,1961
195feLuw6nZ1RP3OIS4nMy,18,0.417,0,0.956,-2.343,0.736,0.351,2010
64bEXkDsPUWg1NdN4v5XHE,18,0.555,0,0.114,-15.554,0.0355,0.273,2018
7sUYHjPcAvw5aub8HlQvBL,18,0.531,0,0.0998,-11.163,0.0295,0.194,2018
0bE6agdMLTZ4DisxA6zXrd,18,0.166,0.932,0.157,-23.239,0.0405,0.0548,2018
26eRVVaLmt7g5Ut3C0KTzp,18,0.101,0.772,0.127,-23.214,0.037,0.0854,2017
0CgAF1xrl4M9xhDAPGTD1i,18,0.215,0.726,0.394,-27.585,0.042,0.0778,1998
5CscgqJlIBRPGuMCGfe4dC,18,0.359,1.59E-05,0.143,-11.165,0.0273,0.134,2018
1gvQUibau9s9aN0R8f4I2K,18,0.251,0,0.209,-10.603,0.0521,0.165,2013
2dmlQWxbNOfKfeYEvPIxk5,18,0.437,0.871,0.115,-32.884,0.0409,0.052,2007
5VdS3Hg0XeCWBNRkhT53ew,18,0.319,0.949,0.0671,-37.503,0.0412,0.0453,2002
