track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
35W5xcjfeqxCIv0O8TSI12,31,0.391,0,0.126,-12.254,0.0341,0.349,2016
5PPxL77sPLE7RuA3Ya9T3C,31,0.0822,0.841,0.095,-23.618,0.0487,0.0288,2017
4Sqkfwcm0HsUMlmmmZYTim,31,0.302,0.666,0.112,-21.092,0.0403,0.279,2016
6X15XzKSCNiGJhbinKrZg3,31,0.195,0.882,0.123,-19.371,0.0381,0.0393,2017
0WFlDv4ro1ZVuENYErUvRy,31,0.523,0.131,0.093,-11.446,0.0442,0.301,2017
1VcuJnxxrWeoJwQqF00Ggw,31,0.462,0.918,0.103,-23.432,0.0505,0.0822,2005
4bI6whlANRIv9z7H76USwn,31,0.113,0.744,0.106,-24.652,0.0451,0.0368,1993
0Rea9WUjO4vRsIJiAYOpp5,31,0.344,0.0599,0.108,-16.374,0.0465,0.156,1959
6EwKf0ogNXUVB7GyzUReNo,31,0.329,0.93,0.108,-19.733,0.0404,0.0391,2012
2LY503OZZHMC8uP7isvnR6,31,0.122,0.848,0.109,-24.111,0.0469,0.0983,1998
6YviVNBmQ8eaQpUZEpZAMY,31,0.538,0.075,0.0916,-28.307,0.0377,0.0878,2018
6gKtGkDTPjVMsWt02bGCHn,31,0.264,0.906,0.19,-23.093,0.0384,0.16,2003
0N8N3Eeh9zu6kGMy3IW0W7,31,0.399,0.95,0.0809,-26.116,0.0413,0.283,2016
50EMA40T710iKQUlAxkVLe,31,0.546,0.949,0.0851,-28.266,0.258,0.353,2018
0Tlvb46peCAX3mrKvYqyOW,31,0.376,0.953,0.0731,-36.193,0.0549,0.218,2002
4rTqyZxj4pW5WrRl5UsF7H,31,0.485,5.16E-06,0.257,-5.121,0.0304,0.397,2016
2zffJrsswcDnVhLW5sXYsp,31,0.467,0.000617,0.13,-2.715,0.0409,0.25,2017
6ArbQdNmyp4t5aLXmRfO90,31,0.692,0.405,0.0506,-4.654,0.0632,0.17,2015
3f4KmzUdL9RAZ0CfTaocv8,31,0.596,1.11E-05,0.144,-5.481,0.0317,0.422,2016
04HRnf4z0ZXVLFHGInF4bY,31,0.602,0,0.977,-9.546,0.0374,0.389,2014
