track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
3I9Hc2042AjwkkNBI9HWE1,41,0.716,1.62E-05,0.0537,-2.675,0.0855,0.562,2017
1rUHLQEmtefobuukC1SVDf,58,0.477,0,0.268,-4.692,0.0547,0.71,2001
2xrRBqEanoBaA0tOgYy18V,51,0.534,0.000132,0.115,-3.927,0.0542,0.887,2013
3GjLecyioIsSt0EaNecctC,50,0.604,0.000315,0.0823,-5.99,0.0344,0.666,2019
3NURF3IznpXjSnfSHySTmM,42,0.662,4.78E-05,0.525,-5.495,0.0669,0.763,2019
3RtG4ReXHEhIPkxPHCF4jp,39,0.662,4.78E-05,0.525,-5.495,0.0669,0.763,2018
15BsrefgYpMgu1ZCIr8EJw,59,0.583,0.00101,0.121,-3.296,0.0318,0.2,2016
5FYRDy9dLVi2uTa8httrVk,51,0.486,0,0.0473,-3.864,0.0932,0.551,2017
40Cck5doYRRMAbFirn7VoH,48,0.589,1.49E-05,0.114,-7.168,0.036,0.495,2015
2cCWbBmadLbKvr9xddC79R,59,0.598,0,0.147,-5.209,0.0388,0.288,2001
6LjvqlPeCj62wF4oPJ6XOe,53,0.295,0,0.114,-5.253,0.0337,0.199,2017
7Hn0bZgca6QFz6OyKkvAi6,58,0.448,0.00416,0.139,-5.058,0.0473,0.168,2009
0f34MnV51uwA1jhPQ2XnDe,58,0.365,6.55E-06,0.141,-5.912,0.0909,0.46,2015
5POfKAQ3BLtvfzqpf5zlTi,35,0.887,0,0.135,-6.535,0.44,0.157,2018
6hubiasSMCpOCrcCbHDGTm,36,0.624,0.0163,0.0971,-6.476,0.0695,0.361,2018
2EQIn7DKZbxzvOUCMsh7vp,49,0.549,0.0426,0.288,-5.339,0.0384,0.364,2007
5d1ix6uxnaiPzQpWjoOtrN,47,0.528,6.70E-05,0.132,-4.363,0.0332,0.299,2017
6DUKQUhWqUySYngLXLNwP2,60,0.68,0.737,0.0884,-6.078,0.0384,0.959,2003
202QyrB6Q3Kimsr7KqJut3,55,0.472,0.00576,0.128,-5.024,0.0446,0.461,2012
5XORpyys9dvyjJWpTYeame,52,0.732,0.000176,0.104,-5.577,0.063,0.778,2003
