track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
6bsqes8Zg9gUULzuCkMUs0,56,0.563,0,0.0972,-7.226,0.0765,0.284,2021
0ROE31C8Wu4neZoR9stM9e,56,0.859,0,0.0819,-6.116,0.428,0.153,2020
5sK3o66yupTNIK6gWgzGjf,56,0.784,0,0.192,-7.261,0.0871,0.465,2020
11OwAR3GlBj9E35Cznf7Lj,56,0.695,0.000137,0.156,-8.882,0.167,0.38,2020
11Ey4yJVeWEsA73KjACkVY,56,0.873,3.13E-06,0.0738,-5.35,0.0661,0.871,2020
2C0hTkdEoikhKzDCJl32QZ,56,0.724,2.51E-06,0.103,-8.408,0.0518,0.328,2020
4IIuCotvqijraSdnVLaFnM,56,0.331,0.953,0.882,-15.392,0.632,0.42,2020
63mdJr3NMY3wReOkNE6c6W,56,0.695,5.43E-05,0.111,-8.082,0.0521,0.62,2020
4QVdnpSO5JGMFOEl6ys4RQ,56,0.295,0.000396,0.858,-9.478,0.0327,0.224,2016
3XLSlQLJf3Ut0zvMUxnF1h,57,0.683,0.00124,0.124,-6.798,0.0574,0.406,2009
39RWYLt6hgk9BbhkDgaHW9,57,0.92,0,0.107,-5.643,0.315,0.403,2018
6XkEw1h2Hq4fGnSm0JuSIs,57,0.677,0,0.213,-7.01,0.341,0.46,2018
2lLsjgDoS0Hg5pNNHymXGG,57,0.607,1.33E-05,0.132,-4.805,0.136,0.518,2019
1BSAmxkrz2H8v5kpTfAT6v,57,0.687,0,0.533,-5.769,0.0554,0.407,2017
3a1Zmq0P1E6W80x8EOcVNP,57,0.729,0,0.111,-7.047,0.0554,0.687,2019
5uIYONgpUQ7t0v7D6CTMBt,57,0.387,0.00527,0.102,-8.454,0.0318,0.0632,2018
4kfEy7h6bWBS5OaDpccTap,57,0.846,0,0.125,-5.481,0.128,0.581,2017
0vkzRCT7wzqWCFJw5TN1MQ,57,0.871,0,0.0853,-8.042,0.0788,0.787,2018
0SA903LGHxe4ExdRY2SqVH,57,0.262,0,0.325,-4.548,0.123,0.487,2018
1SxagO9GK0UUeEYLmH8Pln,57,0.728,1.95E-06,0.107,-11.404,0.0629,0.379,2018
6CyJlVAEFlNdpggOLanytL,57,0.434,0,0.119,-4.774,0.0453,0.596,2017
5ecQ5IpXRvNgnsAuw40dOq,57,0.477,0,0.112,-3.331,0.12,0.603,2018
4KpKyRFwN0gcwj58Uqjv7q,57,0.557,0.00184,0.14,-9.892,0.0257,0.689,2018
5HFCFmjuSubniEXnFOpiZG,57,0.841,0,0.327,-6.963,0.227,0.493,2018
6rcTyXe8W8kjQLyALBRj1v,57,0.636,0,0.123,-8.346,0.0614,0.234,2018
5KGTKwOePys7aH4o6EzXEP,57,0.437,3.86E-05,0.0765,-4.569,0.0376,0.284,2018
7vFmnmcsp41uzBUiw1zxfw,57,0.727,0,0.102,-5.728,0.0586,0.796,2018
0E8WJOFs2eWD67USh7C6Qd,57,0.766,5.87E-05,0.258,-6.245,0.0538,0.214,2018
2SClPoLfPJmwrr3EyfgRTS,57,0.649,0.000227,0.192,-3.61,0.0503,0.443,2018
1RvL7eHoeUolnQbWm2Hnba,57,0.677,0,0.117,-2.864,0.168,0.643,2018
2xbRwcylUnX881qaqf5ZZJ,57,0.666,0,0.502,-5.318,0.236,0.769,2018
03CbQgFxnBFoaaVJTfEqMD,57,0.615,0,0.0789,-3.3,0.0396,0.323,2019
68449VKGwYShObwI2UFdFt,57,0.827,1.50E-06,0.0865,-4.29,0.242,0.181,2018
2KpCpk6HjXXLb7nnXoXA5O,57,0.757,0,0.251,-6.125,0.248,0.684,2014
7lEhOiFtcLXY4P7cuTKuQ8,57,0.839,4.59E-06,0.282,-2.492,0.0531,0.529,2018
790MhTXPFrYkrqCKvpg4t1,57,0.793,0,0.241,-4.966,0.0547,0.649,2017
3fd5jcZKAzoiivM4ZDwhyU,57,0.614,0,0.124,-5.411,0.0321,0.329,2019
1XM5PgxjpYcF0JuE9nfUbS,57,0.685,0,0.0759,-5.147,0.0565,0.905,2018
3OKjDHmSJVKOn6V4hCR8bq,57,0.677,0,0.139,-10.19,0.14,0.609,2018
01k24g94i1JvkFLQmVEdCd,57,0.647,0,0.062,-4.516,0.0904,0.618,2018
4EtIza2cKMmR2XP7idebXG,57,0.679,0,0.124,-4.548,0.0384,0.255,2019
7Eso5mURNFprb5PmhOXDlf,57,0.762,0,0.275,-4.72,0.226,0.961,2019
4AKWHLChPxYdXAB2cHmZB7,57,0.758,0,0.0922,-5.636,0.171,0.594,2019
6sAwJPgaSQ9Q4XGnbx1gZb,57,0.697,0,0.418,-5.028,0.309,0.858,2018
4VTTpwcAxVSQNzEZLi75d0,57,0.743,0,0.0577,-5.733,0.0732,0.682,2018
7G2XZhDNHo7SSDWSVxC0UT,57,0.891,0,0.277,-5.836,0.0898,0.967,2019
2Ol2sv6gePRdJrZC1hDVNY,57,0.429,0.802,0.142,-7.486,0.0753,0.41,2021
6CF085Ol0cVda1WqelybEQ,57,0.732,0,0.219,-7.472,0.0443,0.732,2021
4GVwjLRT7oSsKby7Vy8EHr,57,0.703,0,0.908,-13.135,0.884,0.544,2020
7JDbfYUHjDzQPFSDh5lzGs,57,0.669,0,0.694,-4.035,0.036,0.184,2020
3iEqGBZ2wcpVzhiAcwXVC6,57,0.651,0.00455,0.0927,-4.842,0.0311,0.386,2020
41xKiK40e7MFu1bqcGSz1d,57,0.841,0,0.123,-7.121,0.229,0.42,2020
4sjdZEEQvR1sXrRNSuBfbA,57,0.667,0,0.612,-14.625,0.761,0.829,2020
6hyQVqfHFvsJDjcmj4qrHf,57,0.645,1.06E-06,0.14,-4.262,0.0725,0.323,2020
0oQc0F6KUE7QY7k5TU6bic,57,0.184,0.893,0.527,-14.534,0.0359,0.113,2020
0oQc0F6KUE7QY7k5TU6bic,57,0.184,0.893,0.527,-14.534,0.0359,0.113,2020
3IvMYBE7A3c7to1aEcfFJk,57,0.473,0,0.605,-3.68,0.163,0.374,2020
0PQsrLxPbOBBwwmXCnGvcF,57,0.785,1.01E-06,0.265,-3.841,0.0873,0.488,2020
1yYBOIXO2H9LDqEPui42GM,57,0.628,0,0.156,-4.864,0.156,0.45,2020
19Ec2gbNtQTE44IizcPjtD,57,0.762,0,0.145,-6.293,0.223,0.626,2020
0AhJag7VI8uFf3mJFsTwvf,57,0.817,0,0.115,-7.086,0.277,0.314,2020
7Ek9e3eIuktIFjpDRQfmHE,57,0.677,0.179,0.217,-7.353,0.0467,0.404,2020
4l2rsMfr20dj6nf6i6F3Y8,57,0.687,0,0.279,-6.378,0.224,0.246,2020
