track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
5ak3ZwyjRdwABZQfovFcZG,49,0.68,0,0.12,-12.581,0.0297,0.313,2017
6LxcPUqx6noURdA5qc4BAT,49,0.652,0.0428,0.0847,-9.021,0.0358,0.626,2017
113O9yo2Ayl4OsKfBdzbVh,49,0.735,0.00196,0.196,-3.777,0.113,0.598,2018
45CCe4gu08OYG1I4MH8TU6,49,0.682,0,0.197,-4.406,0.292,0.183,2018
3ajiUFrVUHsmU5F2pv3kzd,49,0.524,0.000131,0.177,-3.069,0.05,0.644,2018
2pRIqomqpeo1loNcYac5HF,49,0.66,0.000572,0.2,-4.147,0.223,0.532,2018
3wFnBRnYgpdoBQyXl3NxoH,49,0.759,0,0.13,-7.015,0.165,0.411,2018
4ej94zqr9xYLbWphCH3TcD,49,0.552,8.20E-05,0.334,-5.419,0.0542,0.718,2018
6D8WgDaIuyirn6egGauzVK,49,0.745,8.15E-06,0.0777,-4.28,0.0613,0.468,2019
4Fxj5bX8ZlTGw42BIkFwng,49,0.65,0,0.13,-7.204,0.0344,0.463,2018
5Hu8zdEUszmTkCeSsm3Ly9,49,0.558,0,0.117,-14.676,0.0312,0.255,2018
1o8n563oEpZzCj4qTIJ0NM,49,0.955,0,0.138,-6.351,0.188,0.744,2018
17hd4ptJCbsEeLj0auPcwy,49,0.613,0,0.341,-3.799,0.0352,0.526,2017
12lkzBhUysiCPRIKrFLtVQ,49,0.675,0,0.134,-4.336,0.071,0.688,2019
2fLyikLZmHxW4XdToFpDdN,49,0.667,0,0.0927,-5.345,0.0316,0.337,2018
2JsKO2ygw4ft6QEy4U4RO4,49,0.671,0,0.1,-7.611,0.0503,0.385,2018
1YG3JOm9UizAMDGqbWTJjR,49,0.869,0.00227,0.107,-7.601,0.373,0.538,2018
6mIC0zmQTsvOMfZ1YqQwLU,49,0.65,0,0.107,-10.998,0.0554,0.354,2017
2OFrAsP5Vrcb0DtsPNsm54,49,0.501,0.49,0.184,-7.063,0.0281,0.46,2012
4BKlUinuIllRwKce1DAY0P,49,0.549,7.47E-06,0.429,-1.182,0.0594,0.422,2018
25gXwa9Wpa3CRu41GQ6iZc,49,0.626,0,0.0565,-5.643,0.0439,0.637,2017
1WlU4jsJ8AoTB96dgd8LJA,49,0.853,0.0515,0.204,-3.331,0.202,0.879,2019
3TpBefRZ1vFcOH6z57PQRI,49,0.781,0,0.19,-5.107,0.0569,0.412,2019
