track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
4JyGEgUGVkiszOv2caAYlm,40,0.276,0.878,0.154,-7.249,0.0303,0.336,1989
0RN9h0ojhQWtAD6O8X7Zzp,49,0.593,0,0.245,-14.342,0.046,0.258,2006
7fU0YxB4RyawfEDv6vtYG7,49,0.709,0.0263,0.16,-8.474,0.0425,0.594,2017
1ZHLEKW4rXRaDJESAX7CR8,18,0.597,0.000415,0.645,-8.947,0.0324,0.579,2005
7qEuy4TmKE5qEuaaluzvxg,46,0.896,1.39E-05,0.101,-6.377,0.363,0.64,2019
3k8zx0tFrsWAvVHXeCBX2r,43,0.888,0,0.106,-6.864,0.155,0.72,2010
5gpMP9txiN63xsNlBWNBRX,42,0.496,0.764,0.0798,-8.784,0.119,0.521,2018
2ImrmJfhihNvj2QeVZOHJq,38,0.72,0.000695,0.195,-6.544,0.297,0.342,2017
5jkLlIfVM0blJ5PXV0ieIa,45,0.543,0.19,0.216,-6.712,0.0411,0.534,2015
2U57XZh5CgCjqb9VaU9ynm,40,0.728,7.78E-05,0.126,-6.997,0.0282,0.717,2017
0uYEV0YkqPC80LvpRrPqiN,37,0.754,0,0.077,-6.644,0.166,0.418,2017
1C9Pf4MPHdv0FtEGkHz8F4,40,0.542,5.14E-06,0.0979,-5.99,0.0561,0.408,2017
30WzaYR4gc3U7wv1VWFP5y,56,0.621,3.76E-06,0.217,-12.832,0.0308,0.968,1989
1Xx7wl3Na741ZuuF0pndp7,46,0.795,0.000449,0.151,-8.152,0.0428,0.906,2016
3YsbKbo8m5Uv5zAG2hqOrN,52,0.472,0,0.136,-6.321,0.028,0.316,2014
5tdl56mOgdZeY6RNF5jLwT,51,0.521,0,0.124,-6.028,0.293,0.761,2011
7jtmFB5v6jXFsX6zVccf1U,41,0.621,2.06E-06,0.231,-5.92,0.137,0.503,2018
7gvmEW0eTLIa6pvOw2bJ2O,40,0.654,2.39E-05,0.169,-7.165,0.104,0.374,2018
1hES47PrbU8GPTI5A9lsr0,54,0.657,0.0459,0.157,-9.186,0.0359,0.709,1967
7BVTSdbFha3PtindoO7K6X,36,0.908,0,0.102,-8.353,0.406,0.591,2018
5vad0eq5x3f3rtRlo8GnL4,33,0.483,0,0.0817,-3.232,0.174,0.546,2018
2LAADRyMblXuDfKZ8dm8LR,41,0.631,5.31E-05,0.0931,-12.279,0.447,0.318,2015
3acc39xylOcBe7hIMkdeum,31,0.771,4.02E-06,0.306,-5.734,0.0357,0.807,1998
0HUdWSPyrr98kiAdR3Mvyp,62,0.516,0,0.0993,-8.768,0.0327,0.421,2019
7JiCaZ93B0hdj3XwFqwn4W,50,0.538,0.00258,0.0517,-7.69,0.0336,0.917,1989
7ycU5Bxfn2fIZjXJypfdRM,55,0.662,5.78E-05,0.0841,-5.817,0.057,0.714,1971
23Sp4OKoHAmPehmCFsmWdX,48,0.426,1.87E-06,0.115,-4.425,0.0304,0.488,2016
1wFUg9XcFI52wbaNarjDOo,35,0.755,0,0.0654,-6.421,0.0405,0.622,2015
6SnEsv8yqOSU8zkpbJpxKg,50,0.758,5.34E-06,0.108,-5.286,0.224,0.395,2013
6Mr7IQ4rYYPlx4drRXg2S2,44,0.274,1.58E-06,0.883,-6.089,0.0378,0.224,2018
1ogk8gkNwRw9iHONH2CAna,34,0.437,0.142,0.0767,-8.003,0.0311,0.118,2018
3Yz8CqWFtiOkm0BNSmzotf,57,0.44,2.10E-06,0.205,-6.501,0.0875,0.653,2001
4P3R9J5VGPyAPx9T6ZXAcF,50,0.441,1.35E-05,0.186,-13.361,0.0391,0.182,1972
2Vtz57VrnXiqKXOJek8Sjp,35,0.592,0,0.119,-8.368,0.318,0.163,2018
6C3Gyg7mlvUmwCnYi9K9O5,46,0.428,1.31E-05,0.115,-8.976,0.0322,0.372,2018
1s6FE0j95IyNtcsRDS9LTV,41,0.836,8.84E-06,0.0886,-6.403,0.117,0.879,2017
0RkVrsIWRCFAwommrPOlAB,42,0.245,0.00436,0.32,-8.928,0.0343,0.274,2018
32BTFbqhSvYKftE0e8a8d4,51,0.374,3.40E-05,0.0534,-10.654,0.0344,0.552,1969
0AISJtBDtZXgB2fuvcjQEN,47,0.528,7.32E-05,0.211,-6.564,0.0287,0.304,2018
214Cj6UAEJvq9rocjbXqK1,55,0.517,0.0515,0.0985,-6.636,0.0443,0.196,2011
6d7PQZtTbHbcYqaygOW7vs,45,0.578,0,0.317,-6.402,0.0282,0.358,1984
4zhSO5tu9NduAaq7KxhHhS,51,0.63,0,0.209,-14.37,0.0309,0.644,1982
79oSqzVw9WERk50hIpg4ps,33,0.654,0,0.335,-10.31,0.157,0.411,2017
0oiNDJWFLPQoAm35OwT66P,49,0.328,0.823,0.0947,-18.008,0.0426,0.755,1970
1fDm1kCj6dwmviArCtCsOA,46,0.45,0.00236,0.108,-8.952,0.0295,0.227,2009
57UEKiaGZEc9O5KBqq0Vvh,43,0.72,0,0.369,-6.803,0.265,0.521,2018
4agZCOTdZDD4r33mPPDy8b,49,0.473,3.79E-06,0.308,-9.268,0.0279,0.611,2009
2dLQ5BNevO1SG8zb1t0ZmZ,30,0.755,0,0.138,-5.489,0.269,0.803,2018
0phAx12SI8oWN1AmhyceSQ,56,0.676,0,0.102,-6.985,0.0845,0.758,2007
3hRRYgBeunE3PTmnzATTS0,60,0.366,0,0.0902,-3.552,0.11,0.467,2002
2voXNGgRrosxCJA6foTVau,55,0.407,0.000452,0.0816,-12.725,0.166,0.329,1995
6zpQwILPal7KfCFfKRKu4u,48,0.773,0,0.111,-7.46,0.107,0.359,2018
6vhOg0jBNyCzQo7nlotVeH,27,0.488,0,0.164,-6.076,0.0304,0.215,2018
6vcdiwrCVXnTLASFdjEV8r,57,0.493,0.000333,0.0985,-9.777,0.0336,0.286,2015
7AEcphXUR52QGYxdZ8TDVI,59,0.109,0.91,0.0992,-12.749,0.0353,0.0397,2013
6UPPGj0cv42vHTZAUdOxBx,48,0.666,0.00431,0.071,-12.533,0.0368,0.551,2008
1azZh6vKceb5M0GnLrEOBZ,45,0.77,1.36E-06,0.115,-5.551,0.0344,0.226,2017
465Yv44Dq1kDa6gPruVMxw,41,0.813,0,0.178,-10.327,0.325,0.774,2016
2cnV0IznTkVUtJayjyzSBl,52,0.538,0.000293,0.127,-7.067,0.0377,0.183,2017
7mVV7fepIMUAE4FDyihupV,48,0.526,0,0.115,-6.647,0.029,0.14,1995
2waLDWGLc4Q14ZVyDNrxLM,53,0.768,0,0.286,-7.173,0.0604,0.669,2010
