track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
2okeXwO6SLiVqR1PiEz4Cx,35,0.835,0.0242,0.253,-4.413,0.173,0.648,2019
1U16aNzvnlfARgjWXjKmQj,63,0.825,0,0.354,-4.155,0.223,0.548,2007
7lMIJ4EFWRVoAIPDpeGyM3,58,0.829,0.000131,0.466,-11.498,0.0597,0.729,1998
1mQI744KrltnCU798zIGEe,52,0.57,0,0.33,-6.792,0.0631,0.438,2018
5OxGWmF7NIZ1q2JM3bxeOr,52,0.794,3.05E-05,0.0929,-8.661,0.115,0.215,2018
7zRObPOHA0tWMYTAxLudmA,49,0.478,0,0.291,-3.929,0.198,0.529,2018
6KEdjhTORrn8HOVeuABlUg,56,0.661,0,0.346,-4.466,0.0822,0.635,2014
7kWeSMXLxUHHOkFxsS0vhP,61,0.787,1.79E-05,0.323,-6.331,0.0265,0.964,2004
2BqABA2hfI6cNOqogEDnwO,51,0.606,2.46E-05,0.457,-3.755,0.0589,0.294,2017
0lodZwEeEqJVzLn95Kslwm,1,0.488,0,0.115,-5.044,0.074,0.798,2017
25rV6ArwFMht49oONoqSLQ,60,0.496,2.40E-06,0.109,-5.305,0.0257,0.381,2009
6WKoOXecrcYW8RmerNCxFB,50,0.505,0,0.0668,-7.952,0.0565,0.456,1973
6DPrrqd6ujfaCyEu3IPxfM,45,0.69,0.00648,0.108,-7.707,0.0254,0.146,2018
0ZmkjefPVLvloVSgtmRu5M,52,0.623,3.25E-05,0.398,-2.675,0.0427,0.535,2014
53LxOQIcSZe71SF9IS0Z7b,59,0.782,2.64E-05,0.249,-5.992,0.0347,0.64,2014
0voUr8lubIafUVJlauJxYF,56,0.551,0,0.112,-8.208,0.0332,0.516,1964
5lYpHO6ZO4Shys3GD8rav6,56,0.64,0,0.304,-8.336,0.124,0.861,2007
4thpkbbdkv9VDVdMCgMwUk,57,0.853,0,0.104,-6.125,0.257,0.712,2017
6DqzLbXkxRUbvFyzWApTXM,51,0.44,4.73E-05,0.349,-5.973,0.0287,0.792,1991
3H7wULYr0I5lTucP1hS3Wt,53,0.654,0,0.108,-6.875,0.242,0.488,2011
3DaXXVRXK7sWRNEugMe7s6,50,0.69,2.18E-06,0.0709,-3.44,0.173,0.348,2016
3XEtw7t4V5sfd2vtkp0ql7,1,0.734,0.000585,0.0298,-6.619,0.032,0.962,1994
1oV1tu8utgHQjLJsEK9sVl,58,0.66,0.0102,0.0585,-8.101,0.0258,0.829,1978
7ofgPlilLgcw6G7fd2zNpT,58,0.679,0.012,0.122,-7.981,0.0318,0.186,2016
21z6OpNQIS9qD7xyty7OeR,50,0.734,0,0.0916,-5.751,0.195,0.673,2002
34nxgXFCPzDphUJGuRsn10,60,0.696,0,0.103,-15.574,0.0927,0.354,1994
