track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
5Qz82PV7j3ZrY5WX51NVzn,38,0.633,0.000814,0.164,-9.405,0.0331,0.837,1995
7mvN904TRvKl9CPQXFJ16t,38,0.406,0.397,0.469,-14.048,0.0388,0.364,1970
7h72gwGqjwnJC83qCja93c,38,0.363,2.62E-06,0.246,-8.968,0.0493,0.404,1973
3JdvEIcI6e6Ovi7bGJO1b1,38,0.851,0.825,0.212,-7.846,0.284,0.663,1995
7jcIpbvFvDWV3E8IRhQBE9,38,0.399,0.00276,0.297,-4.57,0.0363,0.503,2009
7igoJOuQB199t3sRaKVErt,38,0.639,0.00216,0.263,-8.099,0.0337,0.578,1985
6I4y37IiCPgP1SYtyk0eeH,38,0.628,0,0.0641,-4.924,0.0294,0.258,2013
3R4Yhp87d7GsGHgp92qlUH,38,0.712,0,0.243,-3.786,0.0434,0.637,1999
2z1BT5i3xLQwqYDYf3JyjS,38,0.685,0,0.13,-4.089,0.0804,0.962,2007
0s2K6BysAUBsTICAKQKOo5,38,0.165,0.773,0.377,-8.039,0.0363,0.0673,2015
4ytPgUsPNsKJtmM6Vjr4oS,38,0.595,0.00736,0.301,-5.513,0.0435,0.733,2009
3XpMtbAQ0q2U4vYpYPDSrg,38,0.546,0.000334,0.267,-7.36,0.109,0.898,1997
4uZe7vVrg5Q39GtrNMljZC,38,0.76,0.511,0.0551,-7.393,0.0371,0.75,2001
4Pw1GIxHDNhqYAY2DRl15L,38,0.765,0,0.0592,-7.627,0.0433,0.922,1995
6Rgbq6MwsEqSBFGBHWcrTI,38,0.507,0.831,0.115,-11.012,0.0346,0.489,2002
5za9NyS0nZ0nctCyuYh5GI,38,0.275,0.901,0.144,-12.276,0.0299,0.288,1993
0xFSgbjGSh5RsXnJYmbgHy,38,0.626,0.000191,0.144,-4.051,0.0361,0.361,2010
4vnIe8OxfwVDpFLuLeukmK,38,0.485,0,0.143,-7.686,0.0283,0.239,2004
0SzGRRMqDBNccIvnGZXXxx,38,0.538,0,0.381,-3.145,0.178,0.493,2018
6W92iAWlEVfiKTr9zZYseg,38,0.543,2.81E-06,0.331,-6.23,0.0547,0.897,2014
1WSW4VT8o81I4XIHINIXvC,38,0.538,0.0923,0.0803,-12.66,0.0461,0.529,2018
3aVe7N2RgYAUo7gTq3tYTD,38,0.528,5.53E-06,0.277,-7.514,0.0584,0.678,2009
3XS01xqHzkICimJBDwy0iA,38,0.529,0.624,0.332,-11.616,0.0567,0.584,2002
