track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
2ieTFoBjqGVw8SfT4OSwVJ,49,0.593,0,0.143,-4.85,0.0285,0.444,2015
5LPGZnsy07YNxeuTI1X3RT,49,0.538,0.00178,0.312,-7.547,0.0375,0.881,2003
0OVsEZ9BLf4zNa4d8OOL3a,45,0.525,0,0.147,-5.464,0.0433,0.288,2017
5fAeD0Y8eG2EWN2e5ZRpxa,58,0.596,0.151,0.135,-5.82,0.0698,0.56,2015
5HPnumlogzZtpLEaORZjz1,50,0.606,0.000247,0.0887,-6.994,0.0339,0.817,2014
0mF5QmsOJq5w3FqGMjycII,55,0.698,0.000619,0.0503,-5.727,0.109,0.899,1985
6gifrVamdnrYxkXPV6ul0k,51,0.769,0.00286,0.0508,-6.059,0.205,0.502,2013
1vNNfTgHsrpOXeiaXQBlH7,53,0.677,0.312,0.0766,-6.604,0.0469,0.842,1991
6MHOg9xiYC2gj8zcASaLUo,48,0.565,0.00183,0.352,-3.503,0.0354,0.888,1998
4yb3ikgJkgBNTSkGm2Lvhz,54,0.588,0.00278,0.428,-8.919,0.0322,0.239,2015
5sKHKbz9iCKprUqSCWhCgn,45,0.599,0,0.115,-5.498,0.0779,0.494,2014
0XiHcuUEf1wmvmX1cOaVR9,50,0.758,0.493,0.11,-9.199,0.12,0.183,2010
0CjBORMsmiQNe3vPDcNIvk,38,0.76,0.00662,0.108,-8.472,0.0484,0.392,2019
1YiAY1oCmkFjUabQL9gos4,52,0.476,0.0053,0.214,-11.435,0.038,0.68,1979
2TsBRXZQSGp1aaYeNPcT9o,48,0.617,0.000156,0.372,-8.879,0.255,0.696,2016
696pjkYV7x0adMqEQYnBzP,48,0.692,0,0.128,-2.154,0.0623,0.759,2015
69L4d5HlE0YOCwWFYVFGoW,53,0.426,0.0307,0.104,-7.566,0.0666,0.297,2015
1NBDNXtcIEIVJno1S8wVaL,23,0.759,0,0.0917,-8.563,0.464,0.567,2018
0RGEQZt56cK8cxr2QdG4Ih,51,0.698,0,0.331,-3.197,0.0929,0.107,2011
1XxUhyChC3lauYQ4BINva2,33,0.85,0.0344,0.0973,-7.758,0.173,0.491,2017
0RgeiH9PjWmyZtJCxevLoo,30,0.735,2.72E-06,0.104,-5.536,0.0638,0.452,2018
1e0HLyx0SlmAhwTm2un9ft,42,0.827,0,0.109,-4.374,0.318,0.545,2017
5gmv3BgePSYiHnPJgY7oTJ,55,0.752,0.131,0.0782,-8.705,0.0398,0.78,2010
6Utgc4d1wmtkACjStaJUwd,48,0.808,0,0.36,-3.553,0.162,0.7,2015
3eWxADd1CLwJVhyPzrCpl8,50,0.677,0,0.165,-5.852,0.0471,0.936,2005
1Gg14U26oq94uWcG7khccX,53,0.509,0,0.112,-9.441,0.0351,0.427,1983
5VAwD1Azz1sSY2SiVWI6Sc,39,0.8,0,0.159,-7.497,0.192,0.442,2016
2vMAoAyBQiKGfMwSwd8eE9,44,0.651,0,0.1,-5.391,0.0414,0.795,2017
0gmGBCJ5XhOmoNR37MmxEE,57,0.7,2.93E-05,0.0666,-7.355,0.237,0.766,1992
5qRoxgyvBkvgvOo20wtPhS,45,0.873,0.000722,0.0463,-6.238,0.133,0.798,2010
3g2gQMeeQAEPztiQKMlGSl,55,0.479,0,0.0932,-4.968,0.0659,0.661,1996
5GrXshz0UGM1qP74PKHKOC,53,0.728,1.81E-05,0.0233,-6.084,0.0632,0.674,2018
2jbk4xLjB2FVXw8678nh7X,36,0.788,0.000837,0.202,-3.282,0.0795,0.331,2018
1uRKeDUiD4fDUEAjXbmYr6,17,0.408,0,0.0781,-5.97,0.0375,0.558,2014
3Bn0LhS6zBCenar7WO6yTX,49,0.713,0,0.168,-3.879,0.12,0.775,2013
7GFytG8skEsUMTtNcqCxx7,50,0.864,0,0.584,-2.988,0.279,0.678,1999
385QArWR7KoT1hFLZoAZCc,37,0.768,0,0.0976,-7.585,0.148,0.255,2018
5dpS7KpIkLFC0hm8tsqI1V,55,0.445,2.52E-05,0.248,-4.452,0.0436,0.682,2000
5IkEvTGQloclVmeJ9vLsJ5,29,0.53,0.0106,0.0709,-9.878,0.03,0.489,2018
00St1bd1fxYD9shL3XNgmk,41,0.735,0,0.221,-9.547,0.196,0.439,2019
1md2Iw5RdKldgfM9c6WvUv,41,0.701,0.00043,0.0875,-9.203,0.0552,0.579,2018
72tAU6b10AgYfEFKrykp8J,53,0.841,3.18E-06,0.335,-4.772,0.0782,0.966,2007
6xVfTx01TnGrzH1mqXfOmf,55,0.744,0.00878,0.0276,-9.464,0.154,0.797,2011
4h1IW7uYgJpBnbPK3sBPkl,34,0.797,0.000632,0.343,-11.152,0.285,0.337,2018
5FNDpQSkgFiRdUKGfagIRJ,52,0.881,0.000406,0.0637,-4.753,0.0372,0.798,2003
0BzL36GgqMKCyeW6j6JzzD,46,0.422,0,0.176,-3.627,0.11,0.729,2017
5x5d6UEJIT3N0HAVnXIdkM,47,0.659,0,0.351,-5.334,0.0433,0.352,2008
1tVwKHwJ5OfNGIyAuM8HLL,69,0.779,0,0.656,-6.94,0.0317,0.451,2015
41Z1gnggllzvu7qOWTaSTE,51,0.743,1.25E-05,0.131,-11.808,0.0878,0.467,2006
2Zv9cKaT82kHOutvQmBUnD,52,0.505,3.88E-06,0.0605,-10.782,0.0347,0.526,2017
7GKiBHjFfvPRNqqOuRYqLB,50,0.47,0.685,0.0995,-7.888,0.0679,0.0685,2015
5SmLSDbwfQCtAmudxpsfCX,26,0.658,0,0.0682,-5.178,0.0439,0.676,2018
3xQBvKxm8mdy9OBLiJDcwB,53,0.384,0,0.331,-2.854,0.123,0.298,2018
4mqsYvyMATKLBPwRd3xGnM,38,0.71,0,0.4,-4.46,0.0744,0.474,2018
4v8GJxLdvUiN7R31cKcmNL,58,0.533,0,0.191,-7.255,0.0322,0.246,2017
0gnsuw6eGZEwph1rKnxzOu,57,0.621,0,0.322,-7.866,0.0552,0.951,1997
2hluGQtmPypU3tsQudCQ3U,55,0.965,1.17E-06,0.267,-15.225,0.237,0.722,1991
6cSGSXvgioQxGQbM9VRe1G,50,0.663,0,0.364,-3.672,0.0487,0.378,2011
5sN6T2PtafVYVH5DmEn7ar,32,0.59,0.00311,0.141,-8.986,0.0259,0.362,2019
1TETHNbvpRvlniNVjbKLmQ,36,0.799,0.000115,0.293,-4.829,0.21,0.411,2017
6U82eC2OHyiQM4Wr5Bejar,48,0.502,0.00585,0.0897,-3.191,0.103,0.326,2017
2G8tfTExxzpRKssKzKwDYV,57,0.599,6.50E-05,0.921,-4.208,0.0479,0.559,2003
0IwS12JNt9V2Ur2eI09tpr,47,0.716,0.000109,0.0644,-5.956,0.032,0.594,2009
4VIAKU13YSnozH0aLh5S81,43,0.669,0.000224,0.0736,-7.798,0.0399,0.0984,2016
2Q1u44SScYwZq3x2z9pcuP,50,0.79,0,0.125,-4.523,0.153,0.454,2018
4pr2A1vgqaGJ1yj6hFr3aE,51,0.662,0.0687,0.341,-9.205,0.11,0.631,2017
1sPZt3bydlvvvbnJCWMxRg,43,0.804,0,0.161,-5.357,0.168,0.192,2018
1mMIIaZMPKzfI7ZIeseLfH,47,0.491,6.07E-06,0.286,-2.101,0.0615,0.415,2009
5Y1rJ4et7QRxEpQbCYtSUJ,40,0.802,0.191,0.0738,-6.994,0.0402,0.392,2016
6Bh3lqFN3BgVaP2j5l99tH,56,0.808,0.0148,0.587,-3.555,0.114,0.601,2017
6RmkZ03kFzGs26CD7O0iY8,36,0.291,0.000262,0.143,-5.7,0.0435,0.0883,2017
389hKTL3ZBPPWP3VuXfEyv,40,0.598,0,0.106,-5.427,0.0554,0.568,2015
7hU1CsIXvplis81SZJ6ESE,53,0.694,0.000823,0.429,-16.927,0.0275,0.575,1987
5qKqRkWnRTXNVWbEOOmGxk,51,0.886,0.000542,0.113,-7.263,0.263,0.489,1996
5Opv3rAPRL93wJ9yXGJPiM,46,0.647,7.82E-05,0.241,-6.459,0.152,0.381,2017
4gdQamULpFs7WeyFGfmTCZ,61,0.822,0.0134,0.37,-5.315,0.0404,0.748,2017
00EnN4XfNdQYzOh6oimHfc,37,0.529,0,0.225,-4.893,0.0921,0.127,2017
6Zj2Kw5m3Pri5Jv4zIJ0vN,33,0.758,0,0.464,-5.406,0.165,0.378,2018
3I8vTqHscW9olep05LhFGe,44,0.959,1.45E-06,0.107,-5.528,0.214,0.259,2017
3p50PUgtBHM6rwUuD3RfFV,51,0.823,0,0.229,-6.928,0.297,0.483,1994
4VUpgvJxbriXHrMrsb60HB,39,0.44,0,0.327,-6.923,0.461,0.48,2016
5BtE11fzSHM9BooIr2qNpN,57,0.636,3.41E-05,0.101,-6.181,0.0539,0.172,2013
4YHwQliarh4SDnFw3gv2Lu,40,0.817,0,0.258,-4.024,0.237,0.388,2014
66PijCtKX3GMQ6huKb1M0q,47,0.655,0,0.25,-7.853,0.142,0.547,2015
0c73quWevdM80h1WIVDzbS,21,0.82,7.86E-06,0.365,-9.529,0.439,0.209,2019
48rIAfSYEXGJxAwKsrnMvb,35,0.922,0,0.144,-6.492,0.279,0.167,2018
1B0DvDgNgvmccdfdEK4wB5,50,0.743,0,0.303,-5.91,0.155,0.517,2017
0t6DAi9KEiaWOtgTTXGhD2,53,0.633,2.67E-05,0.102,-8.163,0.041,0.746,1996
38odiT4ZNTFMkRryKnljon,38,0.75,4.00E-06,0.224,-7.322,0.0367,0.824,2018
3ULiN0dKIhfq9Al2cZCjHg,41,0.681,0.0146,0.0944,-9.886,0.0365,0.567,2019
24kirWnsEEyGgbl2NuhSVz,49,0.498,0,0.609,-6.116,0.0308,0.441,2018
3ifyEy9pIoaY1DbJ7o3LX0,44,0.681,0,0.141,-4.615,0.422,0.52,2017
02yRHV9Cgk8CUS2fx9lKVC,48,0.469,1.58E-06,0.482,-7.16,0.121,0.248,2015
60SjEdocmsrAk4hQUu7qZi,60,0.252,1.77E-06,0.122,-4.153,0.0402,0.219,2018
5PnrNUATz6z9d2gN0PyGgL,51,0.545,6.95E-05,0.116,-6.593,0.0277,0.353,2018
7G9yE2L2bXxqaQKVL2rKAr,56,0.505,0,0.299,-4.92,0.0292,0.452,2015
0FOttmcxs2gtOhUHB9SmM3,43,0.581,0,0.167,-3.697,0.136,0.446,2018
6jkdt7GDct9kwhps4KGJr8,51,0.626,0,0.276,-5.629,0.283,0.16,2011
2edV20HIrV4nhEFsVYkpok,45,0.687,0,0.119,-6.46,0.0463,0.444,2017
6rKq8Ri90B3UGEiWuN9e2I,46,0.653,2.28E-06,0.0683,-5.351,0.0885,0.541,2018
6MMuI4k4Vs5ghtDH5i2hBg,51,0.783,0,0.102,-5.742,0.361,0.429,2001
13sxKGMd5RDQYavHyZ8Flw,57,0.403,1.67E-06,0.331,-1.875,0.146,0.443,2017
49SpHaonnqks7taOwDfV6Z,47,0.499,0.00102,0.0837,-6.407,0.0626,0.676,2014
7Akb3VlDx7qNLyO7Yl900D,45,0.59,0,0.0571,-7.103,0.378,0.657,2005
6YD9XQ6woFtacq7kPCfEGL,45,0.617,2.06E-05,0.0906,-6.681,0.0881,0.182,2017
4lH5AKFeldnkq8wRikIqWP,43,0.631,0,0.0999,-3.143,0.0489,0.53,2017
0QiUEowZX0wzCOePBOHgs6,45,0.573,0,0.355,-5.026,0.0394,0.552,2015
7Fq2lXQyidoK12hHNJSp7X,52,0.817,0,0.0892,-3.377,0.123,0.548,2015
71w26UK674tLfGtJFfDSjE,57,0.871,0.000354,0.381,-5.818,0.0499,0.445,2008
4TGHOWSNAwUXn5onDQr0P1,61,0.936,0,0.0983,-7.829,0.332,0.839,1999
4amvcCLMlTiU6mQfwFGRl8,10,0.501,0,0.218,-4.366,0.0433,0.943,2015
4HE1X1MtjHCjxicUHYQmyW,44,0.585,0.00369,0.102,-5.752,0.0228,0.335,2008
6ntPF24RtHotzc3FhcFMH7,43,0.625,0,0.231,-10.665,0.478,0.381,2017
7vieczQAdtkYNqGW61TGyr,34,0.55,1.80E-06,0.111,-7.461,0.0487,0.0399,2019
2gamThf1tKQIGXX5flOvX0,46,0.669,0.0271,0.11,-7.722,0.0427,0.528,2012
1ojBtNRMzjL7ptLPZCzfRz,48,0.77,1.65E-05,0.17,-6.59,0.199,0.696,2013
1o18SV1lvB4oO6fLquctDS,57,0.409,0.000223,0.575,-9.512,0.091,0.347,2013
3gxdoRpSolg2dPRLtNaQTf,43,0.704,0,0.096,-5.462,0.0444,0.276,2018
6Mz7ULRwNSCOdut6M3tNs2,48,0.589,0,0.102,-5.289,0.0985,0.0486,2017
3MMwcrgTCJ7bOAIScTyXFk,40,0.813,0,0.0864,-10.53,0.337,0.184,2017
0cOSb7wzbpb9vjRkbYufWj,54,0.821,0,0.269,-6.096,0.256,0.592,2008
33Lfnu1uBuJIidzHRFyTxL,49,0.463,0,0.172,-9.838,0.0279,0.323,2015
0msrDPXxZpts4FRnoX0bFr,56,0.731,0,0.212,-4.817,0.192,0.592,2012
29gW6N4TtGhpkYmYwhRvDL,49,0.166,0.947,0.0878,-7.261,0.0531,0.313,2017
0eYn98iz9LvwzLQqpn0wCh,29,0.613,0,0.332,-10.648,0.0392,0.383,2019
12aQRcFFIh1zAoPOGTVY2y,48,0.757,0.00154,0.0857,-5.337,0.0538,0.758,2018
4JhoIpQU13WQnC9VlHvlba,56,0.783,1.43E-06,0.0992,-4.948,0.0707,0.902,2017
4aNsaULjrRRMUPXP9IcDEa,56,0.844,0.746,0.09,-7.107,0.0644,0.619,2013
62XYoTuDJLMCzXOZABDC6P,42,0.772,0,0.0779,-2.578,0.146,0.583,2017
3EdMkS9YsVyEFUGwVJBjZB,42,0.587,0.0102,0.0484,-5.84,0.0234,0.545,2018
6dFcL5hsy8dy0RCFx7f5FD,55,0.663,0,0.233,-2.322,0.0395,0.73,2011
5WfBl43XUcWng7OnB8LKNW,47,0.334,0,0.109,-6.144,0.181,0.308,2009
78ZzF9pK3foniEnK64XzX5,48,0.846,0,0.297,-6.888,0.0809,0.622,2002
4HA1wCYfjenjFjYnlaXMf4,46,0.737,0,0.0892,-4.663,0.0487,0.718,2017
1pTDULhEDv0n8W6Aqnw5ro,42,0.727,0,0.19,-2.885,0.109,0.639,2015
3EnH8eUV9l9eOXhhyszzVw,36,0.817,0,0.111,-10.035,0.239,0.333,2018
6NsxPxFzZ18TKBcTgxX3dh,46,0.585,0,0.103,-3.448,0.183,0.338,2016
163F4SPkExGwITk7VKz5sp,47,0.715,0.00356,0.13,-3.637,0.0499,0.922,2014
3gvyksxkLbyKwi0WjCiPXE,54,0.567,1.68E-06,0.334,-3.744,0.0788,0.507,2006
4ISLRAqJbSgvkqRgiCaikS,45,0.646,0,0.346,-8.361,0.168,0.185,2016
0yPWj2trBQazAUasaLmqbU,43,0.381,0,0.0849,-4.407,0.0639,0.296,2018
4WxCuK3Jle0OSqWvwbET3g,45,0.323,1.41E-06,0.0846,-4.992,0.0483,0.172,2018
2wt0RWfz1Nhec8ipJMDOza,47,0.789,0,0.0655,-9.531,0.409,0.624,2015
0FRdprdBRrdo0jMxhK0hTy,48,0.283,1.92E-05,0.0591,-9.646,0.0329,0.0898,2017
1BWsQm7kOBjK2aSFYg5HQZ,49,0.426,0.765,0.701,-9.125,0.074,0.228,2014
0LkelFnnzJPC8dtZSZ9Og8,43,0.329,0,0.212,-5.853,0.118,0.513,2017
1yc0kGgg4oL9eN1q7LxiF9,36,0.48,0,0.0637,-8.142,0.319,0.361,2017
3hlhefxgyp4MDnN6C2dQ5H,50,0.731,0,0.0675,-7.114,0.029,0.392,1996
5qHAeYX4zE8jARfqlK5Oe0,55,0.893,0,0.186,-6.473,0.476,0.353,2017
4U9mtRXs7VaG7kgU4Hpw6h,48,0.585,0,0.0745,-4.473,0.0277,0.53,2014
0pTRGssh4gWx22BykTgnoI,31,0.592,0.00977,0.588,-10.333,0.0451,0.361,2018
0iqY4f4lNp2Bh1rthklY1q,47,0.692,0,0.17,-7.552,0.0391,0.482,2015
6qdpQ6jPiaCYE9Qw4nZVuD,56,0.454,1.10E-06,0.115,-6.222,0.0264,0.0704,2008
0owL3tvmERawo5yh2lZqmT,30,0.401,0.0463,0.321,-3.303,0.0694,0.343,2017
5hBCcrqQBqIRuBhxJGHq2U,51,0.772,0,0.117,-6.3,0.0819,0.797,2010
3wQ8RcbLwNRH53FelAVCkX,55,0.838,0.0128,0.12,-7.105,0.0698,0.362,2002
25idmXJF6Z8GnFCT5PKgKL,49,0.636,0,0.682,-3.685,0.273,0.445,2012
4prKnlKzzw1O8KoxjqExdR,54,0.74,0,0.182,-5.172,0.158,0.829,2013
0PpamSdfQzIAvj5OB9Bz54,54,0.622,0,0.241,-4.889,0.0352,0.684,2000
009qDL0SYnJDBIRYuvWnIW,40,0.783,0,0.0746,-6.59,0.15,0.548,2018
4qHSciBVrNNpUlI8TT9CHQ,47,0.698,2.16E-05,0.119,-5.525,0.0481,0.822,2017
5azJUob8ahbXB3M9YFwTpd,12,0.245,0.00046,0.358,-5.985,0.0525,0.464,2016
7HAkrW8JUYoVR9dXwb6Uku,62,0.566,0,0.34,-1.901,0.0639,0.55,2009
7Ke2pX91o8sYw220ZY0whv,46,0.646,0.000741,0.11,-6.951,0.213,0.684,2014
6JOlNkT0QdHeZB0wPbI9IR,58,0.703,0,0.553,-2.243,0.0561,0.475,2011
5EOsvS6S9EZ4M1fxrG5Zuz,40,0.51,0,0.3,-4.919,0.115,0.874,2019
5rVElqSBdfsDALQfc7z2ZQ,46,0.591,7.03E-05,0.211,-4.492,0.0299,0.0553,2016
4QDbzpmRA6atTEEE2W7j7k,28,0.379,0.763,0.0645,-4.913,0.038,0.744,2012
2Pp3QD3thPnk2kCxmu2MHK,47,0.739,0,0.352,-5.307,0.103,0.652,2016
7f1UEGMBMuXfLBP5XANfrW,59,0.928,0,0.174,-6.489,0.361,0.616,1996
3WImtS2mfm4XiDTXt20Kjy,17,0.398,0.000188,0.0819,-10.678,0.0689,0.33,2016
0iQJLCJyv6TTPUP4u4y8DJ,42,0.617,0,0.123,-4.54,0.0284,0.467,2013
5StrN0F4XI5e0BHP32THhl,54,0.454,0.247,0.123,-8.98,0.0304,0.264,2016
4cVWa9vuwfPOukSIZN9012,51,0.688,0,0.192,-6.453,0.0819,0.717,1993
4NaPX1b3NsQqJrrAwkkvVc,50,0.412,0,0.143,-4.219,0.0563,0.357,2005
3QWlqqpc4EOm52xipzSehQ,56,0.609,0,0.277,-7.826,0.0357,0.336,2009
5IA5LpCFWSYuhsLiQRjV6o,47,0.688,0,0.218,-8.837,0.394,0.574,2015
42OhQBFNIbMyxRGxyPOvQA,55,0.854,0,0.292,-10.162,0.32,0.592,1997
3uylZvfRXniBtWTqxdiCG1,48,0.683,0,0.124,-4.522,0.0643,0.905,2017
6lvNLD1XRU5paMwWH0RGRI,55,0.679,0.262,0.079,-10.41,0.0313,0.31,2003
0vLlEo1D4VRiGzMLxLbsh2,47,0.782,0,0.131,-6.565,0.185,0.439,2017
6uoOKr3dxk9GVIhmJyQPMh,59,0.841,5.72E-06,0.0889,-7.232,0.189,0.74,2006
0X2bh8NVQ8svDQIn2AdCbW,60,0.556,0,0.261,-5.322,0.158,0.434,2017
1SelvzeWuIm8n2yRUpFKl5,42,0.637,0.000445,0.134,-7.694,0.0306,0.0703,2016
1OlDnyauZ0kTdD7AhzoNJC,41,0.685,3.90E-06,0.0753,-7.083,0.0453,0.596,2017
