Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
13,44,Sunday Best,"4,858,392",Surfaces,724903,80,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571,0.694
15,24,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","6,567,755","Tory Lanez, Jack Harlow",3828418,80,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478,0.835
52,4,Spicy (feat. Post Malone),"5,303,146",Ty Dolla $ign,3866304,80,0.782,0.51,-5.724,0.0419,0.143,0.115,99.993,143375,0.118
53,15,Still Don't Know My Name,"4,926,802",Labrinth,1685215,80,0.316,0.63,-5.963,0.117,0.471,0.205,89.643,153294,0.313
29,4,Forever After All,"4,746,415",Luke Combs,5371000,80,0.487,0.65,-5.195,0.0253,0.191,0.0933,151.964,232533,0.456
5,12,my future,"4,721,082",Billie Eilish,47061119,80,0.456,0.285,-10.755,0.0979,0.814,0.307,104.89,210005,0.0809
42,30,After Party,"4,784,580",Don Toliver,1606884,80,0.629,0.692,-8.045,0.0376,0.00981,0.603,162.948,167916,0.453
23,27,Relación,"4,825,749",Sech,8766508,80,0.793,0.771,-3.417,0.0959,0.0337,0.284,171.943,247308,0.835
26,27,Play Date,"4,745,568",Melanie Martinez,10925614,80,0.68,0.729,-5.077,0.0475,0.612,0.224,123.97,179867,0.446
93,38,Bruises,"4,560,503",Lewis Capaldi,8388838,80,0.736,0.308,-7.83,0.0677,0.946,0.186,111.202,220492,0.361
108,17,No Guidance (feat. Drake),"4,641,393",Chris Brown,14073083,80,0.696,0.454,-6.756,0.153,0.123,0.155,92.928,260640,0.136
26,35,WHATS POPPIN,"4,745,752",Jack Harlow,3828418,80,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478,0.835
148,1,September,"5,329,256","Earth, Wind & Fire",3008916,80,0.697,0.832,-7.264,0.0298,0.168,0.269,125.926,215093,0.979
150,13,21,"5,151,406",Polo G,4849204,80,0.783,0.479,-10.646,0.541,0.149,0.101,176.027,163798,0.533
23,21,Chicago Freestyle (feat. Giveon),"4,799,038",Drake,56327031,80,0.735,0.449,-7.507,0.347,0.629,0.113,122.947,220488,0.0397
37,35,Ballin' (with Roddy Ricch),"4,436,934",Mustard,881797,80,0.809,0.545,-6.678,0.0735,0.392,0.151,97.008,180435,0.244
186,10,I'm Yours,"4,391,666",Jason Mraz,6167871,80,0.686,0.457,-8.322,0.0468,0.595,0.105,150.953,242187,0.718
136,32,Youngblood,"4,390,823",5 Seconds of Summer,7744095,80,0.596,0.854,-5.114,0.463,0.0169,0.124,120.274,203418,0.152
74,31,Wow.,"4,351,784",Post Malone,33663701,80,0.829,0.539,-7.359,0.208,0.136,0.103,99.96,149547,0.388
56,30,Ransom,"5,097,394",Lil Tecca,4022792,80,0.745,0.642,-6.257,0.287,0.0204,0.0658,179.974,131240,0.226
23,30,BOP,"4,496,450",DaBaby,7601122,80,0.769,0.787,-3.909,0.367,0.189,0.129,126.77,159715,0.836
105,13,This City,"4,597,406",Sam Fischer,122883,80,0.605,0.377,-6.213,0.0443,0.733,0.0808,73.877,194853,0.519
7,19,Si Veo a Tu Mamá,"4,638,728",Bad Bunny,36177712,80,0.9,0.603,-5.313,0.0646,0.402,0.134,129.928,170972,0.824
26,27,No Idea,"4,369,849",Don Toliver,1606884,80,0.652,0.631,-5.718,0.0893,0.524,0.165,127.998,154424,0.35
190,1,I Fall Apart,"5,251,918",Post Malone,33663701,80,0.556,0.538,-5.408,0.0382,0.0689,0.196,143.95,223347,0.291
99,2,Clash (feat. Stormzy),"6,825,463",Dave,1427540,79,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733,0.532
141,1,New Normal,"5,768,653",Khalid,14187747,79,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,198765,0.244
116,1,Holy Smokes,"6,464,206","Trippie Redd, Lil Uzi Vert",6430522,79,0.437,0.527,-6.967,0.465,0.185,0.153,187.815,181714,0.701
71,13,"Volta Bebê, Volta Neném","5,041,120","Dj Guuga, DJ Ivis",608109,79,0.583,0.918,-3.612,0.0518,0.288,0.0701,164.081,172973,0.836
11,33,Prisoner (feat. Dua Lipa),"5,005,018",Miley Cyrus,15770302,79,0.781,0.67,-3.912,0.0452,0.0103,0.0761,127.99,169333,0.595
32,36,Reloj,"4,980,155","Rauw Alejandro, Anuel AA",6080597,79,0.823,0.537,-2.639,0.209,0.176,0.123,175.946,231595,0.615
69,1,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"9,142,721","Tyler, The Creator",6777818,79,0.468,0.652,-4.912,0.0722,0.333,0.55,140.223,588139,0.39
50,3,Having Our Way (feat. Drake),"5,424,579",Migos,11690201,79,0.927,0.538,-3.917,0.116,0.0312,0.0945,125.983,278191,0.221
112,3,Petrouchka (feat. PLK),"5,511,544",Soso Maness,289437,79,0.624,0.802,-4.818,0.311,0.0597,0.252,133.888,189933,0.818
124,1,Lost,"6,410,263",Maroon 5,32262679,79,0.766,0.706,-6.553,0.16,0.223,0.064,142.989,172598,0.766
1,55,Rain On Me (with Ariana Grande),"5,041,656",Lady Gaga,18572085,79,0.672,0.855,-3.764,0.0397,0.021,0.323,123.056,182200,0.646
10,4,a m a r i,"5,645,966",J. Cole,14097410,79,0.725,0.713,-6.173,0.187,0.127,0.617,65.988,148421,0.207
21,35,La Nota,"5,300,884","Manuel Turizo, Rauw Alejandro, Myke Towers",7904381,79,0.736,0.632,-4.939,0.0648,0.18,0.349,92.03,216107,0.503
8,68,Blueberry Faygo,"5,085,511",Lil Mosey,3816446,79,0.774,0.554,-7.909,0.0383,0.207,0.132,99.034,162547,0.349
69,4,In the morning,"5,738,325",ITZY,2379448,79,0.847,0.814,-4.668,0.152,0.0825,0.0948,140.057,172359,0.711
58,19,No Te Enamores - Remix,"5,218,146","Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,79,0.824,0.837,-4.603,0.107,0.573,0.271,100.021,289933,0.58
71,28,At My Worst,"5,258,000",Pink Sweat$,942628,79,0.813,0.415,-5.926,0.0349,0.777,0.131,91.921,170345,0.667
164,11,Fan de Tus Fotos,"5,103,863","Nicky Jam, Romeo Santos",14826679,79,0.728,0.689,-5.718,0.0725,0.293,0.109,170.089,197647,0.431
37,31,Mi Niña,"5,026,961","Wisin, Myke Towers, Los Legendarios",6929075,79,0.823,0.821,-3.402,0.166,0.31,0.143,99.999,213314,0.791
137,13,Facas - Ao Vivo,"5,141,640","Diego & Victor Hugo, Bruno & Marrone",1585593,79,0.443,0.509,-5.995,0.0536,0.615,0.472,160.984,196380,0.69
7,23,Monster (Shawn Mendes & Justin Bieber),"5,069,268",Shawn Mendes,33893352,79,0.652,0.383,-7.076,0.0516,0.0676,0.0828,145.765,178994,0.549
3,19,willow,"5,016,865",Taylor Swift,42227614,79,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,214707,0.529
105,14,Love Not War (The Tampa Beat),"5,326,719","Jason Derulo, Nuka",9778632,79,0.738,0.85,-3.049,0.0642,0.105,0.23,98.013,192921,0.865
25,26,Vida de Rico,"5,189,822",Camilo,10580764,79,0.824,0.457,-5.428,0.0543,0.167,0.041,87.977,187427,0.95
123,26,Someone To You,"5,054,881",BANNERS,419151,79,0.52,0.903,-5.497,0.042,0.00517,0.254,74.988,219801,0.652
4,38,How You Like That,"5,023,592",BLACKPINK,23848461,79,0.812,0.761,-5.222,0.0812,0.0465,0.0601,130.032,182956,0.344
91,26,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"5,093,408","Ofenbach, Quarterhead",432511,79,0.798,0.828,-5.36,0.193,0.0247,0.121,124.962,156960,0.6
80,57,Without Me,"5,016,283",Halsey,15663384,79,0.752,0.488,-7.05,0.0705,0.297,0.0936,136.041,201661,0.533
177,7,Fly Away,"5,053,713",Tones And I,2820477,79,0.806,0.513,-6.208,0.0685,0.217,0.217,124.988,178157,0.503
20,15,pov,"4,906,738",Ariana Grande,67208170,79,0.487,0.534,-5.664,0.0555,0.36,0.1,131.798,201882,0.173
190,3,Dancing in My Room,"4,914,093",347aidan,211500,79,0.98,0.413,-11.052,0.101,0.671,0.17,119.993,180139,0.764
17,25,The Woo (feat. 50 Cent & Roddy Ricch),"4,892,682",Pop Smoke,6852509,79,0.49,0.618,-5.655,0.104,0.0221,0.259,99.7,201600,0.286
1,12,cardigan,"5,845,457",Taylor Swift,42227614,79,0.613,0.581,-8.588,0.0424,0.537,0.25,130.033,239560,0.551
9,39,Safaera,"5,390,363","Bad Bunny, Jowell & Randy, Ñengo Flow",36177712,79,0.607,0.829,-4.074,0.379,0.0103,0.107,96.172,295177,0.685
87,11,You Got It,"4,907,925",Vedo,260236,79,0.762,0.433,-8.937,0.187,0.143,0.118,122.074,203145,0.394
86,19,Be Like That - feat. Swae Lee & Khalid,"5,929,062",Kane Brown,3509653,79,0.727,0.626,-8.415,0.0726,0.0469,0.126,86.97,191406,0.322
30,45,Beautiful People (feat. Khalid),"4,813,796",Ed Sheeran,83337783,79,0.64,0.648,-8.113,0.187,0.124,0.0802,92.977,197867,0.548
82,8,Wolves (feat. Post Malone),"5,547,002",Big Sean,8673345,79,0.724,0.675,-5.267,0.0867,0.0978,0.351,160.048,199758,0.325
1,27,THE SCOTTS,"4,941,592","THE SCOTTS, Travis Scott, Kid Cudi",179193,79,0.716,0.537,-7.648,0.0514,0.233,0.157,129.979,165978,0.28
83,2,Del Mar,"5,698,099","Ozuna, Doja Cat, Sia",29238936,79,0.759,0.636,-5.585,0.0369,0.0224,0.166,109.976,214507,0.536
189,2,Lovefool,"4,439,790",twocolors,36369,79,0.677,0.766,-6.896,0.0568,0.0219,0.129,123.062,190488,0.198
118,33,Higher Love,"4,392,936","Kygo, Whitney Houston",7593792,79,0.693,0.678,-7.159,0.0324,0.0151,0.101,103.952,228267,0.404
145,5,IDK You Yet,"4,473,413",Alexander 23,207170,79,0.648,0.308,-11.729,0.04,0.886,0.124,76.997,184638,0.198
75,25,Piece Of Your Heart,"4,422,905","MEDUZA, Goodboys",441714,79,0.677,0.744,-6.806,0.0295,0.0404,0.074,124.08,152913,0.631
14,17,La Santa,"4,384,527","Bad Bunny, Daddy Yankee",36177712,79,0.744,0.868,-4.524,0.047,0.0326,0.0822,93.037,206420,0.586
51,5,BUTTERFLY EFFECT,"4,537,762",Travis Scott,17732077,79,0.763,0.628,-5.85,0.05,0.0531,0.114,140.958,190557,0.193
47,2,Filter,"5,913,946",BTS,37151476,79,0.781,0.762,-5.188,0.0626,0.0222,0.121,110.042,180221,0.86
160,2,EARFQUAKE,"5,079,657","Tyler, The Creator",6782693,79,0.554,0.498,-8.866,0.0685,0.23,0.795,79.635,190067,0.413
148,7,MIDDLE CHILD,"4,836,113",J. Cole,14103694,79,0.837,0.364,-11.713,0.276,0.149,0.271,123.984,213594,0.463
191,4,Going Bad (feat. Drake),"4,889,500",Meek Mill,5241145,79,0.889,0.496,-6.365,0.0905,0.259,0.252,86.003,180522,0.544
140,3,Don't Call Me Up,"4,931,458",Mabel,1374784,79,0.674,0.881,-2.853,0.147,0.296,0.0793,98.994,178480,0.234
195,1,New Rules,"4,630,675",Dua Lipa,27167675,79,0.762,0.7,-6.021,0.0694,0.00261,0.153,116.073,209320,0.608
94,1,Blaues Licht,"7,084,292","RAF Camora, Bonez MC",1329531,78,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264,0.703
122,37,Riptide,"6,089,242",Vance Joy,2421254,78,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280,0.51
191,1,Kiss My (Uh Oh),"5,063,181","Anne-Marie, Little Mix",8148393,78,0.638,0.878,-3.639,0.0484,0.0151,0.308,103.948,176800,0.481
194,4,Wonderwall - Remastered,"4,938,180",Oasis,6475631,78,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773,0.434
101,1,Wasting Time ( feat. Drake ),"6,731,106",Brent Faiyaz,1724414,78,0.652,0.717,-3.751,0.0581,0.0694,0.0906,89.982,301304,0.377
47,1,LEMONHEAD (feat. 42 Dugg),"11,380,679","Tyler, The Creator",6777818,78,0.62,0.586,-6.612,0.212,0.155,0.535,137.131,130980,0.487
71,4,GANG GANG (with Lil Wayne),"7,506,580",Polo G,4840346,78,0.752,0.563,-8.066,0.209,0.146,0.103,145.05,178776,0.551
181,1,Modern Day,"5,322,745",Migos,11690201,78,0.87,0.629,-7.598,0.279,0.173,0.101,134.944,241790,0.512
92,3,"Snow Tha Product: Bzrp Music Sessions, Vol. 39","5,595,839","Bizarrap, Snow Tha Product",3126961,78,0.83,0.748,-5.362,0.162,0.354,0.0992,133.028,177443,0.523
72,1,Ski,"7,753,784","Young Stoner Life, Young Thug, Gunna",61930,78,0.953,0.621,-7.638,0.221,0.017,0.0398,123.016,152333,0.883
75,5,Además de Mí - Remix,"5,060,336","Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",301217,78,0.397,0.613,-5.077,0.0549,0.0396,0.192,78.4,330040,0.405
45,18,BEBÉ,"4,967,348","Camilo, El Alfa",10580764,78,0.862,0.72,-4.048,0.0379,0.487,0.0604,129.972,198707,0.965
181,1,Girls Like Us,"5,410,730",Zoe Wees,203555,78,0.444,0.648,-4.955,0.0476,0.288,0.059,125.706,189000,0.171
22,29,La Tóxica,"5,255,393",Farruko,10510156,78,0.659,0.701,-4.107,0.164,0.0882,0.0866,91.97,180520,0.623
37,31,Parce (feat. Justin Quiles),"5,312,876","Maluma, Lenny Tavárez",26769304,78,0.691,0.739,-3.09,0.229,0.422,0.11,83.897,248345,0.884
173,5,Remember That Night?,"5,116,325",Sara Kays,251549,78,0.679,0.61,-10.936,0.0305,0.585,0.156,123.978,227186,0.554
128,3,Lifestyle (feat. Adam Levine),"5,059,891","Jason Derulo, Maroon 5",9778632,78,0.749,0.674,-5.128,0.0366,0.0209,0.169,123.055,153865,0.711
22,32,Tattoo - Remix with Camilo,"5,120,753",Rauw Alejandro,6096559,78,0.848,0.637,-5.132,0.156,0.0413,0.0521,96.988,222680,0.698
2,46,Toosie Slide,"4,966,878",Drake,56327031,78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837
193,1,Wonderwall,"4,902,737",Oasis,6478565,78,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773,0.434
152,1,Floating Through Space,"5,579,697","Sia, David Guetta",20528724,78,0.575,0.844,-4.89,0.072,0.00172,0.114,104.914,177801,0.277
21,7,HACIENDO QUE ME AMAS,"4,935,633",Bad Bunny,36177712,78,0.584,0.411,-7.147,0.0838,0.869,0.0955,169.934,217769,0.412
60,17,GO (feat. Juice WRLD),"5,370,330",The Kid LAROI,2238190,78,0.487,0.74,-4.973,0.0944,0.157,0.612,73.779,181688,0.522
82,11,Tick Tock (feat. 24kGoldn),"6,241,923","Clean Bandit, Mabel",4431309,78,0.779,0.705,-3.895,0.0344,0.369,0.124,101.022,178374,0.946
88,12,Jerusalema (feat. Nomcebo Zikode),"5,362,508",Master KG,247480,78,0.88,0.483,-7.012,0.0505,0.0185,0.0607,124.009,342613,0.827
188,1,Mirrors,"4,988,571",Justin Timberlake,11034144,78,0.574,0.512,-6.664,0.0503,0.234,0.0946,76.899,484147,0.512
24,8,Runnin,"4,914,682","21 Savage, Metro Boomin",9949044,78,0.819,0.626,-4.574,0.202,0.00748,0.167,143.01,195906,0.415
95,1,Drankin N Smokin,"7,292,247","Future, Lil Uzi Vert",10491105,78,0.752,0.658,-6.297,0.342,0.0421,0.0927,151.951,213520,0.387
41,19,Got It On Me,"4,924,030",Pop Smoke,6852509,78,0.688,0.647,-7.258,0.19,0.00815,0.095,88.834,164580,0.195
105,26,Dancing With A Stranger (with Normani),"5,229,835",Sam Smith,17097317,78,0.741,0.52,-7.513,0.0656,0.45,0.222,102.998,171030,0.347
18,34,Yo Perreo Sola,"4,680,447",Bad Bunny,36177712,78,0.86,0.758,-5.16,0.0695,0.021,0.344,97.014,172127,0.453
59,3,forget me too (feat. Halsey),"4,751,756",Machine Gun Kelly,3868320,78,0.654,0.875,-4.845,0.0744,0.000417,0.194,99.975,171621,0.522
14,12,Hate The Other Side (with Marshmello & The Kid Laroi),"4,851,997","Juice WRLD, Polo G",19102888,78,0.701,0.65,-6.313,0.104,0.291,0.112,90.003,160212,0.647
64,17,Secrets,"5,178,107","Regard, RAYE",152237,78,0.848,0.768,-5.386,0.0373,0.0412,0.195,118.961,176767,0.777
10,22,Righteous,"4,819,362",Juice WRLD,19102888,78,0.706,0.625,-7.426,0.0314,0.0417,0.129,142.948,242181,0.225
11,37,RITMO (Bad Boys For Life),"4,585,895","Black Eyed Peas, J Balvin",5966748,78,0.721,0.716,-7.037,0.0657,0.0334,0.237,104.994,221714,0.667
42,24,Tattoo,"4,588,064",Rauw Alejandro,6096559,78,0.848,0.637,-5.132,0.156,0.0413,0.0521,96.988,222680,0.698
5,21,La Difícil,"4,727,554",Bad Bunny,36177712,78,0.685,0.848,-4.561,0.0858,0.0861,0.0783,179.87,163084,0.761
132,7,Goodbyes (feat. Young Thug),"4,527,742",Post Malone,33663701,78,0.548,0.653,-3.875,0.081,0.456,0.103,150.068,174853,0.163
88,27,Money In The Grave (Drake ft. Rick Ross),"4,403,348",Drake,56327031,78,0.831,0.502,-4.045,0.046,0.101,0.122,100.541,205427,0.101
15,25,Vete,"4,486,408",Bad Bunny,36177712,78,0.886,0.672,-4.394,0.188,0.0363,0.101,91.976,192024,0.526
15,24,My Oh My (feat. DaBaby),"4,413,457",Camila Cabello,22698747,78,0.724,0.491,-6.024,0.0296,0.018,0.0887,105.046,170746,0.383
54,22,Goodbyes (Feat. Young Thug),"5,134,161",Post Malone,33663701,78,0.548,0.653,-3.875,0.081,0.456,0.103,150.068,174853,0.163
131,21,Can We Kiss Forever?,"4,397,385","Kina, Adriana Proenza",661863,78,0.522,0.128,-18.717,0.0357,0.894,0.0941,109.986,187932,0.124
188,1,Teeth,"4,571,612",5 Seconds of Summer,7744095,78,0.749,0.461,-2.961,0.0416,0.0516,0.0738,139.02,204887,0.42
140,9,You Need To Calm Down,"5,115,153",Taylor Swift,42227614,78,0.771,0.671,-5.617,0.0553,0.00929,0.0637,85.026,171360,0.714
191,2,idontwannabeyouanymore,"4,824,483",Billie Eilish,47061119,78,0.483,0.412,-8.461,0.0402,0.737,0.116,170.163,203569,0.247
128,30,Smells Like Teen Spirit,"6,065,267",Nirvana,13261089,77,0.502,0.912,-4.556,0.0564,2.55E-05,0.106,116.761,301920,0.72
2,52,Hawái,"5,769,714",Maluma,26769304,77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609
19,18,Runaway,"5,566,150",AURORA,1687399,77,0.521,0.277,-10.34,0.0356,0.634,0.103,115.01,248827,0.13
199,1,Verdansk,"4,950,275",Dave,1427540,77,0.961,0.502,-8.605,0.312,0.28,0.145,117.078,182285,0.536
132,1,Renegade (feat. Taylor Swift),"5,876,058",Big Red Machine,98503,77,0.532,0.708,-8.121,0.0505,0.435,0.107,167.977,254467,0.586
189,1,Lieben wir,"5,029,898",Shirin David,558345,77,0.871,0.669,-7.62,0.329,0.0113,0.0795,95.939,155363,0.806
59,1,HOT WIND BLOWS (feat. Lil Wayne),"9,889,197","Tyler, The Creator",6777818,77,0.371,0.75,-5.382,0.402,0.601,0.482,173.456,155293,0.729
63,1,CORSO,"9,503,981","Tyler, The Creator",6777818,77,0.703,0.845,-4.851,0.337,0.169,0.122,97.672,146482,0.745
84,3,Straightenin,"7,615,531",Migos,11690201,77,0.847,0.629,-5.81,0.102,0.0318,0.152,135.976,255532,0.109
53,5,Shy Away,"6,634,722",Twenty One Pilots,20823062,77,0.588,0.856,-5.242,0.0316,0.000818,0.238,96.966,175044,0.635
67,2,Seeing Green (with Drake & Lil Wayne),"6,299,936",Nicki Minaj,22161310,77,0.573,0.867,-2.876,0.168,0.0853,0.38,74.861,339506,0.231
160,3,What Other People Say,"5,413,003","Sam Fischer, Demi Lovato",122746,77,0.652,0.472,-8.084,0.0399,0.158,0.121,126.904,194890,0.24
91,12,Hasta Abajo,"5,269,163","Kevin Roldan, Bryant Myers, Lyanno",4026643,77,0.714,0.671,-5.119,0.362,0.289,0.325,169.732,229827,0.641
181,3,Coração Na Cama - Ao Vivo,"5,211,351",Hugo & Guilherme,435936,77,0.764,0.794,-4.096,0.0589,0.663,0.34,110.013,173227,0.721
12,14,Snowman,"5,454,807",Sia,20528724,77,0.716,0.512,-6.257,0.0331,0.483,0.0928,104.957,165907,0.326
24,25,Se Te Nota (with Guaynaa),"5,168,240",Lele Pons,786461,77,0.905,0.686,-3.152,0.0664,0.0907,0.266,103.013,155825,0.963
33,12,BOOKER T,"4,995,965",Bad Bunny,36177712,77,0.883,0.6,-7.188,0.37,0.114,0.0931,113.903,156430,0.691
5,53,Intentions (feat. Quavo),"4,994,138",Justin Bieber,48544923,77,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867,0.874
83,11,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","5,232,509","Bizarrap, Nathy Peluso",3134041,77,0.65,0.655,-3.71,0.405,0.25,0.0691,94.059,171215,0.735
17,15,Hawái - Remix,"5,163,323","Maluma, The Weeknd",26784251,77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609
140,4,Can You Feel My Heart,"5,092,250",Bring Me The Horizon,3912138,77,0.15,0.859,-2.827,0.0595,0.00201,0.387,170.527,228147,0.354
18,23,Heartless,"4,995,578",The Weeknd,35340069,77,0.537,0.746,-5.507,0.15,0.0236,0.156,170.062,198267,0.252
42,17,Diamonds,"4,931,163",Sam Smith,17097317,77,0.653,0.667,-6.764,0.0423,0.154,0.107,104.181,213869,0.556
61,39,Azul,"4,606,011",J Balvin,29067437,77,0.843,0.836,-2.474,0.0695,0.0816,0.0532,94.018,205933,0.65
158,5,E-GIRLS ARE RUINING MY LIFE!,"4,488,125","CORPSE, Savage Ga$p",1777797,77,0.614,0.937,-7.443,0.115,0.00161,0.103,84.98,105176,0.386
86,2,Angels Like You,"5,884,221",Miley Cyrus,15778531,77,0.672,0.642,-4.035,0.0313,0.0981,0.1,121.981,196453,0.494
18,3,Blue & Grey,"5,698,275",BTS,37151476,77,0.547,0.605,-6.755,0.0415,0.42,0.125,121.953,254950,0.364
35,5,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","5,314,734",24kGoldn,1276406,77,0.721,0.745,-3.508,0.0366,0.151,0.372,90.988,192745,0.699
24,2,Telepathy,"7,703,744",BTS,37151476,77,0.787,0.669,-4.333,0.0428,0.00782,0.123,104.994,202313,0.57
9,28,Party Girl,"4,878,286",StaySolidRocky,150587,77,0.728,0.431,-9.966,0.0622,0.749,0.0996,130.022,147800,0.629
22,18,GREECE (feat. Drake),"5,043,665",DJ Khaled,6281829,77,0.695,0.343,-10.798,0.0432,0.0743,0.107,85.84,218902,0.229
197,1,Someone Like You,"4,703,672",Adele,28335338,77,0.556,0.319,-8.251,0.0281,0.893,0.0996,135.187,285240,0.294
12,32,Supalonely,"5,089,970","BENEE, Gus Dapperton",638337,77,0.863,0.631,-4.689,0.0534,0.305,0.123,128.977,223480,0.817
123,1,bloody valentine,"6,032,935",Machine Gun Kelly,3868320,77,0.533,0.858,-4.212,0.0766,0.00021,0.148,160.057,205159,0.506
4,9,exile (feat. Bon Iver),"4,924,533",Taylor Swift,42227614,77,0.298,0.38,-8.426,0.0287,0.778,0.11,75.602,285634,0.152
12,34,Physical,"4,599,807",Dua Lipa,27167675,77,0.647,0.844,-3.756,0.0457,0.0137,0.102,146.967,193829,0.746
75,14,Some Say - Felix Jaehn Remix,"4,598,325",Nea,38111,77,0.682,0.7,-5.591,0.0397,0.406,0.174,120.03,186878,0.637
22,6,ON,"5,391,018",BTS,37151476,77,0.583,0.817,-5.146,0.0987,0.118,0.338,105.936,246381,0.438
25,30,China,"4,627,026","Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",18306226,77,0.786,0.808,-3.702,0.0882,0.0846,0.0822,105.027,301714,0.609
29,30,Hola - Remix,"4,617,726","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",3600989,77,0.654,0.672,-5.98,0.311,0.471,0.0781,181.857,249520,0.343
29,28,High Fashion (feat. Mustard),"4,592,772",Roddy Ricch,6608815,77,0.831,0.499,-8.442,0.114,0.269,0.3,97.956,220487,0.511
69,19,Like That (feat. Gucci Mane),"4,565,377",Doja Cat,8671649,77,0.879,0.498,-6.027,0.18,0.239,0.0967,106.044,163173,0.405
46,29,Lalala,"4,541,965","Y2K, bbno$",268766,77,0.843,0.39,-7.899,0.0846,0.178,0.137,129.972,160627,0.495
55,28,No Me Conoce - Remix,"4,501,188","Jhay Cortez, J Balvin, Bad Bunny",2435159,77,0.806,0.786,-3.831,0.0741,0.145,0.0935,91.973,309120,0.58
125,15,Make You Mine,"4,356,213",PUBLIC,165504,77,0.606,0.799,-4.452,0.0261,0.0128,0.15,103.014,232907,0.638
27,21,What A Man Gotta Do,"4,360,660",Jonas Brothers,5436999,77,0.852,0.698,-7.206,0.0629,0.00839,0.0773,113.039,180645,0.324
55,1,Daechwita,"8,908,179",Agust D,5564366,77,0.65,0.827,-4.014,0.0599,0.0229,0.121,144.995,225668,0.223
124,20,Eastside (with Halsey & Khalid),"4,397,708",benny blanco,804613,77,0.56,0.68,-7.648,0.321,0.555,0.116,89.391,173800,0.319
80,18,"Alone, Pt. II","4,395,061","Alan Walker, Ava Max",29679430,77,0.67,0.668,-4.306,0.0422,0.536,0.133,88.033,179053,0.608
156,13,3 Nights,"4,411,998",Dominic Fike,554042,77,0.815,0.518,-6.594,0.0897,0.223,0.104,151.891,177667,0.877
152,13,Takeaway,"4,359,727","The Chainsmokers, ILLENIUM, Lennon Stella",18195884,77,0.528,0.511,-8.144,0.0324,0.126,0.101,100.1,209880,0.351
69,3,Una Vez,"5,411,302","Bad Bunny, Mora",36177712,77,0.55,0.598,-5.402,0.0831,0.132,0.0955,83.836,232496,0.543
169,2,i'm so tired...,"5,547,770","Lauv, Troye Sivan",4442273,77,0.599,0.733,-7.058,0.203,0.176,0.242,102.211,162583,0.534
41,11,South of the Border (feat. Camila Cabello & Cardi B),"5,315,827",Ed Sheeran,83337783,77,0.857,0.621,-6.376,0.0825,0.148,0.0865,97.989,204467,0.668
146,8,QUE PRETENDES,"5,141,047","J Balvin, Bad Bunny",29067437,77,0.639,0.791,-4.443,0.253,0.0275,0.362,92.603,222347,0.939
82,10,Truth Hurts,"5,024,683",Lizzo,3991674,77,0.715,0.624,-3.046,0.114,0.11,0.123,158.087,173325,0.412
139,1,Borderline,"5,921,044",Tame Impala,5064200,77,0.621,0.873,-3.067,0.0369,0.0406,0.0824,97.96,237800,0.873
7,1,Intentions,"28,509,534","Justin Bieber, Quavo",48544923,77,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867,0.874
89,7,Loco Contigo (feat. J. Balvin & Tyga),"5,013,732","DJ Snake, J Balvin",7408249,77,0.694,0.758,-2.986,0.218,0.278,0.102,192.091,185195,0.371
193,1,ME! (feat. Brendon Urie of Panic! At The Disco),"4,884,909",Taylor Swift,42227614,77,0.61,0.83,-4.105,0.0571,0.033,0.118,182.162,193000,0.728
126,4,Legends,"4,922,369",Juice WRLD,19102888,77,0.594,0.798,-5.244,0.0844,0.115,0.143,142.049,191840,0.381
72,1,GATTI,"7,685,470","JACKBOYS, Pop Smoke, Travis Scott",437907,77,0.594,0.676,-5.808,0.344,0.135,0.163,143.477,181145,0.472
