Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
2,49,Dynamite,"11,196,819",BTS,37106176,89,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054,0.737
46,10,Heartbreak Anthem (with David Guetta & Little Mix),"10,315,460",Galantis,3120157,89,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726,0.479
1,51,Mood (feat. iann dior),"10,222,056",24kGoldn,1274433,89,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533,0.732
48,3,Entre Nosotros,"10,215,216","Tiago PZK, LIT killah",375865,89,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353,0.789
29,6,Fiel - Remix,"10,032,746","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,89,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547,0.573
20,11,Build a Bitch,"9,841,998",Bella Poarch,389076,89,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773,0.866
52,9,Leave Before You Love Me (with Jonas Brothers),"9,428,494",Marshmello,31541310,89,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983,0.637
56,13,Freaks,"9,319,465",Surf Curse,495226,89,0.345,0.941,-9.918,0.0466,3.84E-05,0.0511,179.626,147062,0.407
9,10,brutal,"8,881,356",Olivia Rodrigo,6266514,89,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747,0.28
52,19,Levitating,"6,799,831",Dua Lipa,27142474,89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915
28,23,911,"6,111,108",Sech,8758283,89,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631,0.784
59,6,Poblado,"6,893,939","Crissin, Totoy El Frio, Natan & Shander",29051363,89,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280,0.646
32,1,Don't Go Yet,"13,205,250",Camila Cabello,22683756,88,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842,0.61
19,4,"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701","Bizarrap, Nicky Jam",3126961,88,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087,0.818
52,4,Tiroteo - Remix,"9,781,153","Marc Seguí, Rauw Alejandro, Pol Granch",45362,88,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556,0.601
