,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
134912,5ak3ZwyjRdwABZQfovFcZG,49.0,0.68,0.0,0.12,-12.581,0.0297,0.313
134913,6LxcPUqx6noURdA5qc4BAT,49.0,0.652,0.0428,0.0847,-9.021,0.0358,0.626
134914,113O9yo2Ayl4OsKfBdzbVh,49.0,0.735,0.00196,0.196,-3.777,0.113,0.598
134915,45CCe4gu08OYG1I4MH8TU6,49.0,0.682,0.0,0.197,-4.406,0.292,0.183
134916,3ajiUFrVUHsmU5F2pv3kzd,49.0,0.524,0.000131,0.177,-3.069,0.05,0.644
134917,2pRIqomqpeo1loNcYac5HF,49.0,0.66,0.000572,0.2,-4.147,0.223,0.532
134918,3wFnBRnYgpdoBQyXl3NxoH,49.0,0.759,0.0,0.13,-7.015,0.165,0.411
134919,4ej94zqr9xYLbWphCH3TcD,49.0,0.552,8.2e-05,0.334,-5.419,0.0542,0.718
134920,6D8WgDaIuyirn6egGauzVK,49.0,0.745,8.15e-06,0.0777,-4.28,0.0613,0.468
134921,4Fxj5bX8ZlTGw42BIkFwng,49.0,0.65,0.0,0.13,-7.204,0.0344,0.463
134922,5Hu8zdEUszmTkCeSsm3Ly9,49.0,0.558,0.0,0.117,-14.676,0.0312,0.255
134923,1o8n563oEpZzCj4qTIJ0NM,49.0,0.955,0.0,0.138,-6.351,0.188,0.744
134924,17hd4ptJCbsEeLj0auPcwy,49.0,0.613,0.0,0.341,-3.799,0.0352,0.526
134925,12lkzBhUysiCPRIKrFLtVQ,49.0,0.675,0.0,0.134,-4.336,0.071,0.688
134926,2fLyikLZmHxW4XdToFpDdN,49.0,0.667,0.0,0.0927,-5.345,0.0316,0.337
134927,2JsKO2ygw4ft6QEy4U4RO4,49.0,0.671,0.0,0.1,-7.611,0.0503,0.385
134928,1YG3JOm9UizAMDGqbWTJjR,49.0,0.869,0.00227,0.107,-7.601,0.373,0.538
134929,6mIC0zmQTsvOMfZ1YqQwLU,49.0,0.65,0.0,0.107,-10.998,0.0554,0.354
134930,2OFrAsP5Vrcb0DtsPNsm54,49.0,0.501,0.49,0.184,-7.063,0.0281,0.46
134931,4BKlUinuIllRwKce1DAY0P,49.0,0.549,7.47e-06,0.429,-1.182,0.0594,0.422
134932,25gXwa9Wpa3CRu41GQ6iZc,49.0,0.626,0.0,0.0565,-5.643,0.0439,0.637
134933,1WlU4jsJ8AoTB96dgd8LJA,49.0,0.853,0.0515,0.204,-3.331,0.202,0.879
134934,3TpBefRZ1vFcOH6z57PQRI,49.0,0.781,0.0,0.19,-5.107,0.0569,0.412
134935,4KyJQKAFvEH4F52qSMuwIF,49.0,0.196,0.917,0.106,-34.255,0.0442,0.053
134936,0kas95RruYRVqrOb07rgkh,49.0,0.557,0.0,0.116,-5.624,0.14,0.675
134937,2U3LJfQB0ALLxC7Yy0QW7l,49.0,0.833,1.41e-06,0.161,-4.905,0.195,0.377
134938,1q7auenB1HtlxmJJbWCDFL,49.0,0.767,2.52e-06,0.0996,-4.011,0.0492,0.519
134939,2jaaONYdaOUk8hhhIRIp4A,49.0,0.704,0.0,0.579,-6.652,0.059,0.55
134940,022k1qYIMWV20yW7tjiBv5,49.0,0.7,0.0491,0.121,-7.206,0.0458,0.614
134941,0n22yqkitWec0PV6tibWEO,49.0,0.68,0.000174,0.0705,-7.108,0.27,0.864
134942,5xi2SXmF3A5AIsuGXiUIZu,50.0,0.737,0.000382,0.0821,-5.31,0.0895,0.655
134943,6HEIBHUirx1J0JkUD24szt,50.0,0.8,0.000111,0.105,-13.1,0.407,0.213
134944,2nlqFOnSp8TAqzi7KYnrRC,50.0,0.449,0.0289,0.126,-6.565,0.0393,0.321
134945,2Ul7yRZaxGcWCzQg7m632Z,50.0,0.76,1.49e-05,0.149,-3.449,0.124,0.559
134946,6YXxeDNipkeI0kV6v7QD91,50.0,0.877,0.0,0.0813,-10.981,0.476,0.184
134947,1zDwQIp3BgbH9dSmYtPBDH,50.0,0.783,0.0,0.11,-7.008,0.358,0.389
134948,62PDM93qqC4xSfQMV48MRF,50.0,0.465,0.02,0.286,-6.331,0.237,0.39
134949,50wkDxcIfamIajKwmgp0iB,50.0,0.843,0.0,0.374,-7.714,0.464,0.427
134950,2zIAPysksDdMAiG33qH6kW,50.0,0.743,0.0,0.128,-6.66,0.1,0.835
134951,5H0NU2sHWUnWCcZyYlX46X,50.0,0.792,6.39e-06,0.107,-7.038,0.34,0.084
134952,5foPGlyY3O4uSrFGhfUKGW,50.0,0.694,0.0,0.0832,-6.686,0.396,0.684
134953,6WlxcZKpEV6Bwe9InoVhMp,50.0,0.884,2.38e-06,0.182,-6.847,0.299,0.313
134954,2ppse4DOEFlzaW7Xu3U76r,50.0,0.561,0.0,0.121,-5.376,0.452,0.458
134955,6Sd27EbAI0YVvIKhCJKGac,50.0,0.666,0.0,0.242,-5.196,0.182,0.635
134956,5kJEUjZUh1xPRUHQc8hEnq,50.0,0.553,0.0,0.0915,-9.757,0.224,0.772
