,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
65280,7mRST8KXEPQXdNDKW52X0S,23.0,0.502,0.0,0.216,-11.833,0.0309,0.16
65281,4rwVO8s54rHoo83iIWFEb4,23.0,0.638,1.64e-05,0.146,-8.63,0.0277,0.349
65282,6EWJTsGmZyC1f5qSXWTw7o,23.0,0.176,0.845,0.169,-19.051,0.0407,0.083
65283,63TTgU7WFy5vc58PE5AodI,23.0,0.342,5.6e-05,0.093,-11.506,0.0315,0.0961
65284,2pWEU7DzXE62neJycDL3EV,23.0,0.643,1.62e-06,0.16,-11.008,0.225,0.601
65285,0K5toSEOW6O1T1JN9I8Km8,23.0,0.619,0.686,0.0755,-7.163,0.0549,0.698
65286,4O6C86cNmrXkdc0erTxfRd,23.0,0.306,0.765,0.115,-17.346,0.0333,0.114
65287,33eSQo1gqkCOYqA0jDGwsF,23.0,0.689,0.0,0.664,-4.215,0.802,0.762
65288,27a3Q0H1X7Ds1ETrAGF49c,23.0,0.701,0.0,0.35,-8.146,0.284,0.752
65289,3Zt12tURVmb4280epunDP5,23.0,0.545,2.76e-05,0.202,-9.368,0.0295,0.287
65290,17jbQbDimejpbsW64e5PbU,23.0,0.599,0.0,0.746,-2.498,0.812,0.447
65291,7CfwGGOs7kufRgUSeORf9h,23.0,0.538,0.0,0.347,-5.752,0.0286,0.322
65292,7aK3uI9DOOj07RLAyTmoKY,23.0,0.0974,0.935,0.0868,-12.791,0.037,0.0484
65293,3Ba8hLqfoeldTGn4tJbryW,23.0,0.603,0.0,0.763,-0.912,0.521,0.721
65294,0Lp7n39iTWOfH27pXl6B1d,23.0,0.434,0.0,0.136,-8.303,0.0374,0.376
65295,1CC9182i2PGkWD5iV2Kd4V,23.0,0.449,0.219,0.117,-19.436,0.0317,0.141
65296,4Ie4tIYFJnM8SyLBR9JQk5,23.0,0.277,0.271,0.125,-24.333,0.0463,0.037
65297,7ecmTMbzLcKwJsyIw7updm,23.0,0.154,0.383,0.132,-24.288,0.0449,0.0648
65298,4amq1HkoX4cqj9tK9RpHwy,23.0,0.189,0.954,0.357,-14.368,0.0323,0.0375
65299,2D4PWhCj59xSZ1pj5MBvWG,24.0,0.534,0.68,0.0892,-7.264,0.0441,0.807
65300,0swUA7QvlrpvHzG1seV37a,24.0,0.287,0.00465,0.103,-21.978,0.0578,0.0883
65301,7welBMxkOuKzuJ1VLAa8PC,24.0,0.694,1.56e-05,0.193,-8.48,0.118,0.845
65302,5MNFZwRfPEIrEHvrN1C8Ct,24.0,0.624,0.0,0.104,-5.9,0.159,0.458
65303,4l9Zq8NRhk9aialtzp9NFu,24.0,0.478,0.0235,0.113,-13.77,0.0329,0.168
65304,2uh9QBfIhlOlJ2UwPainer,24.0,0.0662,0.705,0.713,-17.61,0.0513,0.0393
65305,5Fpor29izf9UW1wzqHNmGU,24.0,0.55,3.94e-06,0.104,-8.187,0.0341,0.224
65306,5aKkIRht4psUQdZPbwRmz9,24.0,0.52,0.0116,0.169,-11.687,0.0316,0.184
65307,0k3kIYS5glHDPJCrXxsvRk,24.0,0.277,0.00571,0.12,-14.156,0.033,0.239
65308,3W961WM6yLKSsypvPVKMW7,24.0,0.61,0.0,0.672,-11.017,0.96,0.682
65309,3CdcxMNTdzdh8QzSwHoHlz,24.0,0.184,0.0692,0.0651,-29.369,0.0471,0.0376
65310,34qsGHH3KTSn3DMTBwbH9y,24.0,0.399,0.814,0.0984,-15.567,0.0515,0.188
65311,5BplWWaZrVfk3uYQjGWDIF,24.0,0.187,0.0093,0.307,-19.373,0.0413,0.0742
65312,3mYbNFLCnhKbHU1nJFW2qf,24.0,0.193,2.21e-05,0.106,-11.877,0.0317,0.0993
65313,5SNES1QX0v9kS6Juph9Di3,24.0,0.398,0.881,0.103,-18.115,0.0359,0.114
65314,7xM5wAjgvABMsgEoQQ3srw,24.0,0.555,0.711,0.0958,-13.533,0.294,0.771
65315,46CzD1w680pAxSE9UGZdNu,24.0,0.591,0.0,0.0973,-10.45,0.0363,0.228
65316,2YyiX6MaEXUouzkWk37nGr,24.0,0.209,0.0526,0.0788,-13.94,0.043,0.073
65317,00QMcKNCYXMomU6qn563KC,24.0,0.328,0.87,0.0833,-26.127,0.0389,0.0379
65318,5URIFB569sc9qhxAzy5Fol,24.0,0.432,0.0,0.218,-3.024,0.0767,0.435
65319,0gKHGA10PaRXrIInSz3wd3,24.0,0.636,1.3e-05,0.0952,-4.358,0.042,0.618
65320,3FY2AnmOs09L5S1b6E9JMt,24.0,0.647,0.665,0.114,-4.505,0.153,0.166
65321,0Hyc7Ovszal7W6tg71p7AY,24.0,0.68,0.757,0.337,-3.978,0.0605,0.417
65322,5LHuZpaZ8vpQAq3t6a1XXZ,24.0,0.379,0.704,0.527,-2.897,0.136,0.181
65323,7mHp0WR9fqa5zC52QvRU0q,24.0,0.515,0.0696,0.136,-8.424,0.0285,0.968
65324,1fxwu3d1BYyDWJco95nbH8,24.0,0.685,0.383,0.099,-2.584,0.0616,0.192
65325,00Jv2X89zurBYjzcf3Ahyz,24.0,0.775,6.16e-06,0.363,-3.478,0.107,0.965
65326,3vOOs4mUvm35eXOpnt0mHy,24.0,0.235,0.924,0.0781,-8.711,0.0749,0.202
65327,3Pi4BfFBHM19nuglonUbnc,24.0,0.642,0.026,0.143,-3.416,0.0901,0.672
65328,21GWCsXuJyyBaiBFrzZCbT,24.0,0.528,0.0,0.264,-2.778,0.0562,0.874
65329,638sPxlYGXdimTEg4L7UKN,24.0,0.608,0.835,0.389,-9.336,0.0393,0.138
65330,4v6zLZTZ47okUvqmEnRxQc,24.0,0.574,0.0,0.153,-6.065,0.0293,0.457
65331,42r2yWw5rhFTf84aicU0hF,24.0,0.75,0.0,0.0872,-5.775,0.0383,0.907
65332,0LxGiQCMxUkv2j7q4PUptW,24.0,0.403,0.0,0.088,-6.132,0.0296,0.0703
65333,0AjDQLywGn0kPPsUCxdnty,24.0,0.886,0.393,0.163,-10.883,0.205,0.436
65334,6naPcHAAo8lCm7Hti27Opf,24.0,0.761,0.0,0.257,-1.155,0.0879,0.174
65335,3EfH3Aez5U9f3mnxvjzMw5,24.0,0.664,0.00021,0.408,-6.149,0.159,0.648
65336,1TzmDiFZCXpCiW4wv1nLm6,24.0,0.738,0.0,0.34,-8.026,0.0315,0.807
65337,7bok9MdtJTjkUEDu1yvoof,24.0,0.422,0.022,0.123,-3.767,0.0875,0.288
65338,5dY2l3xrpCykpPClHBJ8n5,24.0,0.685,0.0,0.0955,-4.48,0.0419,0.89
65339,5jLcUD11E5E63L1JejGJ30,24.0,0.374,0.0,0.135,-5.298,0.0399,0.792
65340,0j0d2Du4yZIACPWLjDhAgI,24.0,0.644,9.51e-06,0.117,-7.973,0.029,0.21
65341,50IyuH9qLwaAb8vHrCLiIM,24.0,0.716,0.058,0.182,-4.814,0.0689,0.93
65342,2tocd0e0UQUU8TgQGQ0BPy,24.0,0.591,0.0,0.196,-7.575,0.0584,0.534
65343,34aFNeqdedhNB0wcaDkPfH,24.0,0.453,0.0,0.244,-3.701,0.116,0.367
65344,44RkXLJEQ59gQhP7xkVZMJ,24.0,0.678,0.0,0.176,-6.783,0.0688,0.424
65345,0GoplGLA5SbwWBX7OCi4Oe,24.0,0.902,0.0,0.0891,-5.373,0.0821,0.465
65346,26vUU8q0982LrpZRtRTQtG,24.0,0.637,0.0,0.0894,-9.339,0.0703,0.682
65347,0BUZAmcGUtz9UoKa1sUPJz,24.0,0.55,2.96e-06,0.291,-6.668,0.0356,0.219
65348,3Iw2CbRmyKRPGf1yj1HrRo,24.0,0.596,0.712,0.0485,-10.203,0.0429,0.896
65349,7e4c9HIAsusv1EPlScchcG,24.0,0.537,0.0,0.345,-7.381,0.054,0.595
65350,63RqfzUirzt4lyr4TXpyky,24.0,0.639,0.0,0.369,-11.55,0.0685,0.873
65351,2NcgsjJGXUC04MK1Ly7eea,24.0,0.576,0.0,0.0923,-5.205,0.318,0.308
65352,7hpEsDJX22kfDKeNuQC3qb,24.0,0.824,0.0,0.194,-8.1,0.0374,0.269
65353,1R0yYx7ZVOH8A6rk87Me5r,24.0,0.716,3.36e-06,0.25,-15.829,0.0537,0.836
65354,1sVelYOWWeRJDSHN1wb7kx,24.0,0.455,0.000301,0.132,-11.899,0.0362,0.162
65355,5JyfQrcjEY6GP6qGKGnQmm,24.0,0.166,0.398,0.157,-10.908,0.0306,0.0658
