,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
73984,35W5xcjfeqxCIv0O8TSI12,31.0,0.391,0.0,0.126,-12.254,0.0341,0.349
73985,5PPxL77sPLE7RuA3Ya9T3C,31.0,0.0822,0.841,0.095,-23.618,0.0487,0.0288
73986,4Sqkfwcm0HsUMlmmmZYTim,31.0,0.302,0.666,0.112,-21.092,0.0403,0.279
73987,6X15XzKSCNiGJhbinKrZg3,31.0,0.195,0.882,0.123,-19.371,0.0381,0.0393
73988,0WFlDv4ro1ZVuENYErUvRy,31.0,0.523,0.131,0.093,-11.446,0.0442,0.301
73989,1VcuJnxxrWeoJwQqF00Ggw,31.0,0.462,0.918,0.103,-23.432,0.0505,0.0822
73990,4bI6whlANRIv9z7H76USwn,31.0,0.113,0.744,0.106,-24.652,0.0451,0.0368
73991,0Rea9WUjO4vRsIJiAYOpp5,31.0,0.344,0.0599,0.108,-16.374,0.0465,0.156
73992,6EwKf0ogNXUVB7GyzUReNo,31.0,0.329,0.93,0.108,-19.733,0.0404,0.0391
73993,2LY503OZZHMC8uP7isvnR6,31.0,0.122,0.848,0.109,-24.111,0.0469,0.0983
73994,6YviVNBmQ8eaQpUZEpZAMY,31.0,0.538,0.075,0.0916,-28.307,0.0377,0.0878
73995,6gKtGkDTPjVMsWt02bGCHn,31.0,0.264,0.906,0.19,-23.093,0.0384,0.16
73996,0N8N3Eeh9zu6kGMy3IW0W7,31.0,0.399,0.95,0.0809,-26.116,0.0413,0.283
73997,50EMA40T710iKQUlAxkVLe,31.0,0.546,0.949,0.0851,-28.266,0.258,0.353
73998,0Tlvb46peCAX3mrKvYqyOW,31.0,0.376,0.953,0.0731,-36.193,0.0549,0.218
73999,4rTqyZxj4pW5WrRl5UsF7H,31.0,0.485,5.16e-06,0.257,-5.121,0.0304,0.397
74000,2zffJrsswcDnVhLW5sXYsp,31.0,0.467,0.000617,0.13,-2.715,0.0409,0.25
74001,6ArbQdNmyp4t5aLXmRfO90,31.0,0.692,0.405,0.0506,-4.654,0.0632,0.17
74002,3f4KmzUdL9RAZ0CfTaocv8,31.0,0.596,1.11e-05,0.144,-5.481,0.0317,0.422
74003,04HRnf4z0ZXVLFHGInF4bY,31.0,0.602,0.0,0.977,-9.546,0.0374,0.389
74004,2aY7OHO2jWD83bPa0qKw3n,31.0,0.641,0.00144,0.05,-8.314,0.062,0.566
74005,1aHGB9ktzblhNAdbwz2NQA,31.0,0.806,0.0,0.0454,-8.991,0.105,0.89
74006,1wPYycdkn40DUOdwft2O8n,31.0,0.657,0.895,0.0416,-10.651,0.0342,0.153
74007,4hs8PWdQnM4d0Byz3YdfSg,31.0,0.853,0.19,0.157,-2.653,0.118,0.177
74008,4ltqcoeudXoPk8rLyAv1DA,31.0,0.462,1.38e-05,0.418,-3.547,0.0609,0.242
74009,2ipI8cDiUNzgOmyftmJGLA,31.0,0.48,0.000871,0.332,-4.968,0.0491,0.524
74010,5cyYuq5MTebQtkcqvNMvek,31.0,0.653,0.233,0.068,-7.427,0.0364,0.68
74011,4WWYNLDXUvYWfUyBGuYUUI,31.0,0.475,0.0,0.693,-5.703,0.0376,0.361
74012,6sDnmK4km6ElcQoBi84CSN,31.0,0.496,0.0,0.376,-3.542,0.153,0.692
74013,0EUKpTBoC0RvK4Ex5bii5h,31.0,0.36,3.37e-05,0.168,-5.696,0.0406,0.216
74014,38qZdV6AAZrZweEBXV4VQr,31.0,0.411,2.24e-06,0.351,-3.62,0.0456,0.859
74015,5X63ScxPmHFf0sUhBshmLe,31.0,0.686,0.00903,0.0671,-6.176,0.297,0.319
74016,2hRlBPFkbNJKcwfJf7qs6w,31.0,0.608,0.867,0.131,-13.789,0.0416,0.0372
74017,6Qe6MykDX1myfV52Pav90s,31.0,0.725,2.26e-06,0.105,-4.742,0.0277,0.801
74018,2By5whCkeD9AG7KlXNYNpB,31.0,0.723,0.0923,0.227,-8.206,0.0313,0.748
74019,2GwbUDsnwgb2BO9LUr5osZ,31.0,0.543,0.0591,0.247,-0.378,0.282,0.046
74020,4j774YQ7sX10fMqmuRnZ0L,31.0,0.251,0.043,0.236,-9.792,0.0419,0.0391
74021,01rAKDhFfsNKgsAkSO3Xl3,31.0,0.26,6.39e-05,0.214,-4.867,0.0462,0.0793
74022,1O8ZaFRNHEse7DgmPI1rZX,31.0,0.575,0.0,0.0868,-3.178,0.0476,0.325
74023,5nJC2EpdoHs8yx1MQwFimT,31.0,0.555,0.0023,0.0472,-5.83,0.199,0.752
74024,2q0jKDgxCmgpGbtYJYyB7A,31.0,0.362,0.0,0.262,-1.433,0.168,0.42
74025,2EwquaMz0nVqQ3PrjK4fAe,31.0,0.752,0.000431,0.115,-10.764,0.049,0.336
74026,5GRHolUqVNM0u4PWAuvWUK,31.0,0.494,0.00159,0.452,-4.183,0.0444,0.359
74027,6WcfVdqRlr0G0X6DRVjaox,31.0,0.556,0.91,0.137,-7.445,0.0409,0.539
74028,1Kvj1ifXc6BVtLEYjfDsS6,31.0,0.707,1.41e-05,0.23,-14.798,0.0288,0.621
74029,6DUkXQ48mcAI7cWooelaeV,31.0,0.742,0.0,0.589,-6.741,0.0981,0.156
74030,3ETgFxYeq8smKIWsEhRjLM,31.0,0.576,0.0,0.117,-5.361,0.0403,0.217
74031,34VDLcAsbzXwXsZNFplJfu,31.0,0.605,4.12e-06,0.0597,-5.757,0.0263,0.849
74032,3mf6Tv1g8olao76J6hDdBJ,31.0,0.508,7.38e-05,0.0966,-7.73,0.0253,0.256
74033,4f7TYK5Yn43ffrr7RdPdEG,31.0,0.476,0.0141,0.104,-7.946,0.0335,0.0571
74034,10oQov5FDhyrXhsK3fbCXC,31.0,0.696,0.761,0.107,-8.138,0.0854,0.66
74035,2ZQJd2h0hBeawQhsLlYCNM,31.0,0.54,0.00169,0.262,-5.651,0.0327,0.246
74036,6KfLIZE3UOxIpEzMqfgQMW,31.0,0.569,0.0,0.27,-5.175,0.041,0.791
74037,4R55eLGAYEpn9tFaclCqrn,31.0,0.399,3.13e-06,0.0808,-4.591,0.0368,0.434
74038,7agDO5Ep4OqRN4Fa3bCg0J,31.0,0.587,2.68e-06,0.933,-3.759,0.0444,0.207
74039,2NHBZioRzyMG6VTsyqqrLB,31.0,0.477,0.000237,0.388,-8.382,0.0508,0.12
74040,0lJoAtJYGRN7PslBDmrb88,31.0,0.824,0.0,0.22,-6.211,0.207,0.437
74041,2ytE0tNJiLXwu24Q4ZZWlD,31.0,0.611,0.037,0.112,-4.77,0.0307,0.5
74042,6KxbdasRYnD0VhbFezcIUC,31.0,0.522,0.000146,0.105,-5.82,0.352,0.732
74043,7nLAsaYQ1heN88bwVUdrtr,31.0,0.679,0.0,0.0694,-7.597,0.0566,0.524
74044,1OhHb9ikkYbaELfm0eMlD3,31.0,0.862,0.0,0.0716,-5.219,0.215,0.812
74045,05r7TyO2a0sYnXmypG1O7U,31.0,0.827,0.012,0.0993,-8.256,0.0598,0.373
74046,1ZgP9d8OaiBCUQKOrvbAsH,31.0,0.56,8.27e-05,0.28,-6.108,0.0422,0.866
74047,0wvgQkWX4sBOsX68LrsOhB,31.0,0.575,3.87e-06,0.0359,-6.3,0.0364,0.68
74048,3LHepmHd6AHbZ9V12kOmpy,31.0,0.462,3.36e-06,0.444,-7.098,0.0309,0.266
74049,48gicBK3ziVIqym81WGY7n,31.0,0.653,7.95e-06,0.101,-2.665,0.0579,0.761
74050,4l25nV9HpSPEY6LKnwtnSg,31.0,0.631,0.0617,0.113,-10.414,0.0449,0.0708
74051,58nQxSmiOEc6oK4kQyU7vo,31.0,0.174,0.894,0.113,-14.816,0.0422,0.0347
74052,0SOh4qsNAaW1c8lEBl5TeY,31.0,0.505,0.0798,0.397,-7.74,0.0802,0.723
74053,0ECrzHY2rhcoslFK02BMhv,31.0,0.695,0.0,0.0632,-6.363,0.0389,0.64
74054,7LpAUoyq39CMyegNVVXRnj,31.0,0.659,0.0,0.108,-5.839,0.386,0.51
74055,1yvzYavh4oRiAVoy5f1kqD,32.0,0.634,0.0,0.166,-6.053,0.0366,0.867
74056,7JqqNMJbW5PFBNWMvMh2VS,32.0,0.361,0.0,0.266,-6.488,0.0375,0.138
74057,2DgD0JLwGiSPUHvRXWUYX2,32.0,0.7,0.00035,0.271,-4.65,0.0351,0.588
74058,4ud75vKSCAVDVBJDmAIvEx,32.0,0.664,0.000234,0.28,-7.84,0.0339,0.0947
74059,3apJ66G3QuD7rK9hacQUNp,32.0,0.812,0.00145,0.0955,-12.296,0.0962,0.146
74060,7FOI4MX6j3rGJ6OUFNXqjr,32.0,0.605,0.0,0.0662,-6.116,0.349,0.702
