,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
91392,1wHJ3n8ERZljmfGXc1PRbe,35.0,0.671,0.00016,0.12,-18.003,0.0378,0.486
91393,39Xdcux5VHtwBtkKeU9Apr,40.0,0.469,0.0,0.965,-10.006,0.947,0.273
91394,4fpAxDV1fhSHMotzyKkFhz,35.0,0.526,0.347,0.103,-13.514,0.028,0.162
91395,2PIGvb6Qdl9PQXmnqhbCaQ,43.0,0.606,0.0,0.123,-11.715,0.137,0.589
91396,6gagcVd6zuEScDrwDZ3O9J,35.0,0.268,0.0,0.117,-8.12,0.0343,0.407
91397,5fyAyaATYirkgFxYx3E0LL,42.0,0.603,0.897,0.135,-12.607,0.0282,0.487
91398,2Jhx81CSHw8xWwBqRM2mZR,44.0,0.702,5.34e-06,0.108,-9.73,0.0403,0.246
91399,6osFf87BM0y0AFd5nSRjzr,33.0,0.299,0.0,0.0556,-21.751,0.0452,0.251
91400,3bSCmmrIRMYyl9BLH8zLMm,33.0,0.417,0.00133,0.232,-10.211,0.0476,0.515
91401,1xx51TVDxKGv9XAAFc7gzd,37.0,0.434,1.93e-05,0.14,-12.985,0.0321,0.432
91402,4fnMcxme0xLpT5jFhKz7vz,50.0,0.446,7.08e-06,0.133,-10.83,0.0367,0.132
91403,0IOD5hnqciUCvv7wBCuxpK,37.0,0.603,0.0,0.953,-7.257,0.912,0.468
91404,2GTQ3iVNLw90PLPVUdPE4t,46.0,0.183,0.939,0.151,-18.076,0.0318,0.0831
91405,207eqIrkUGqJq52p2mjvjw,45.0,0.529,0.0224,0.0935,-16.365,0.032,0.271
91406,3kC4q0x7s8gNt7XoMhHTD9,37.0,0.597,0.0,0.932,-8.668,0.894,0.855
91407,6rcDnUdlrXGWw2eTxVRobs,36.0,0.722,1.24e-05,0.18,-10.727,0.0267,0.636
91408,4brZr6Pwl0pMFfExfK3viL,39.0,0.668,0.0,0.487,-9.375,0.915,0.577
91409,3OzFq5rnNeXtu4VCOBPToz,15.0,0.292,0.848,0.116,-13.218,0.0419,0.143
91410,7kvRLCxTBWILHWiWRvgipl,45.0,0.651,0.00112,0.0807,-17.966,0.0536,0.436
91411,0Rhl31nc6W2Kpa758hLXN6,43.0,0.314,0.389,0.0869,-13.815,0.0305,0.11
91412,5iapKOIZCuR8hWP0Nu5oce,37.0,0.527,0.0,0.812,-8.335,0.949,0.729
91413,36uIXVbBZYTPaWgxUYupoK,18.0,0.558,1.4e-06,0.0965,-6.368,0.224,0.113
91414,0H5dnOYw1mgdk7yhqpoVJh,45.0,0.707,0.388,0.153,-12.738,0.14,0.516
91415,60FxYQ1slByKamo9qvCejg,38.0,0.49,0.000357,0.884,-12.54,0.0475,0.545
91416,7rG5lITWVpPqawLTu6lPzK,23.0,0.529,0.0,0.31,-11.717,0.03,0.255
91417,4FheqoJZqIR8qZnaTo7716,35.0,0.223,2.91e-06,0.498,-10.744,0.0317,0.103
91418,0JIx11Ysmmmy0VnV0KwP19,39.0,0.367,0.0255,0.195,-16.807,0.0324,0.124
91419,0QCvok3TPhk7JhQF0gYmBw,44.0,0.189,0.918,0.12,-18.483,0.0362,0.0976
91420,1e2ShXB96jVtJfd3KemRXn,48.0,0.486,0.0,0.093,-8.182,0.0301,0.336
91421,6p9BIGPqQ7uhTy2PT3mQg0,35.0,0.578,0.00953,0.0922,-16.039,0.0389,0.569
