,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
52224,5Qz82PV7j3ZrY5WX51NVzn,38.0,0.633,0.000814,0.164,-9.405,0.0331,0.837
52225,7mvN904TRvKl9CPQXFJ16t,38.0,0.406,0.397,0.469,-14.048,0.0388,0.364
52226,7h72gwGqjwnJC83qCja93c,38.0,0.363,2.62e-06,0.246,-8.968,0.0493,0.404
52227,3JdvEIcI6e6Ovi7bGJO1b1,38.0,0.851,0.825,0.212,-7.846,0.284,0.663
52228,7jcIpbvFvDWV3E8IRhQBE9,38.0,0.399,0.00276,0.297,-4.57,0.0363,0.503
52229,7igoJOuQB199t3sRaKVErt,38.0,0.639,0.00216,0.263,-8.099,0.0337,0.578
52230,6I4y37IiCPgP1SYtyk0eeH,38.0,0.628,0.0,0.0641,-4.924,0.0294,0.258
52231,3R4Yhp87d7GsGHgp92qlUH,38.0,0.712,0.0,0.243,-3.786,0.0434,0.637
52232,2z1BT5i3xLQwqYDYf3JyjS,38.0,0.685,0.0,0.13,-4.089,0.0804,0.962
52233,0s2K6BysAUBsTICAKQKOo5,38.0,0.165,0.773,0.377,-8.039,0.0363,0.0673
52234,4ytPgUsPNsKJtmM6Vjr4oS,38.0,0.595,0.00736,0.301,-5.513,0.0435,0.733
52235,3XpMtbAQ0q2U4vYpYPDSrg,38.0,0.546,0.000334,0.267,-7.36,0.109,0.898
52236,4uZe7vVrg5Q39GtrNMljZC,38.0,0.76,0.511,0.0551,-7.393,0.0371,0.75
52237,4Pw1GIxHDNhqYAY2DRl15L,38.0,0.765,0.0,0.0592,-7.627,0.0433,0.922
52238,6Rgbq6MwsEqSBFGBHWcrTI,38.0,0.507,0.831,0.115,-11.012,0.0346,0.489
52239,5za9NyS0nZ0nctCyuYh5GI,38.0,0.275,0.901,0.144,-12.276,0.0299,0.288
52240,0xFSgbjGSh5RsXnJYmbgHy,38.0,0.626,0.000191,0.144,-4.051,0.0361,0.361
52241,4vnIe8OxfwVDpFLuLeukmK,38.0,0.485,0.0,0.143,-7.686,0.0283,0.239
52242,0SzGRRMqDBNccIvnGZXXxx,38.0,0.538,0.0,0.381,-3.145,0.178,0.493
52243,6W92iAWlEVfiKTr9zZYseg,38.0,0.543,2.81e-06,0.331,-6.23,0.0547,0.897
52244,1WSW4VT8o81I4XIHINIXvC,38.0,0.538,0.0923,0.0803,-12.66,0.0461,0.529
52245,3aVe7N2RgYAUo7gTq3tYTD,38.0,0.528,5.53e-06,0.277,-7.514,0.0584,0.678
52246,3XS01xqHzkICimJBDwy0iA,38.0,0.529,0.624,0.332,-11.616,0.0567,0.584
52247,3Sdvdp3LW0j8bQZ04J3Uak,38.0,0.174,0.878,0.0729,-11.391,0.0553,0.0912
52248,0DUcgBcFChDIQXY8F8GVLE,38.0,0.574,0.866,0.0822,-11.024,0.0238,0.432
52249,3CoqvkxKMdZIsliJmasA63,38.0,0.427,0.089,0.975,-10.343,0.028,0.307
52250,057bpn70Wpxd8NH0n1BG2g,38.0,0.728,0.866,0.0981,-9.74,0.0302,0.362
52251,08kdqx0mNND7Bs85PiuqCI,38.0,0.677,1.98e-05,0.144,-14.149,0.0457,0.513
52252,2SldBUTJSK6xz43i8DZ5r2,38.0,0.79,8.24e-06,0.189,-2.9,0.0483,0.885
52253,4iKp3icJChjTFQBYbydH43,38.0,0.459,0.106,0.271,-16.475,0.0365,0.418
52254,4z88WWtBj5P5CSUBfbFEB5,38.0,0.646,0.913,0.135,-6.203,0.0282,0.891
52255,2OBFBGfZodp46GYL1ZmzKf,38.0,0.7,0.843,0.109,-7.687,0.201,0.622
52256,72UfjeC5R2SWpe9TTzwhKT,38.0,0.307,0.0725,0.962,-12.349,0.0408,0.234
52257,5oitSSaEn3b96wtBlu3BIf,38.0,0.307,0.844,0.241,-7.355,0.0298,0.247
52258,20VSzRqyzeBZNuOiQEifBj,38.0,0.489,0.0,0.0991,-11.578,0.0689,0.551
52259,6Y34Mwcu1WqGS086PIUz7A,38.0,0.564,0.352,0.0965,-18.484,0.0364,0.437
52260,1sXLitmQULzwiWR8D38Ekw,38.0,0.685,0.00923,0.069,-5.372,0.0558,0.926
52261,7niezp6Y3ArlH4yypQ6sul,38.0,0.659,0.56,0.0904,-14.916,0.0377,0.588
52262,614J8PKHtZ6JwFW0nF4rNP,38.0,0.538,0.00244,0.093,-10.157,0.0715,0.418
52263,0z99R9b0IwRkw9lmz9bUHo,38.0,0.653,0.0,0.184,-8.595,0.5,0.717
52264,2maDH3cNcC3tASCURXyia8,38.0,0.33,0.915,0.0987,-12.466,0.0686,0.0476
52265,5uH5tFRqGa4h4aX6VlNm92,38.0,0.0855,0.972,0.0825,-28.482,0.0394,0.0314
52266,5oMG1oGIuimi5dL6jQDS4g,38.0,0.522,0.0,0.137,-2.615,0.358,0.602
52267,5Jq7RJ9t57ocvKO5xOrSub,38.0,0.0695,0.964,0.0917,-30.642,0.0474,0.0384
52268,1ICBjx8MKVqZdXCnpUVfAB,38.0,0.152,0.738,0.118,-28.423,0.0408,0.0321
52269,51GfZO5KgkHKO9Q7NwddVh,38.0,0.436,0.0,0.0787,-8.769,0.0286,0.252
52270,0clyiEoEGDH8vGP7QRdS70,38.0,0.671,0.322,0.102,-7.05,0.0652,0.656
52271,0XLyV7JR2nqN8vz1kDQ9h5,38.0,0.166,0.918,0.108,-31.419,0.0496,0.0372
52272,3kuLGvQBoowpjb3SuyZNs1,38.0,0.56,0.707,0.0761,-19.433,0.0486,0.47
52273,0pcBzqJOUJWxpEHO7aVB0d,38.0,0.06,0.915,0.109,-20.184,0.0373,0.0352
52274,7HZ4BValzIE8zNjUrRIEHW,38.0,0.104,0.954,0.607,-24.24,0.0383,0.0365
52275,4Q2gWuuNgqfQgV50rklFON,38.0,0.404,0.0,0.0864,-11.561,0.0353,0.248
52276,6dtSCtK7UxrJeBPl9jh02U,38.0,0.163,0.874,0.0784,-24.497,0.0423,0.0601
52277,6a5ghiItpAwSL77YoZbGwe,38.0,0.0762,0.697,0.261,-16.309,0.0384,0.0347
52278,4SLU0Vm12zHv7yazIXT63b,38.0,0.166,1.04e-06,0.118,-7.087,0.0357,0.187
52279,1Qwz6Ad5Vc4hFRLqNa90xc,38.0,0.161,0.989,0.0874,-39.0,0.0409,0.035
52280,2jCsil5E1BrVgwuOfSGlJx,39.0,0.585,0.000127,0.104,-10.378,0.0362,0.175
52281,6xAKCAHwaAvw9rlwAv3lkD,39.0,0.558,0.0,0.12,-5.346,0.303,0.947
52282,7o3zL5mbYPLLexFAae8a5L,39.0,0.451,0.000185,0.103,-13.165,0.0495,0.464
52283,175Hp7R2vZCPJSB0PcYuqp,39.0,0.594,0.0,0.152,-10.23,0.697,0.681
52284,7aIbZtc9LX7vvM0p9AkPP3,39.0,0.617,0.862,0.109,-18.304,0.0302,0.328
52285,78bu2DHF5nvCWmvh5VCe9P,39.0,0.62,0.483,0.235,-7.618,0.03,0.789
52286,1HiGjWRRo90O4EhMdYqwgy,39.0,0.256,0.898,0.153,-21.251,0.0406,0.0489
