,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
139264,6bsqes8Zg9gUULzuCkMUs0,56.0,0.563,0.0,0.0972,-7.226,0.0765,0.284
139265,0ROE31C8Wu4neZoR9stM9e,56.0,0.859,0.0,0.0819,-6.116,0.428,0.153
139266,5sK3o66yupTNIK6gWgzGjf,56.0,0.784,0.0,0.192,-7.261,0.0871,0.465
139267,11OwAR3GlBj9E35Cznf7Lj,56.0,0.695,0.000137,0.156,-8.882,0.167,0.38
139268,11Ey4yJVeWEsA73KjACkVY,56.0,0.873,3.13e-06,0.0738,-5.35,0.0661,0.871
139269,2C0hTkdEoikhKzDCJl32QZ,56.0,0.724,2.51e-06,0.103,-8.408,0.0518,0.328
139270,4IIuCotvqijraSdnVLaFnM,56.0,0.331,0.953,0.882,-15.392,0.632,0.42
139271,63mdJr3NMY3wReOkNE6c6W,56.0,0.695,5.43e-05,0.111,-8.082,0.0521,0.62
139272,4QVdnpSO5JGMFOEl6ys4RQ,56.0,0.295,0.000396,0.858,-9.478,0.0327,0.224
139273,3XLSlQLJf3Ut0zvMUxnF1h,57.0,0.683,0.00124,0.124,-6.798,0.0574,0.406
139274,39RWYLt6hgk9BbhkDgaHW9,57.0,0.92,0.0,0.107,-5.643,0.315,0.403
139275,6XkEw1h2Hq4fGnSm0JuSIs,57.0,0.677,0.0,0.213,-7.01,0.341,0.46
139276,2lLsjgDoS0Hg5pNNHymXGG,57.0,0.607,1.33e-05,0.132,-4.805,0.136,0.518
139277,1BSAmxkrz2H8v5kpTfAT6v,57.0,0.687,0.0,0.533,-5.769,0.0554,0.407
139278,3a1Zmq0P1E6W80x8EOcVNP,57.0,0.729,0.0,0.111,-7.047,0.0554,0.687
139279,5uIYONgpUQ7t0v7D6CTMBt,57.0,0.387,0.00527,0.102,-8.454,0.0318,0.0632
139280,4kfEy7h6bWBS5OaDpccTap,57.0,0.846,0.0,0.125,-5.481,0.128,0.581
139281,0vkzRCT7wzqWCFJw5TN1MQ,57.0,0.871,0.0,0.0853,-8.042,0.0788,0.787
139282,0SA903LGHxe4ExdRY2SqVH,57.0,0.262,0.0,0.325,-4.548,0.123,0.487
139283,1SxagO9GK0UUeEYLmH8Pln,57.0,0.728,1.95e-06,0.107,-11.404,0.0629,0.379
139284,6CyJlVAEFlNdpggOLanytL,57.0,0.434,0.0,0.119,-4.774,0.0453,0.596
139285,5ecQ5IpXRvNgnsAuw40dOq,57.0,0.477,0.0,0.112,-3.331,0.12,0.603
