,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
13056,66Iu6L05W0gUzEngtnEHbe,12.0,0.178,0.286,0.664,-25.676,0.0502,0.0569
13057,5CvqWo6DBsCdhhIBuUk8Cc,12.0,0.281,0.000686,0.0997,-10.438,0.03,0.175
13058,3Lb1VNbenMsgxuTPQQEtkc,12.0,0.475,0.581,0.198,-17.479,0.0459,0.269
13059,2kz7oIXHPZTAjZA5yprae4,12.0,0.497,0.00957,0.0858,-16.048,0.0709,0.136
13060,3D8NN9wpo7ZCsrCCABR872,12.0,0.0601,0.923,0.094,-20.564,0.0414,0.0346
13061,0kLHwk7DnLA4wfbzEayrM4,12.0,0.689,3.02e-05,0.25,-12.44,0.0432,0.951
13062,1gB9kgPl17Xv9DemYQd0Yk,12.0,0.319,0.00237,0.223,-21.869,0.0386,0.225
13063,3duKrcPoTKyG9YWJWfPUIX,12.0,0.609,0.0,0.26,-12.98,0.103,0.875
13064,5ky18JCg9BnSLMpdyA9rjF,12.0,0.268,0.0,0.654,-12.931,0.0342,0.204
13065,6PWj8Htda2KvX6arBiiZxz,12.0,0.359,0.163,0.63,-17.392,0.0412,0.197
13066,3vwnv1u8RqU39HltUVlwFh,12.0,0.545,0.0,0.0887,-12.793,0.0341,0.265
13067,7sWSnSWVYULqEbxoZfYTvY,12.0,0.281,0.000125,0.138,-16.407,0.0426,0.27
13068,1CftY8zljRkucLWqfj8Q6k,12.0,0.581,2.22e-05,0.0947,-7.88,0.0592,0.261
13069,5N7S5GkOoKMsStZAMIiGbu,12.0,0.474,0.000251,0.108,-14.662,0.0311,0.312
13070,4UKbQTl7IXU0wMTW1p6xQF,12.0,0.467,1.54e-05,0.136,-14.63,0.0336,0.32
13071,5FGZlik0syzRicsS7gNE5v,12.0,0.271,0.0429,0.0927,-16.007,0.039,0.0509
13072,5pjaFPX51mVVDEwSxuASwt,12.0,0.157,0.0042,0.12,-10.889,0.0424,0.0397
