,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
34816,1DoHs2vkoWqR83IeNVhqcg,26.0,0.563,0.0,0.104,-14.219,0.0652,0.628
34817,1n9741DApqn5gvuxhgerCt,26.0,0.17,0.177,0.384,-15.549,0.0332,0.144
34818,7jGo4or9BVty0gidKT3jGC,26.0,0.269,0.954,0.0967,-26.088,0.0335,0.0298
34819,2ef7VNeRivXDtQJQIw5EWm,26.0,0.532,0.0683,0.594,-21.372,0.0786,0.729
34820,6bpQvXItyBVFclgtoFSjMs,26.0,0.57,2.33e-06,0.779,-8.393,0.929,0.415
34821,5sCP1PwrxBl6h3jxMkuTsd,26.0,0.252,0.00109,0.102,-17.833,0.0319,0.133
34822,1XzBdOBFTx1gFw3v0KKVpK,26.0,0.271,0.944,0.0973,-20.414,0.0402,0.0373
34823,2IgSX3MHv2nhinUGnfJKzt,26.0,0.168,0.9,0.11,-22.605,0.0428,0.0395
34824,5OyUw0mfkdcyuaZsGtt0kw,26.0,0.463,0.0,0.117,-21.898,0.238,0.142
34825,0XaO2P1QcrCsB3uBdsNnv6,26.0,0.512,0.0,0.0857,-15.575,0.0348,0.808
34826,7rLFi55HFEwO72Mg0SYXZz,26.0,0.214,5.67e-05,0.227,-14.64,0.0467,0.213
34827,43IxylvMrbEPhOXjOVD0er,26.0,0.38,0.755,0.0901,-20.707,0.0502,0.472
34828,6Kg8tNizI7tUG6OwSiAKon,26.0,0.4,0.00141,0.63,-14.205,0.0624,0.528
34829,03QykYdh6YTK8QVqifYk4S,26.0,0.467,0.93,0.101,-17.923,0.0434,0.359
34830,2pj7upod2G3og9YhQFIGWs,26.0,0.312,0.877,0.0735,-17.218,0.0425,0.389
34831,5jEBffSE4zn3adIyq10vGx,26.0,0.377,0.0187,0.123,-15.836,0.102,0.349
34832,46oQBYq0GOL5qSs5zYkNjn,26.0,0.227,0.155,0.0886,-30.336,0.0458,0.039
34833,516PqxrAUmJLibX940kUn5,26.0,0.0728,0.0221,0.0664,-29.332,0.0464,0.0339
34834,1Tn7qquF644DuwEBMx6jyh,26.0,0.5,0.00635,0.376,-20.452,0.0722,0.337
34835,2uuJ3VKeI5FVV8nPkUD8r8,26.0,0.169,0.961,0.103,-35.539,0.0402,0.0356
34836,4U8Vd5xvucRo5ghFHwVEpe,26.0,0.308,0.0132,0.0437,-17.174,0.0699,0.0668
34837,0EwE0LL4lrrpVmhDDH9dNA,26.0,0.21,0.88,0.116,-28.85,0.0497,0.0442
34838,0b7ybG8eKFV1205JIQWzHf,26.0,0.256,0.000171,0.134,-14.976,0.0391,0.0991
34839,1kGyzP2S1mXBGBCvZZdQub,26.0,0.0692,0.0162,0.0764,-30.046,0.0575,0.0348
34840,4E9UishzbBdrCmoZsRwWqv,26.0,0.345,0.591,0.119,-18.884,0.0511,0.0838
34841,0KHZVwPtYZ6D9c1H5UmLtR,26.0,0.233,0.0967,0.0917,-15.923,0.0429,0.0752
34842,0dMwOl7026DZ2NxRGJI2xP,26.0,0.301,0.91,0.0921,-21.42,0.0447,0.089
