,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
87040,5YuEURgZBOYen79ebjJ3aq,45.0,0.143,0.859,0.152,-17.614,0.0351,0.153
87041,0yb4xJ34yomdAkSXkdEpeg,35.0,0.386,1.85e-06,0.128,-8.979,0.0686,0.0985
87042,7lgDnlsEShYuhvnkZVNszq,35.0,0.528,0.0,0.714,-5.556,0.0795,0.528
87043,7iE9oBkH73M1K74gyjjx7c,37.0,0.734,0.775,0.118,-10.079,0.0594,0.336
87044,4CSbh293nFUOez5Z9nzD3N,48.0,0.755,0.0,0.12,-4.978,0.0864,0.684
87045,2oEy4YPNn1h6ZQRpcIFk6Q,41.0,0.553,0.0,0.136,-7.991,0.0279,0.333
87046,1am1MtgDcihuuP3crGeugt,42.0,0.592,0.00704,0.0759,-7.839,0.0293,0.115
87047,7jilSPtwxle48tSOOhzAa5,42.0,0.73,0.000107,0.0936,-10.672,0.532,0.789
87048,5gew07PVAeMUISpX213NcD,42.0,0.422,0.0,0.555,-3.72,0.159,0.469
87049,2x70Hd0rEY179ngworSDdO,39.0,0.599,0.00644,0.0629,-7.933,0.0466,0.823
87050,6EC5hHjYlwVmj8cpjSjJWA,49.0,0.657,0.0,0.0883,-5.152,0.295,0.256
87051,3juuzbZaFWqOLrteOPOX9l,18.0,0.581,0.000862,0.0638,-7.012,0.0251,0.411
87052,2E1IPG1MMwU8N70whuXXOs,41.0,0.67,2.49e-06,0.27,-15.105,0.034,0.505
87053,4yK3xXuNrkSq0OVjKUaCkY,43.0,0.76,0.299,0.0475,-5.709,0.0451,0.945
87054,4Wlc4HWWvOmsJrF8a4rRqK,2.0,0.467,3.2e-06,0.084,-8.38,0.0357,0.461
87055,5laP2pd9pT6O6rfW8oq2zB,46.0,0.537,0.0,0.105,-11.192,0.123,0.489
87056,04Bd47lKpZ9VhDcYaghu2e,2.0,0.62,0.907,0.18,-11.865,0.11,0.0367
87057,4bbAv8sjSZyRYtcsjXmP87,34.0,0.778,7.83e-06,0.0893,-9.384,0.107,0.905
87058,5knp3g3RflHT8ArnuknsmU,35.0,0.575,0.0,0.118,-7.627,0.0957,0.335
87059,1jvPpIQmSpklnT0QIipzm8,51.0,0.719,7.35e-05,0.0878,-11.157,0.219,0.542
87060,53ZPOzYd1gL4rX7Vl0eKlY,39.0,0.444,3.14e-06,0.112,-4.605,0.0405,0.439
87061,0vaLIgHcJM3Fs3jxN9MxPm,53.0,0.533,0.0,0.0855,-6.768,0.0347,0.265
87062,6Uob2aJYqcqPv5Z2BigRg6,45.0,0.622,0.895,0.152,-10.213,0.0315,0.847
87063,3XbgGsoNRkpXJiHZOCZkTA,32.0,0.265,0.0,0.457,-9.913,0.0311,0.185
87064,42SDMQsfHin20j30XUhB4A,43.0,0.511,0.000742,0.385,-6.967,0.0607,0.619
87065,61D7vLaZ8mLDEUc2wgUyDE,42.0,0.588,0.0,0.0811,-7.833,0.0272,0.492
87066,5vywtoD7fO1CP0B2wtm6I6,44.0,0.782,0.2,0.194,-12.605,0.0472,0.63
87067,3AIW4G0ieuRcW4WsKak5WV,45.0,0.746,0.000862,0.122,-6.135,0.0401,0.376
87068,0h06YSqzwbAU9ZDuIvw8pk,54.0,0.595,3.15e-05,0.197,-11.582,0.0499,0.826
87069,1XMH0iJVL75w59aeEMrWbf,25.0,0.597,0.0,0.129,-6.514,0.0391,0.182
87070,6WNT9qmTeBBXl9VpN9UCgE,42.0,0.76,1.27e-05,0.0944,-10.126,0.128,0.769
87071,6omiGrMcVR8aTLwkbtisTf,39.0,0.778,1.5e-06,0.126,-6.628,0.105,0.56
87072,1q3C05jegoKRuU1biZtVxv,43.0,0.826,1.86e-06,0.133,-11.503,0.0425,0.449
87073,0GylfGktq0BpgZvo8eRnO9,35.0,0.508,0.0,0.191,-12.636,0.0308,0.499
87074,2H3qnQaszcjAFvGgeylaZQ,38.0,0.527,0.0,0.183,-3.501,0.0833,0.861
87075,5AdNZqyB8T3XCfAglRyjMg,42.0,0.765,0.0,0.338,-4.233,0.0982,0.897
87076,0N0ZPAQXozVq5FXIj2Cugl,35.0,0.772,0.0,0.162,-9.168,0.0633,0.846
87077,7nviB40euH8GciNuOn7uci,30.0,0.429,0.0149,0.393,-17.903,0.0332,0.477
87078,6cZokePKls3BkZa0Vv9S83,32.0,0.706,0.832,0.244,-11.116,0.0366,0.331
87079,30sJmjuLalNSzlRIml1PlJ,44.0,0.396,0.175,0.103,-10.812,0.0298,0.216
87080,0ZlNwlXfDUh8gxdUOXuc2F,43.0,0.441,0.0,0.529,-8.555,0.0682,0.877
87081,1dtAI0OlFbNoGWxHD5HPJB,30.0,0.578,0.0,0.0628,-3.626,0.118,0.722
87082,12wB4syL3O9w54bpe1tmZX,36.0,0.782,0.0181,0.0993,-9.511,0.0452,0.794
87083,30C91h0O9OLREDN2i8zAs9,24.0,0.546,0.0,0.318,-7.485,0.0608,0.511
87084,7afupm9Ou8fMHkzCDMtmD3,35.0,0.66,0.0,0.138,-4.801,0.177,0.698
87085,6gOm4w7mbeIsouBWpRc9Qj,45.0,0.383,0.00357,0.945,-9.782,0.223,0.385
87086,5D6Cw1dGkZcTB8hQgyZdvR,36.0,0.524,0.0,0.334,-4.946,0.063,0.87
87087,659kOOOWsAuCpA2nAoLoWE,44.0,0.796,3.58e-06,0.0396,-3.241,0.186,0.868
87088,57iYpv6RC4FVaZKdvAWnqa,44.0,0.807,0.0863,0.0823,-5.454,0.0711,0.637
87089,7rtOWu3ZEDb7cmV0O2JbgQ,27.0,0.708,0.0,0.252,-6.241,0.295,0.868
87090,0IEHa6zoxOfQx7jDpcYQ1l,41.0,0.499,7.02e-06,0.16,-5.927,0.0292,0.594
87091,0hpOoqJXIzuMnVz2vhSwNt,39.0,0.57,0.0,0.103,-7.657,0.0299,0.459
87092,0aWfhiilJXkCxnoxdhv7qF,33.0,0.712,0.0,0.375,-4.488,0.0943,0.783
87093,6lbtBe0I1wUNUrnmWNoaoS,14.0,0.862,0.000482,0.0755,-6.203,0.117,0.916
87094,6zZaVyieWoiQSfUv2yWBd0,49.0,0.646,0.000902,0.168,-11.247,0.026,0.75
87095,5Eq47jirNdRQFGilmUJMVe,41.0,0.648,0.0,0.127,-2.857,0.0402,0.968
87096,6cKIvRDeXfQ2s8OEvC9Lps,34.0,0.289,0.0179,0.325,-11.847,0.03,0.156
87097,3DDPMgYJcCwwkq3kZmIN5b,43.0,0.75,0.0,0.313,-7.434,0.122,0.848
87098,34t5rdwXzn5luFscNpab8Z,36.0,0.777,0.0,0.0576,-5.684,0.0569,0.525
87099,55A7YBPBfjq8Hz17oWXUSr,40.0,0.573,2.39e-06,0.0716,-6.849,0.0376,0.736
87100,2NlYduohuhwWW7Wf6GfDgz,45.0,0.612,0.0,0.108,-7.049,0.108,0.505
87101,4r1HejiaP4Upb4S5ebbEKB,42.0,0.634,0.0,0.155,-9.704,0.0278,0.347
87102,07Z30uspBYc3i5oTB4Z0Gg,4.0,0.637,0.0,0.0971,-5.783,0.0354,0.378
87103,30IycL0QPhyv17sCYIGvbv,38.0,0.831,4.33e-06,0.101,-7.08,0.0605,0.747
87104,2FFAzUR4gFg2cK4IGfPADb,43.0,0.437,0.00188,0.138,-10.408,0.0261,0.132
87105,2UU0W4R9Rmoj0Xsvb0rOQ1,14.0,0.547,0.766,0.126,-10.077,0.0437,0.741
87106,3EKONPY5juSe9sgE3sqFVE,36.0,0.795,0.00144,0.113,-11.846,0.0509,0.868
87107,5bmxjg6jYb9eBWrIELADit,12.0,0.422,1.23e-05,0.105,-8.741,0.141,0.394
87108,7JS5VrGk2eTL8JORPNlFMS,24.0,0.658,0.0,0.098,-5.567,0.0534,0.677
87109,5p1QvUtD2apRxaQxf811zV,42.0,0.775,4.21e-06,0.17,-6.309,0.0515,0.769
87110,6n3Wk44F3ZZwts8OAyB2zK,37.0,0.582,0.0,0.0541,-10.711,0.0328,0.505
87111,0lRfsHIi7ebounfTo6SwmQ,36.0,0.719,1.33e-05,0.0927,-3.947,0.0355,0.794
87112,0ObAdS3tZTk8rcutC67rlR,43.0,0.56,0.001,0.0883,-4.545,0.033,0.93
87113,5HzaibYfoRNQubqx7mB4J6,41.0,0.638,0.0,0.0624,-6.455,0.302,0.457
87114,01YX52Mvt460Ll55UYdTcj,22.0,0.766,0.0,0.112,-4.013,0.108,0.691
87115,0tjRCx5b9A0ZEU35HQ8UWS,43.0,0.777,0.0,0.111,-8.039,0.443,0.658
87116,5UBXF0R8923PPNMupjmJUz,39.0,0.295,0.974,0.11,-13.372,0.0486,0.129
87117,6MlolQuVuIHj25LDSjQzg5,39.0,0.49,0.0,0.784,-4.634,0.073,0.43
87118,0DXzKuTYVys7VE4vbGhCPS,39.0,0.746,0.0,0.127,-6.488,0.0456,0.848
87119,3eM70BLTVSo6SLOS3vazXp,44.0,0.811,0.354,0.0747,-7.85,0.03,0.851
87120,4236yFIkzAwrNhwb9hZzqY,33.0,0.591,0.0,0.113,-7.648,0.0406,0.653
87121,0SQmgir2AkvVKa3snPcn2z,46.0,0.456,0.0,0.17,-4.593,0.0433,0.77
87122,05sp2EySV6DXsKLeBnjaK0,40.0,0.627,0.0,0.142,-6.746,0.0366,0.299
87123,4qweq7Zp2QnST0lC9WchKA,40.0,0.659,1.49e-06,0.108,-7.689,0.0354,0.419
87124,4nMEugPfSs6Re1nnQg5D89,29.0,0.676,0.0,0.204,-6.959,0.188,0.884
87125,0enlu8AeY3hR2taBJRW7GC,40.0,0.631,0.0,0.115,-4.959,0.0484,0.524
87126,6grtIVjVPuZWup0fIXF900,49.0,0.704,0.0,0.266,-9.026,0.0442,0.615
87127,2PatEYrrVBNx5LPjTL2ruP,40.0,0.333,0.0268,0.982,-8.339,0.176,0.525
87128,0ukrbMIdueAqU6EKttnzwS,41.0,0.534,0.0277,0.161,-5.572,0.0548,0.879
87129,4xa1ksCn11ZzqNuOJYqjUl,44.0,0.617,0.0,0.322,-5.069,0.153,0.606
87130,3XRCPPMDm06VKsR4abdRb4,39.0,0.128,0.919,0.0935,-22.215,0.0526,0.0364
87131,7pzWp50ZQXM44dfDbyMY9l,42.0,0.306,0.00605,0.0835,-7.519,0.051,0.15
87132,28D6PIpUgRxhix4Hbhy1ly,39.0,0.333,0.000244,0.132,-7.878,0.0299,0.35
87133,7kDPwGDjxDBONlPpkc1p77,47.0,0.628,1.35e-05,0.0555,-10.728,0.134,0.507
87134,5yGYWR0ZTgaQbjQVq1FFbW,46.0,0.662,1.22e-06,0.314,-7.135,0.0356,0.914
87135,1Sqe82k1NRzxZsLOOBAHTH,48.0,0.669,0.0,0.0941,-8.14,0.0341,0.961
