,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
69632,2XU7Kk19SYjjkHlMRgyQ2v,28.0,0.495,0.0,0.599,-9.061,0.335,0.674
69633,6R4mJG0KZVNsgXJGtycZkx,28.0,0.711,0.839,0.0969,-13.369,0.121,0.741
69634,2jMXzoFjj3bdxL0phZHEM7,28.0,0.739,3.43e-06,0.0736,-4.764,0.278,0.804
69635,3FaKyLEmNpNS4SU1jvg5Jz,28.0,0.535,0.0,0.662,-12.663,0.0413,0.922
69636,6uZWO3zbAwykRMHgJU3b1a,28.0,0.727,0.273,0.274,-10.407,0.226,0.495
69637,5dV0BmSJTb41SA3RDe1Umg,28.0,0.857,1.62e-05,0.0575,-3.465,0.163,0.878
69638,3Ie0YxjitVBILvpZHOuaBp,28.0,0.703,0.0,0.322,-7.339,0.0365,0.702
69639,2sLZTwiOzQELXUiDfyjUKW,28.0,0.245,0.809,0.328,-23.544,0.0369,0.0395
69640,1EbCIqzGgMncuxmVYQtXab,28.0,0.167,0.741,0.0694,-23.383,0.0336,0.0718
69641,1i34efr3QGx3Z6Iq016jGY,28.0,0.634,0.0413,0.0922,-14.002,0.0628,0.154
69642,5yvZPYNLwY1NxZynJ46MrT,28.0,0.636,0.0861,0.174,-7.435,0.0341,0.636
69643,69NacwuXfdNklyhd94ZqE9,28.0,0.665,0.0,0.0566,-5.003,0.0913,0.823
69644,392R0LNlJUKIrgdhxJpNoA,28.0,0.819,0.0,0.112,-11.831,0.283,0.0768
69645,2jjMjcfpusQCnz2Y6deFq8,28.0,0.801,0.0,0.22,-6.407,0.0925,0.965
69646,29pV4KdhjtBuBu9KapmseW,28.0,0.423,0.0,0.111,-6.594,0.0401,0.336
69647,4AeZKrbiPqJuVrJvrngTkR,28.0,0.574,0.0,0.0589,-12.036,0.0472,0.546
69648,4hGQimHlIhfEnYgZZUsyxp,28.0,0.562,9.26e-06,0.0875,-17.411,0.0291,0.399
69649,58RcNEoR4CHHFju2jfema6,28.0,0.621,0.0108,0.0854,-10.748,0.0289,0.658
69650,4iQz1P9aPfJoY4Vbc6roLY,28.0,0.19,0.79,0.0982,-14.586,0.047,0.125
69651,6zlinFLLl0xEb5l37NYxe4,28.0,0.306,0.871,0.203,-11.752,0.0328,0.0393
69652,6nNJezS1bykgQ9C0HKLbGS,28.0,0.76,7.05e-05,0.12,-10.71,0.0525,0.314
