,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
126208,2okeXwO6SLiVqR1PiEz4Cx,35.0,0.835,0.0242,0.253,-4.413,0.173,0.648
126209,1U16aNzvnlfARgjWXjKmQj,63.0,0.825,0.0,0.354,-4.155,0.223,0.548
126210,7lMIJ4EFWRVoAIPDpeGyM3,58.0,0.829,0.000131,0.466,-11.498,0.0597,0.729
126211,1mQI744KrltnCU798zIGEe,52.0,0.57,0.0,0.33,-6.792,0.0631,0.438
126212,5OxGWmF7NIZ1q2JM3bxeOr,52.0,0.794,3.05e-05,0.0929,-8.661,0.115,0.215
126213,7zRObPOHA0tWMYTAxLudmA,49.0,0.478,0.0,0.291,-3.929,0.198,0.529
126214,6KEdjhTORrn8HOVeuABlUg,56.0,0.661,0.0,0.346,-4.466,0.0822,0.635
126215,7kWeSMXLxUHHOkFxsS0vhP,61.0,0.787,1.79e-05,0.323,-6.331,0.0265,0.964
126216,2BqABA2hfI6cNOqogEDnwO,51.0,0.606,2.46e-05,0.457,-3.755,0.0589,0.294
126217,0lodZwEeEqJVzLn95Kslwm,1.0,0.488,0.0,0.115,-5.044,0.074,0.798
126218,25rV6ArwFMht49oONoqSLQ,60.0,0.496,2.4e-06,0.109,-5.305,0.0257,0.381
126219,6WKoOXecrcYW8RmerNCxFB,50.0,0.505,0.0,0.0668,-7.952,0.0565,0.456
126220,6DPrrqd6ujfaCyEu3IPxfM,45.0,0.69,0.00648,0.108,-7.707,0.0254,0.146
126221,0ZmkjefPVLvloVSgtmRu5M,52.0,0.623,3.25e-05,0.398,-2.675,0.0427,0.535
126222,53LxOQIcSZe71SF9IS0Z7b,59.0,0.782,2.64e-05,0.249,-5.992,0.0347,0.64
126223,0voUr8lubIafUVJlauJxYF,56.0,0.551,0.0,0.112,-8.208,0.0332,0.516
126224,5lYpHO6ZO4Shys3GD8rav6,56.0,0.64,0.0,0.304,-8.336,0.124,0.861
126225,4thpkbbdkv9VDVdMCgMwUk,57.0,0.853,0.0,0.104,-6.125,0.257,0.712
126226,6DqzLbXkxRUbvFyzWApTXM,51.0,0.44,4.73e-05,0.349,-5.973,0.0287,0.792
126227,3H7wULYr0I5lTucP1hS3Wt,53.0,0.654,0.0,0.108,-6.875,0.242,0.488
126228,3DaXXVRXK7sWRNEugMe7s6,50.0,0.69,2.18e-06,0.0709,-3.44,0.173,0.348
126229,3XEtw7t4V5sfd2vtkp0ql7,1.0,0.734,0.000585,0.0298,-6.619,0.032,0.962
126230,1oV1tu8utgHQjLJsEK9sVl,58.0,0.66,0.0102,0.0585,-8.101,0.0258,0.829
126231,7ofgPlilLgcw6G7fd2zNpT,58.0,0.679,0.012,0.122,-7.981,0.0318,0.186
126232,21z6OpNQIS9qD7xyty7OeR,50.0,0.734,0.0,0.0916,-5.751,0.195,0.673
126233,34nxgXFCPzDphUJGuRsn10,60.0,0.696,0.0,0.103,-15.574,0.0927,0.354
126234,3ulkbaPwP2OFCaU5MR6s9l,53.0,0.862,0.0,0.0608,-10.619,0.241,0.954
126235,3pVUqDd3Utc7CMDo06psdG,41.0,0.479,0.0,0.22,-5.552,0.0473,0.315
126236,144y07SeEatHOBswM3BZHk,52.0,0.52,0.000707,0.3,-6.606,0.0377,0.593
126237,0SW6NfA6MTCC6OWNt6SAkV,61.0,0.614,4.12e-05,0.0917,-14.628,0.0441,0.504
126238,2p2DLGuXtnLLClzpmKkyCx,56.0,0.626,0.0,0.229,-6.368,0.25,0.478
126239,34KUIBsIUiPV7oCIzSdDAU,59.0,0.658,0.0,0.201,-3.742,0.258,0.471
126240,24ovEYWV3PjlLOSsmNEWQv,44.0,0.688,0.0,0.632,-5.419,0.0279,0.659
126241,3UUvCXFE3tMBAiCLmakVOX,48.0,0.713,8.73e-05,0.0555,-7.059,0.302,0.909
126242,23DZLSxCK6kM8FF2RlzKDl,61.0,0.669,0.00535,0.126,-10.136,0.0345,0.634
126243,6I0XPgr0SFHQcKy9v7Gf0K,49.0,0.511,0.0,0.239,-5.078,0.295,0.513
126244,6p3MquVmVPXgH5WrRYoTL8,42.0,0.724,0.0,0.29,-7.224,0.056,0.652
126245,5a2iwUuTNa8B37Gdosiyic,12.0,0.856,0.0,0.0799,-9.636,0.278,0.689
126246,1nRTH500HbZX8PYwT4ZMby,58.0,0.862,0.00757,0.113,-5.875,0.0393,0.323
126247,6BmfYAMhPcgnJQhvzJf5AQ,50.0,0.267,3.03e-05,0.96,-7.172,0.035,0.206
126248,622KAhEhrYExbpi3Dw5xsR,52.0,0.522,0.0,0.125,-13.096,0.868,0.683
126249,0jzOBl9Qm6po1hXrgqIVCF,54.0,0.405,0.00674,0.0642,-6.83,0.0387,0.0797
