,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
21760,0LazQXMAtsg4c6Uk9S9DRk,18.0,0.55,0.000555,0.0888,-4.805,0.0335,0.177
21761,5Vn18HH6IiZErg7ERt4BbB,18.0,0.369,0.0,0.249,-4.257,0.158,0.346
21762,0wJI6tUkPWztzaiyQNo4cO,18.0,0.484,0.000102,0.0629,-6.886,0.0754,0.512
21763,52JuaLM0j7XzkcBgVq3SsQ,18.0,0.423,0.024,0.132,-8.233,0.0311,0.196
21764,4Adn45zTWpuqEW0QNa68rT,18.0,0.248,0.00266,0.355,-5.424,0.199,0.0739
21765,78aoPswjV4ezOwsfThZvrF,18.0,0.31,1.76e-06,0.329,-3.585,0.203,0.575
21766,6cOfiUbUHzcvvxUPSH10xB,18.0,0.343,0.0,0.285,-3.948,0.0629,0.665
21767,7tNJBp8WufZCOMALdT60D1,18.0,0.274,1.25e-06,0.253,-4.486,0.0832,0.314
21768,386V4p2BlhdQIzFkR5qzlP,18.0,0.681,0.0242,0.269,-2.132,0.143,0.38
21769,7qaAVTCfMyPa8AgESiTMtk,18.0,0.622,0.0,0.0865,-5.184,0.029,0.659
21770,4Ns6PSuiim9GeI1PSEW9Lu,18.0,0.637,0.0,0.335,-4.911,0.119,0.854
21771,4mPgcSaauQh0MEDnDZypuz,18.0,0.234,0.00308,0.214,-5.04,0.124,0.444
21772,0Qel71ESRR3UKoZt0Qk0ul,18.0,0.705,0.0293,0.683,-5.3,0.114,0.589
21773,2HAwgwYRygFtIuspQNTIdF,18.0,0.55,0.000254,0.599,-13.374,0.128,0.822
21774,4QBrXtbIyMPj2LoUYBfYJf,18.0,0.649,0.683,0.283,-8.899,0.0702,0.528
21775,1b0tIYjLaTQP1JUAszUkPq,18.0,0.379,0.0027,0.0949,-4.668,0.0911,0.63
21776,2MO8MpkagZaZVjoc7COMGx,18.0,0.422,0.0393,0.695,-4.975,0.0459,0.29
21777,3qXHVKp3LcSK52cy6ohXn2,18.0,0.584,3.18e-05,0.178,-4.983,0.0685,0.849
21778,49sCHr4c4dGV7fYjnri7td,18.0,0.522,0.0,0.465,-4.629,0.0497,0.483
21779,3d1bHYZfKlicjyoxx00tVG,18.0,0.56,0.0025,0.0562,-8.285,0.0454,0.91
21780,5tWEG1yT5rRI0VWx7RbIwn,18.0,0.247,0.0,0.55,-4.106,0.127,0.533
21781,7mZPWDhx8WcAcfkVzKNYk6,18.0,0.768,1.49e-06,0.0849,-8.935,0.307,0.72
21782,6xZ7sxXnrL1al5LUbZsGKq,18.0,0.688,0.0,0.306,-7.455,0.061,0.565
21783,5kaXDdJcpVEqQxy6KWqj9U,18.0,0.613,1.14e-06,0.0969,-4.766,0.0365,0.685
21784,12FjqNa0v9JORMdQQrRCh5,18.0,0.59,1.84e-06,0.165,-4.484,0.188,0.93
21785,0V7f4aeM17j8Dr80g6DdyR,18.0,0.511,1.13e-05,0.421,-5.455,0.0982,0.719
