,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
47872,5gm95Qm0tUbBhckpCjR6Nc,34.0,0.385,0.878,0.167,-9.471,0.0481,0.699
47873,4AnxOWrZFoqclUJOBPYA02,34.0,0.3,0.0,0.0818,-4.034,0.0417,0.199
47874,1NcAqFJLiUXAxi2ForEuiI,34.0,0.552,0.62,0.101,-13.99,0.0327,0.969
47875,2r1ocpwHrSwYlSn6mHuQZ4,34.0,0.463,0.523,0.585,-2.178,0.0902,0.587
47876,60dB36D0cDJZrUXaXVv3Mf,34.0,0.921,3.92e-05,0.104,-10.704,0.0562,0.554
47877,5Z7rUZV4plTrHbMipPFjlC,34.0,0.658,0.00201,0.139,-6.281,0.0282,0.929
47878,5u601djEJ1kWjMdjSeGQGc,34.0,0.698,0.0,0.411,-6.735,0.117,0.966
47879,6BKCDOB88Ub40oloFuKw47,34.0,0.702,0.000111,0.0981,-4.377,0.293,0.726
47880,4o9ZocOOoe5n7gXiCaLuWs,34.0,0.442,0.0,0.187,-7.875,0.0259,0.139
47881,0cqZD5rEjMOnsYdxt6y9Pl,34.0,0.325,0.014,0.282,-8.315,0.0369,0.389
47882,2Fm1MgL6VpTrZYJCvGwEgh,34.0,0.247,0.00666,0.985,-9.84,0.0838,0.566
47883,2W195plKmSrcoXops3ZjxN,34.0,0.447,0.275,0.165,-8.46,0.0421,0.413
47884,6zmpnM7y0boAL61orTZ8gt,34.0,0.752,1.92e-05,0.0399,-12.646,0.0471,0.861
47885,7fnbUWxW7DaqglBN7Etlsy,34.0,0.734,0.00117,0.0989,-7.871,0.0304,0.968
47886,3rp1VctuEtF7qMrcTh8Z1Z,34.0,0.505,0.0392,0.923,-6.527,0.0574,0.312
47887,1p5DDYJN5ezUAu2k9LR5pE,34.0,0.514,0.000715,0.319,-7.045,0.0473,0.878
47888,4qA6OxAKSWRXz6wTqPPWMH,34.0,0.708,0.0,0.339,-4.713,0.0289,0.874
47889,7ChneMmokAVhsnOsCk4Q3a,34.0,0.294,0.0001,0.15,-11.67,0.0737,0.712
47890,6IB6NjSuX9ZCGSAhW0ASgb,34.0,0.709,2.58e-06,0.281,-3.458,0.0623,0.718
47891,0LMnXlXAH2WRiWdvlJtHxB,34.0,0.625,0.0,0.344,-5.002,0.059,0.55
47892,01gSIlj7mZnuRr7GWajrgT,34.0,0.819,0.0,0.0761,-15.495,0.113,0.752
47893,4StqfBRHvwBRlWdlJsgahv,34.0,0.84,1.34e-05,0.17,-6.82,0.0497,0.929
47894,1cEQ3OYNFdX6kaTXyuOakL,34.0,0.526,0.0,0.351,-5.116,0.0593,0.926
47895,3bkdPDrDgQQVH51pcBpzmT,34.0,0.438,1.45e-06,0.73,-8.031,0.219,0.718
47896,6aW1djLQg4qJVgFRUmEBlw,34.0,0.714,0.0,0.109,-5.479,0.0288,0.714
47897,2JVTOeF8Le1jS0zM2ErtvC,34.0,0.791,0.155,0.111,-15.622,0.071,0.836
47898,3brEVBSLr766G88ecl1uIg,34.0,0.779,0.0,0.116,-8.57,0.125,0.805
47899,7stOSd44mdHTxzPVAAmdGH,34.0,0.681,0.0,0.352,-4.518,0.175,0.765
47900,4HCKl05ZpdAyijz1pCLQAm,34.0,0.64,2.26e-05,0.334,-11.617,0.0482,0.654
