,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
30464,5nmgJzylu3HeVUfvzUAQ6f,23.0,0.22,0.275,0.113,-12.94,0.0446,0.074
30465,1ffNJA7ktrzF5Ery0deakl,23.0,0.581,0.0256,0.127,-10.952,0.034,0.162
30466,2CTSOXs15sVrcvnksdLyD8,23.0,0.583,0.0,0.834,-11.093,0.938,0.35
30467,7LofXAFiIAdOOZOYErqMhr,23.0,0.262,0.835,0.116,-24.384,0.0377,0.108
30468,1MavyfnbAqc50cuj6s4hqF,23.0,0.242,0.928,0.114,-30.111,0.0538,0.0326
30469,3b605LvKl9a6ZtwrKn50xU,23.0,0.283,0.0216,0.111,-16.937,0.0412,0.0377
30470,7EfMF6CJzM1JGEGQC9DFJ7,23.0,0.148,0.939,0.105,-25.272,0.0415,0.032
30471,1SC1isE8WyjWV9WizZhJnb,23.0,0.265,0.876,0.125,-21.253,0.0364,0.0302
30472,0ADmj3r1bSVKQL07cUCxQu,23.0,0.388,0.873,0.111,-19.812,0.0331,0.394
30473,6ev30J3yU3JfFEGhOlvb9V,23.0,0.321,0.61,0.082,-26.886,0.0648,0.363
30474,3cDjkleibJLC0fobHS9YUo,23.0,0.203,0.891,0.0854,-36.514,0.0427,0.0589
30475,0KgdDUsFMItlMyPcxjaLqT,23.0,0.326,0.0659,0.98,-6.186,0.0636,0.421
30476,7mVsQRR27CMObKAtqBfJa2,23.0,0.171,0.0,0.137,-5.409,0.188,0.495
30477,10h8HlpqUJtJpCBXpX3Fmo,23.0,0.329,0.0,0.283,-4.272,0.124,0.668
30478,72NtWjQ2ReoeJRVYZj3j3J,23.0,0.604,0.126,0.118,-6.696,0.0309,0.251
30479,7HdYSWHbyB8cGkTjwLPHU7,23.0,0.425,0.00712,0.332,-3.619,0.0631,0.434
30480,6sEFf0V4oJ0PU9LYAtP90o,23.0,0.509,0.000636,0.183,-6.035,0.0277,0.745
30481,2WLKJKmPMowsRUXnjECNmS,23.0,0.341,2.53e-06,0.287,-4.309,0.142,0.205
30482,4pFrTE6sgK8rMsim7Dsu8p,23.0,0.575,0.873,0.209,-7.085,0.0338,0.133
30483,5sLdiwwREMJdaCWIoqnJt2,23.0,0.269,0.369,0.0972,-10.024,0.0684,0.23
30484,1xudJJT6xGjQF5ZWky7Y8J,23.0,0.413,5.07e-05,0.0877,-6.488,0.135,0.417
30485,7IPCVoi09OhyoQVK5kHPDt,23.0,0.572,0.014,0.18,-2.266,0.0617,0.195
30486,1x6meX8gIwEEvNgEyrspOh,23.0,0.602,8.45e-06,0.0783,-5.002,0.0507,0.68
30487,0B364GBiXZXYMPJqnqKE6M,23.0,0.363,2.8e-06,0.0887,-4.884,0.097,0.318
30488,6qgmlODilqAFRmFhNazr0h,23.0,0.655,0.000289,0.85,-8.175,0.194,0.682
30489,4NZew1J7T2OzI1QxBEW5ss,23.0,0.545,6.87e-05,0.127,-3.49,0.0376,0.607
30490,7MU6iJb1kznpfOaKqRjxJs,23.0,0.467,0.000259,0.306,-3.131,0.148,0.696
30491,0ozk8lopccsGceb3doRngm,23.0,0.447,0.000116,0.187,-5.074,0.124,0.356
30492,0zI7NjzC25Wdn9rTAkZjuy,23.0,0.476,0.0092,0.427,-7.256,0.19,0.325
30493,3BJslRPcPvDosBqfxyUOtd,24.0,0.761,0.0,0.175,-7.795,0.28,0.741
30494,6Gpvu1P5YZDNfdk07OL4PT,24.0,0.644,0.0,0.271,-5.917,0.0946,0.548
30495,3bYXnwj8M5zaFWzvnxfx5b,24.0,0.61,0.00233,0.132,-8.113,0.0311,0.551
30496,0nplosKGfDDiCBo3Kiz0fT,24.0,0.574,0.0385,0.138,-16.848,0.0432,0.281
30497,3ZJTE2mkF419J8Ztsht9wB,24.0,0.286,0.00156,0.68,-6.648,0.0512,0.73
30498,6FS9g7nomKnCMGPwYlbaZX,24.0,0.613,0.0282,0.103,-12.241,0.0268,0.81
30499,1gp7gmKD04fgJ8NynIVBSd,24.0,0.741,4.79e-05,0.318,-6.372,0.166,0.794
30500,0nORptIh3WnyVEkcYcQJRo,24.0,0.419,0.157,0.058,-14.512,0.0607,0.366
30501,4DUGmGyGuYUc8rc0TjR90I,24.0,0.734,0.0,0.264,-7.313,0.0768,0.839
30502,1W5notTNkApwcnfgN5YnRG,24.0,0.768,2.74e-05,0.0897,-6.056,0.0507,0.966
30503,2C2YKIezOBmf0a9yL3dlSP,24.0,0.61,9.84e-06,0.948,-18.198,0.727,0.488
30504,2hIADaRHdZXGGPVTRIyKlA,24.0,0.625,0.000298,0.117,-6.018,0.188,0.466
30505,1eA91DZsDdUEUvbGK45Wvs,24.0,0.622,0.0,0.144,-2.422,0.0442,0.671
30506,5GfZabwEaxAu8d8inQZ1LY,24.0,0.573,0.0,0.168,-4.077,0.0339,0.621
30507,3L8FrRMimlHRgoQABRiTq9,24.0,0.452,0.0327,0.134,-6.667,0.317,0.423
30508,41LxC6ra0YdKK9XYapvo2j,24.0,0.611,0.0,0.186,-6.512,0.039,0.574
30509,2r11qxp2AS3D6u0c2PHsZp,24.0,0.437,0.0,0.232,-14.806,0.0296,0.166
30510,3jCMVYaAZJRlqeEbpj27hg,24.0,0.543,0.000344,0.0636,-11.958,0.0335,0.3
30511,5fcJbxJ7v231BuLfw2f1cK,24.0,0.658,0.108,0.183,-15.15,0.0339,0.507
30512,5MsPSfiaqrmB2i93y7rYhR,24.0,0.57,0.521,0.329,-14.551,0.0437,0.217
30513,5fa8oTYgCkfO36pg31gsQ6,24.0,0.602,0.0,0.0898,-5.752,0.044,0.333
30514,5EGYoDEge8D5bR1CzyF0YC,24.0,0.616,0.0,0.609,-13.105,0.915,0.22
30515,2JWfLVF2Hrih8xYKrsYoEc,24.0,0.532,0.759,0.379,-20.727,0.0365,0.292
30516,3Uvee5lcDOpKinBaGpiLuE,24.0,0.0734,0.852,0.098,-18.234,0.038,0.0386
30517,5vLeAARRscgYX8ZIa1XI6x,24.0,0.468,3.51e-06,0.126,-14.63,0.0292,0.0498
30518,3cw2X9AStMjrGnhBsm4fcJ,24.0,0.602,0.0,0.653,-6.91,0.938,0.681
30519,3QBDCnFPumykPd3A3mgNGk,24.0,0.193,0.914,0.103,-20.525,0.0408,0.0393
30520,0U4uJ3Apq1ViCivN7cYSiC,24.0,0.299,0.0,0.0656,-8.757,0.0321,0.19
30521,4NIqD4iJWErQWgg3HAnXTu,24.0,0.67,0.0,0.697,-10.518,0.927,0.462
30522,7zkQaWCt0ss3esNACM4wCb,24.0,0.51,0.0,0.705,-13.755,0.949,0.115
30523,6SxlBYBMi2Uw8liNTpkLVr,24.0,0.609,0.0,0.831,-5.381,0.943,0.211
30524,1uZR7PBZsK4zzIVb9wLa6g,24.0,0.471,0.128,0.12,-9.286,0.0399,0.905
30525,6gUAfCxxzkNAJ4x5srNevU,24.0,0.578,0.0,0.799,-5.838,0.942,0.53
30526,0LeWpa9KAVaQpTDbOjuItv,24.0,0.573,0.0,0.0978,-7.158,0.0307,0.791
30527,7sz34RvgWVwgBg7kxzBTBh,24.0,0.501,0.0,0.899,-2.526,0.744,0.497
30528,26HWWZTGZcspYfiQKkzOFe,24.0,0.673,0.0,0.849,-9.843,0.944,0.211
30529,2mQVCGFTHWP45JAX6oo1ZO,24.0,0.359,0.563,0.119,-20.711,0.0385,0.231
30530,6ZKc3w8osIQrVFpMvpEs3a,24.0,0.316,0.0,0.401,-8.643,0.0386,0.529
30531,38l1C7xci5Pt0K52eq8zA3,24.0,0.128,0.953,0.111,-24.158,0.0353,0.0353
30532,0aUaLUiWBe4emE1SJ436iu,24.0,0.0627,0.982,0.204,-24.509,0.0454,0.0323
30533,4iiPyU2CCZSUFjqGNH5Vl7,24.0,0.504,1.28e-06,0.89,-6.644,0.922,0.381
30534,1BZTa0le3uMnXkH2yTdDTg,24.0,0.617,0.0,0.952,-9.973,0.904,0.341
30535,2Nrn0t3Nma8FuhONsN2jWS,24.0,0.192,0.9,0.107,-18.486,0.0392,0.0369
30536,4rGmWh8NpU6DzOUif4K2Ex,24.0,0.404,0.189,0.323,-19.821,0.143,0.311
30537,44gyLXrvzOwNPAz72paErN,24.0,0.572,0.0,0.331,-13.826,0.274,0.623
30538,0v6i359MhaTRpsvJX8278N,24.0,0.0987,0.87,0.121,-19.96,0.0427,0.0366
30539,7ITB6vhFPoDZaCAwMmb1HK,24.0,0.326,0.516,0.175,-18.898,0.0395,0.0429
30540,28LFDNwobjhiWf5HjRQ307,24.0,0.0696,0.755,0.325,-23.086,0.0417,0.0333
30541,2zKc20TcZgSGZcqPV03zZY,24.0,0.152,0.841,0.108,-25.075,0.0384,0.0346
30542,0ytEIySwiEcBWQ0v2Ubqdf,24.0,0.117,0.0146,0.107,-15.134,0.0361,0.0947
30543,254rE47plB2U1W6pzDbLYg,24.0,0.238,0.873,0.112,-22.988,0.0382,0.0543
30544,2SwS01bg6tSCqeo4SSTHzB,24.0,0.607,2.11e-05,0.108,-16.712,0.0396,0.609
30545,5wQvuU2N00M6TpXudWbf6J,24.0,0.73,0.0,0.189,-5.868,0.0937,0.61
30546,5iWjDH2zsW24s5tJm78OVN,24.0,0.185,0.201,0.1,-20.693,0.0428,0.0511
30547,0MVigLl3W2dJ8ZqbbCQjJn,24.0,0.681,1.61e-05,0.0868,-16.204,0.0981,0.367
30548,4p2OhRGkevAXgTmupaPWGO,24.0,0.302,2.46e-06,0.0656,-33.882,0.0575,0.0415
30549,6AKJl7gg2i4dqfsiajsU8p,24.0,0.583,0.0,0.83,-10.109,0.946,0.405
30550,6Pk2jNugOLoHExwFEgCwgw,24.0,0.302,0.898,0.156,-13.52,0.0357,0.105
30551,704Jiay7OIWM9tuQU0jODq,24.0,0.256,0.553,0.31,-15.367,0.0356,0.168
30552,4a2MLsSW6lf2NELqmMKwzv,24.0,0.158,0.893,0.113,-22.513,0.0504,0.0348
30553,7aWpOVV3B62unzvOjSe6qp,24.0,0.239,0.638,0.22,-9.646,0.0348,0.0789
30554,7630jV3IqZTc8cATjk53wp,24.0,0.588,0.778,0.439,-11.974,0.0295,0.059
30555,3pnJgZl6DWbh9isyTGapZs,24.0,0.321,0.91,0.0728,-15.28,0.0572,0.183
30556,5Oj7LSvlL3PBfs25PIsJLV,24.0,0.244,0.0562,0.109,-19.994,0.0463,0.0405
30557,03u8vygMYS4suMCPEaIPpV,24.0,0.31,0.00576,0.0693,-19.879,0.0535,0.114
30558,0oc0Qdf5g6qQY4Y9twd6tx,24.0,0.467,3.32e-05,0.894,-10.743,0.938,0.364
30559,4WU1XFFx74qQIEbty9Z77X,24.0,0.22,0.0189,0.0999,-15.199,0.0473,0.0502
30560,7g7upYL8Q0FYuVmjpc406u,24.0,0.219,0.96,0.0944,-23.072,0.0354,0.0395
30561,4asa8IeEG1tPhFjDpHQwpZ,24.0,0.295,0.0,0.0944,-3.944,0.0594,0.4
30562,6FFkdcbOojABjexNBuIlk8,24.0,0.239,0.772,0.088,-4.825,0.0901,0.195
30563,3xKJA2UdkdiTvH7g4LFX7A,24.0,0.315,0.00195,0.441,-6.158,0.103,0.5
30564,0i0fVs7Xvuue6PBePRI2V6,24.0,0.466,1.1e-05,0.0435,-10.883,0.0576,0.157
30565,6yQpMFmHy3Jb10rbE1hHnp,24.0,0.585,0.0926,0.249,-7.965,0.0294,0.414
30566,0AFfQjHt7HdHZpxwh7jEBV,24.0,0.477,0.00393,0.0799,-3.843,0.145,0.636
30567,3TBxTtHj4DlZGNKaiLydzl,24.0,0.452,0.373,0.14,-3.155,0.107,0.48
30568,5eeXMqzi0LnWSyDtdSQq5Y,24.0,0.245,0.000394,0.457,-3.182,0.0878,0.579
30569,2LP289QMZknNjgq5mSfrhX,24.0,0.254,3.6e-06,0.335,-3.742,0.0741,0.399
30570,41n0SQ0KKATYPwmMMILj5f,24.0,0.302,0.182,0.0455,-5.197,0.0629,0.483
30571,7nm3tEXdGNrTC48wkBcWJT,24.0,0.31,0.00634,0.277,-5.89,0.102,0.186
30572,2YN7Hh3WH5DLOfo8RdYvuD,24.0,0.458,1.3e-05,0.329,-4.931,0.0515,0.63
30573,0leNTHlCitjVoDnx5ZG2S7,24.0,0.796,0.812,0.0784,-4.833,0.0509,0.313
30574,4Gt3kB9YCa2mitVBYeZ3Zc,24.0,0.325,0.453,0.315,-9.102,0.0473,0.387
30575,2HiDCke2OSkWV5lztauc6B,24.0,0.415,0.00288,0.344,-4.719,0.149,0.35
30576,6mZ6OBnYofGJXFM0paysSs,24.0,0.499,0.000739,0.381,-6.357,0.281,0.355
30577,6bwy1jQLos6IllE0YFks2H,24.0,0.543,0.00753,0.31,-4.466,0.0876,0.423
30578,77L4FHXLK9R57gFdD3xU8z,24.0,0.41,0.00639,0.169,-4.732,0.0337,0.477
30579,76PUbt6MrX1nnPI3GX9b3C,24.0,0.249,0.0,0.809,-3.379,0.0741,0.716
30580,44LJnpmmHiU9doSA9izkVc,24.0,0.594,0.653,0.114,-3.066,0.0881,0.324
30581,5NVxtxC6xtdON2BLbThqeE,24.0,0.44,5.19e-06,0.0941,-7.631,0.0523,0.789
30582,05dPdLPwAQ3rnxZGRL1tmi,24.0,0.343,0.118,0.0481,-6.517,0.0654,0.516
30583,4RAWNXHIzaO8BYv5MftJKB,24.0,0.237,0.0,0.0831,-2.796,0.0541,0.402
30584,13WyvHH6tgSqoNLRZTL4ch,24.0,0.544,0.0,0.106,-3.272,0.406,0.378
30585,4Znt4ohK6UOUphYtdoxIKQ,24.0,0.386,2.84e-05,0.368,-5.669,0.0846,0.71
30586,0o5maJzcdg6IrwdRIYbbrN,24.0,0.607,2.1e-05,0.189,-3.273,0.133,0.953
30587,5fYAB81dwcvXIequdCqk4Y,24.0,0.302,0.0,0.17,-2.759,0.101,0.611
30588,4OXDuw66xQ23yp27DfDEM9,24.0,0.364,0.0584,0.979,-7.051,0.0742,0.619
30589,4fTasRhqwKadUAEdBNOdyC,24.0,0.558,0.0,0.127,-2.863,0.0861,0.742
30590,1s3lZ4DnbIKCUabDYliDPJ,24.0,0.367,0.0,0.36,-3.768,0.11,0.441
30591,2Dhww8whqDBWiwsROZO3of,24.0,0.389,0.0,0.322,-4.771,0.44,0.3
30592,1dwVmE34uaEWmzpDUTDO9J,24.0,0.497,0.145,0.475,-4.335,0.0714,0.362
30593,6HwB7hVYGPkRwvny2yqvMo,24.0,0.435,0.0,0.302,-3.885,0.0579,0.818
30594,0cBN0Z0xzSFdCvpKYPOx7x,24.0,0.482,1.34e-06,0.118,-4.54,0.0415,0.627
30595,4sRhW80XkjsUfwEUSxVA9O,24.0,0.482,0.0837,0.0842,-6.021,0.0335,0.395
30596,2DkC8HYUSWW5gMlqOsvjhA,24.0,0.653,0.0,0.13,-4.631,0.0901,0.694
30597,3ReHzbdjnJ6XkUJ0c6LIqO,24.0,0.534,0.0,0.313,-6.305,0.0358,0.818
30598,1DOqcVcG4V9bHBWoUgxV1g,24.0,0.43,3.12e-05,0.0476,-4.464,0.149,0.94
30599,28LWyO3bdRPA9Htl44ckEH,24.0,0.704,3.92e-06,0.0577,-4.751,0.0464,0.886
30600,5HhIrR9TFi6IG085Px9y7f,24.0,0.421,0.177,0.0868,-6.735,0.0459,0.466
30601,74ucOMFNfzIqvexgb5777S,24.0,0.53,0.00303,0.0833,-5.489,0.137,0.243
30602,7ETbMUyf5CZrIYaMUbTVbK,24.0,0.777,0.431,0.363,-7.288,0.0445,0.461
30603,0Ggug7sYVnbQ2mtX0hFdof,24.0,0.799,3.21e-06,0.307,-3.05,0.152,0.207
30604,6Xb8m32DQyaP4PFMrS0ZeI,24.0,0.649,0.0,0.126,-4.377,0.0749,0.308
30605,1ofGRTvWKRZCQoM1tvpV9c,24.0,0.532,0.799,0.453,-6.396,0.0401,0.594
30606,6sKUIDaEBhWa9WrPgqQMCC,24.0,0.685,0.341,0.167,-5.833,0.0446,0.751
30607,3IxkHt9XOTWhmfYugUzrIq,24.0,0.647,0.686,0.351,-6.341,0.0534,0.353
30608,4aBEPgdG3tCciSvApEcWYv,24.0,0.684,0.000439,0.0728,-12.887,0.0504,0.949
30609,1ffHLoaaQEArsHP8azdAR9,24.0,0.889,0.491,0.111,-6.791,0.102,0.973
30610,5LwZqtuCQ6U5I4HjdjFbV3,24.0,0.512,0.193,0.256,-4.706,0.162,0.715
30611,7E7LxsthUzT99BBVd13Jwa,24.0,0.623,2.25e-06,0.241,-4.721,0.0564,0.339
30612,3VUddwipVncmL0YGGidJqG,24.0,0.567,0.0,0.217,-5.71,0.129,0.928
30613,1KkvlYF2pxEpQHnW9IXNbe,24.0,0.41,0.0,0.0749,-2.024,0.143,0.36
30614,5dE9QrYkIpY6MZoJuLrvh1,24.0,0.296,0.000328,0.106,-2.763,0.108,0.799
30615,4wkQoHZYp6ftLtORGfReWY,24.0,0.585,0.327,0.154,-6.001,0.057,0.414
30616,0RIwAhlWsKTKMDeG9KYqGC,24.0,0.455,0.847,0.142,-13.841,0.0629,0.163
30617,5iRSayEYeXsA3FVYkrM53z,24.0,0.385,4.74e-06,0.11,-4.171,0.0273,0.159
30618,4y2vzy436lUS1yWWQjUf9E,24.0,0.868,0.000807,0.0701,-8.49,0.0711,0.793
30619,0vm0uN0SMkeQZZ5SHZul87,24.0,0.366,0.934,0.0836,-13.144,0.06,0.141
30620,17uEKUGQIXU3yPDSnsixPs,24.0,0.729,0.0213,0.153,-5.051,0.0423,0.501
30621,4eFkLmASI8VwETPdDmjdnH,24.0,0.743,0.00312,0.251,-6.067,0.364,0.546
30622,3YvmHsb2NsIIMptlnvEBND,24.0,0.613,0.00113,0.413,-7.218,0.166,0.644
30623,3YdAoKkCwAFSQmXrMIuXKt,24.0,0.654,3.62e-05,0.353,-6.902,0.0847,0.805
30624,3Zy9BLqlbeoDv7xsx0Cvrn,24.0,0.505,0.894,0.366,-13.346,0.0467,0.0724
30625,2kNkJPmfRViWaArAvFMT1W,24.0,0.85,0.888,0.0701,-11.832,0.132,0.812
30626,4zHY0S3IEKONNwFiX2B88i,24.0,0.646,0.0,0.1,-4.843,0.0533,0.669
30627,6w5W6nin7iLG5k5PXYsYMh,24.0,0.555,1.24e-06,0.346,-3.65,0.0887,0.396
30628,6Rw3PvF8QOIlQ8zQLkTDBI,24.0,0.557,6.23e-06,0.114,-7.467,0.0273,0.414
30629,2FMTNWrIGms20DOHA1Fh0u,24.0,0.688,5.3e-06,0.588,-4.998,0.0428,0.728
30630,2vmURWNQpHjvsAHOaXKiqH,24.0,0.626,6.98e-06,0.393,-8.204,0.0362,0.434
30631,2roYXnybIkZlojev8ouLBo,24.0,0.461,0.728,0.388,-17.202,0.0301,0.104
30632,3tfNEi6WcBp1PiYPqSQ28t,24.0,0.808,2.33e-06,0.119,-6.077,0.0328,0.945
30633,6lMhhUAFik4zb62OoOhgAy,24.0,0.59,2.73e-06,0.111,-4.28,0.0892,0.774
30634,6LP4GvmRfbvEJbw3Bj84CA,24.0,0.255,0.286,0.328,-16.887,0.045,0.0371
30635,0BawtQOz9uB4PoohPAk14v,24.0,0.417,0.0,0.306,-2.465,0.107,0.713
30636,07Kb07JqdT3YxJySRwmBz8,24.0,0.748,0.00292,0.115,-9.273,0.0374,0.915
30637,75KZnU06aR2jXxq2w6u1Ss,24.0,0.414,1.36e-05,0.127,-3.39,0.13,0.466
30638,0PNWIKrGCHMPy0oixI1Wh5,24.0,0.65,0.0,0.206,-6.884,0.0439,0.787
30639,5hf4ehXxhkWpsoKoEDEZVr,24.0,0.651,0.887,0.105,-17.797,0.0425,0.147
