,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
104448,0bHYX16vAFaFhtEqKhCeqg,44.0,0.269,4.14e-05,0.0971,-5.705,0.175,0.0967
104449,2yB8Eo8f8OL7gYEBL8qT4G,41.0,0.3,0.000742,0.687,-6.724,0.0429,0.793
104450,1eFiehZXXGbxfkZx9mraUj,48.0,0.45,0.0,0.349,-2.742,0.0957,0.551
104451,242oSaqcKvmRfi7FEXFa77,40.0,0.67,0.0,0.0578,-5.337,0.0329,0.492
104452,34UfbFy1jckcIwmbymvqwx,45.0,0.682,0.0,0.487,-4.239,0.0792,0.524
104453,2waqziap5FGmBpD17H9u4M,41.0,0.473,4.08e-06,0.825,-4.383,0.0537,0.444
104454,2hc6fCrA3pmmh4EJtzMBs9,17.0,0.505,0.462,0.255,-6.051,0.0405,0.37
104455,0ytvC9tG03obop9RXqG3af,51.0,0.772,0.0,0.12,-6.273,0.118,0.706
104456,2r12KCHNv0p7JQJsGt3vYK,49.0,0.602,0.0116,0.175,-6.542,0.0493,0.0845
104457,6m1AWm06ymsYgfkTZB3FWP,36.0,0.724,0.0,0.148,-12.452,0.38,0.304
104458,7ml6CfD8RAYykiWOOYNOuI,51.0,0.472,0.387,0.132,-12.149,0.0309,0.0785
104459,134I0qT6UrkDjhbI6bx0x3,47.0,0.37,0.111,0.0928,-8.041,0.0581,0.54
104460,6mFRfprP5OTvr82GzGhHXJ,50.0,0.482,1.2e-06,0.131,-4.946,0.0624,0.488
104461,38qMfkJhUDc00rYv7hgPgw,46.0,0.599,0.0,0.429,-4.706,0.0363,0.85
104462,3sUW4KddZ971fQOf9ikZUm,38.0,0.715,0.00225,0.106,-3.959,0.0463,0.301
104463,3Ge5d1wjVb8yrMl9Yt9PVt,53.0,0.529,0.0,0.346,-4.517,0.115,0.869
104464,3ypXE4brttsQR3OLLZbLZB,55.0,0.639,0.00283,0.0963,-5.766,0.0284,0.273
104465,3K2YM0zZwJMjQrzMqpkOSQ,41.0,0.553,7.65e-05,0.151,-7.575,0.0606,0.119
104466,1lIirCvdeX4opMgU7mC6W4,41.0,0.73,0.0,0.337,-3.817,0.121,0.279
104467,1544s7tOrTn4NSgbyz1wq4,31.0,0.516,0.0,0.207,-5.957,0.224,0.529
104468,3uza683tCeRtCkDzHyYcfZ,35.0,0.585,0.0,0.126,-6.541,0.398,0.752
104469,6eb1IXdlTOyMbYIf52IUE1,36.0,0.816,0.0939,0.0835,-8.071,0.0757,0.803
104470,0dgCqrI14Oe3nqGLS3qbzJ,50.0,0.345,1.01e-05,0.264,-3.284,0.082,0.147
104471,16ZatpXeth34Nygl9wzNKc,48.0,0.551,0.0,0.355,-2.136,0.21,0.595
104472,4wvj3LqF8EqGxoNc1FIbHr,50.0,0.614,0.000953,0.185,-4.195,0.0401,0.335
104473,6h0bu1UFTCDYP0wicZPoum,42.0,0.518,0.1,0.968,-7.914,0.0769,0.576
104474,69yWHw7ZdTfYnpk67pdj3a,41.0,0.527,0.000358,0.612,-5.854,0.145,0.184
104475,50S4mpD9sR0ITKEfC0O2cb,47.0,0.628,0.0,0.108,-2.825,0.0744,0.367
104476,5aahAvbdNGcaDH0osSgjMp,40.0,0.337,0.0,0.272,-8.116,0.0343,0.105
104477,3aZQQWGNShP6IzzaprPlFX,51.0,0.545,0.0,0.059,-4.552,0.14,0.539
104478,7N3MO5mFhgoH2VRvydLxsJ,62.0,0.672,0.0,0.234,-3.338,0.0342,0.962
104479,4qGK21F2n8zYRNsllinNaS,47.0,0.598,0.0,0.106,-5.291,0.0438,0.338
104480,6HFKeEGEJGI0rIyg2r0iLo,57.0,0.601,0.0,0.115,-5.51,0.0322,0.507
104481,5WAOIxI6GVlUl27aLdVNJD,41.0,0.613,2.5e-06,0.445,-10.255,0.0805,0.0758
104482,7fzvzPBf0cpCzNP90TWozA,42.0,0.565,0.000182,0.263,-3.907,0.0438,0.753
